airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,Command_fault,Command
6.383361,-87.671448,-86.477997,2.974336,1.380639,2.588453,0.094361,-89.999855,-90.0,2.286273,0.0,0.006733,297.874908,258.583588,0.012141,-0.114742,-23.127802,-0.0,0.0,0.0,0.0,0.0,599.91449,, takeoff
6.31815,-87.763893,-86.57045,2.9387,1.261407,2.588522,0.094148,-89.999855,-90.0,2.286307,0.0,0.002981,297.873688,260.986389,0.012138,-0.099149,-25.769581,-0.019723,0.051769,0.0,0.0,1.0,606.962891,, takeoff
6.302219,-87.813385,-86.619942,2.780869,0.758031,2.581563,0.093676,-89.999855,-90.0,2.286295,3.2E-5,-0.01092,297.872803,262.818115,0.012074,-0.089722,-19.450975,-0.01802,0.05177,6.1E-5,0.0,1.0,668.782959,, takeoff
6.315084,-87.872734,-86.679291,2.576924,0.20486,2.542646,0.090602,-89.999855,-90.0,2.286161,2.3E-4,-0.0412,297.871216,265.883362,0.011927,-0.077009,-15.970702,-0.010829,0.051631,1.05E-4,0.0,1.0,852.78833,, takeoff
6.367568,-87.902573,-86.709129,2.508251,0.08619,2.508251,0.08619,-89.999855,-90.0,2.286055,7.52E-4,-0.01782,297.870056,267.998352,0.011821,-0.069834,-13.919306,-0.002927,0.050853,1.85E-4,0.0,1.0,1004.611084,, takeoff
6.545212,-87.937561,-86.744118,2.489199,0.075657,2.489199,0.075657,-89.999855,-90.0,2.286124,0.003868,0.04321,297.868011,271.308472,0.0118,-0.060457,-19.479719,-0.001231,0.050165,2.43E-4,0.0,1.0,1246.436035,, takeoff
6.738457,-87.955696,-86.762253,2.493379,0.066541,2.493379,0.066541,-89.999855,-90.0,2.286336,0.008869,0.082266,297.86618,273.578857,0.011215,-0.055079,-15.874635,-0.001081,0.049784,3.45E-4,0.0,1.0,1402.596436,, takeoff
7.146902,-87.976906,-86.783463,2.51146,0.050916,2.51146,0.050916,-89.999855,-90.0,2.286891,0.023354,0.138406,297.861694,277.032562,0.010972,-0.04828,-15.464469,-9.51E-4,0.049868,4.36E-4,0.0,1.0,1613.02832,, takeoff
7.495497,-87.987839,-86.794395,2.526598,0.040012,2.526598,0.040012,-89.999855,-90.0,2.287414,0.039192,0.175854,297.856842,279.340393,0.008936,-0.044597,-16.273993,-7.27E-4,0.050229,6.61E-4,0.0,1.0,1732.807617,, takeoff
8.122477,-88.000519,-86.807076,2.549285,0.024139,2.549285,0.024139,-89.999855,-90.0,2.288432,0.074613,0.233669,297.84549,282.766235,0.008855,-0.040363,-13.997529,-5.72E-4,0.050532,9.03E-4,0.0,1.0,1879.950928,, takeoff
8.600319,-88.006973,-86.81353,2.563374,0.014494,2.563374,0.014494,-89.999855,-90.0,2.289276,0.107189,0.273093,297.834259,285.001892,0.007929,-0.03843,-18.996941,-3.45E-4,0.050986,0.001471,0.0,1.0,1957.674683,, takeoff
9.389668,-88.014305,-86.820862,2.581256,0.002011,2.581256,0.002011,-89.999855,-90.0,2.290804,0.171109,0.337171,297.812317,288.244202,0.012742,-0.036621,-17.579302,-2.07E-4,0.051267,0.002032,0.0,1.0,2047.930664,, takeoff
9.954702,-88.017921,-86.824478,2.591363,-0.004944,2.591363,-0.004944,-89.999855,-90.0,2.292011,0.224454,0.383496,297.79425,290.310638,0.01556,-0.036064,-9.884485,-2.9E-5,0.051625,0.00313,0.0,1.0,2093.395996,, takeoff
10.846032,-88.021805,-86.828362,2.603486,-0.013394,2.603486,-0.013394,-89.999855,-90.0,2.29412,0.321383,0.457556,297.763885,293.235199,0.018935,-0.035769,-16.506678,7.1E-5,0.051827,0.004033,0.0,1.0,2144.219238,, takeoff
11.462427,-88.023552,-86.830109,2.610224,-0.017884,2.610224,-0.017884,-89.999855,-90.0,2.295737,0.397562,0.508973,297.741821,295.0513,0.020792,-0.035845,-12.85392,1.91E-4,0.05207,0.005551,0.0,1.0,2168.912354,, takeoff
12.410634,-88.025116,-86.831673,2.618387,-0.023205,2.618387,-0.023205,-89.999855,-90.0,2.298491,0.529404,0.589564,297.70929,297.550079,0.022942,-0.035802,-5.859841,2.55E-4,0.052204,0.006654,0.0,1.0,2195.562744,, takeoff
13.054021,-88.025566,-86.832123,2.623137,-0.026034,2.623137,-0.026034,-89.999855,-90.0,2.300555,0.629032,0.644665,297.688538,299.053436,0.02417,-0.035599,-9.707251,3.31E-4,0.052368,0.008281,0.0,1.0,2207.980713,, takeoff
14.029987,-88.025467,-86.832024,2.629347,-0.029474,2.629347,-0.029474,-89.999855,-90.0,2.303998,0.795942,0.729042,297.662262,301.047882,0.025703,-0.034524,-9.024114,3.72E-4,0.052463,0.009318,0.0,1.0,2220.977295,, takeoff
14.357294,-88.025253,-86.83181,2.631318,-0.03035,2.631318,-0.03035,-89.999855,-90.0,2.30524,0.856189,0.757346,297.654968,301.640564,0.026135,-0.033964,-7.251634,3.72E-4,0.052463,0.009318,0.0,1.0,2224.547852,, takeoff
14.521246,-88.025116,-86.831673,2.632293,-0.03078,2.632293,-0.03078,-89.999855,-90.0,2.305879,0.887169,0.771147,297.65155,301.923126,0.026561,-0.033649,-5.820652,4.21E-4,0.052587,0.010632,0.0,1.0,2226.239502,, takeoff
16.639856,-88.022148,-86.828705,2.644489,-0.035295,2.644489,-0.035295,-89.999855,-90.0,2.315164,1.334449,0.955375,297.631622,304.714783,0.029703,-0.026702,19.077816,4.4E-4,0.052646,0.011168,0.0,1.0,2243.54126,, takeoff
