airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,Command_fault,Command
6.526477,-87.938629,-86.745186,2.968813,1.352346,2.590972,0.092876,-89.999855,-90.0,2.286516,0.0,0.007671,297.867188,278.051666,0.012382,-0.045977,-10.5671,-0.0,0.0,0.0,0.0,0.0,600.213318,, takeoff
6.56432,-87.948753,-86.75531,2.974434,1.36999,2.591251,0.092714,-89.999855,-90.0,2.286542,0.0,0.007068,297.866333,280.335541,0.012432,-0.041596,-19.88113,-0.0,0.0,0.0,0.0,0.0,600.2453,, takeoff
6.620661,-87.960098,-86.766655,2.783576,0.755934,2.584524,0.092428,-89.999855,-90.0,2.28654,2.9E-5,-0.010484,297.865112,283.518219,0.012375,-0.036111,-13.262695,-0.019571,0.051825,4.3E-5,0.0,1.0,665.355896,, takeoff
6.668838,-87.966911,-86.773468,2.634733,0.332265,2.562403,0.091166,-89.999855,-90.0,2.286464,1.41E-4,-0.033094,297.864075,285.884583,0.012243,-0.032458,-7.18216,-0.010799,0.05169,1.04E-4,0.0,1.0,784.570923,, takeoff
6.769592,-87.974319,-86.780876,2.510336,0.086091,2.510336,0.086091,-89.999855,-90.0,2.286285,7.41E-4,-0.020098,297.862366,289.026733,0.011964,-0.028128,-18.685669,-0.004747,0.051248,1.56E-4,0.0,1.0,1004.679199,, takeoff
6.888258,-87.978233,-86.78479,2.493017,0.080011,2.493017,0.080011,-89.999855,-90.0,2.286289,0.002337,0.020801,297.861084,291.015594,0.011777,-0.025663,-13.561708,-0.00123,0.050207,2.41E-4,0.0,1.0,1165.307007,, takeoff
7.162852,-87.982857,-86.789413,2.495497,0.067635,2.495497,0.067635,-89.999855,-90.0,2.286552,0.008776,0.080089,297.858521,293.811707,0.010855,-0.022585,-10.612982,-0.001143,0.04986,3.05E-4,0.0,1.0,1401.226318,, takeoff
7.416332,-87.985252,-86.791809,2.507127,0.057936,2.507127,0.057936,-89.999855,-90.0,2.286889,0.017258,0.117739,297.855743,295.536499,0.009287,-0.020984,-9.642868,-9.66E-4,0.04991,4.33E-4,0.0,1.0,1544.902954,, takeoff
7.90252,-87.988007,-86.794563,2.530173,0.042673,2.530173,0.042673,-89.999855,-90.0,2.287627,0.038871,0.172907,297.848663,297.893707,0.006454,-0.019361,-10.953023,-8.28E-4,0.050143,5.72E-4,0.0,1.0,1730.518433,, takeoff
8.292541,-87.989365,-86.795921,2.546625,0.032673,2.546625,0.032673,-89.999855,-90.0,2.288277,0.060631,0.21203,297.841003,299.301788,0.006226,-0.018875,-17.389826,-6.1E-4,0.050603,9.26E-4,0.0,1.0,1832.69397,, takeoff
8.729234,-87.990402,-86.796959,2.562221,0.023384,2.562221,0.023384,-89.999855,-90.0,2.289055,0.08927,0.248943,297.83017,300.572632,0.003455,-0.018925,-10.004444,-4.67E-4,0.050933,0.001309,0.0,1.0,1918.203857,, takeoff
8.729234,-87.990402,-86.796959,2.562221,0.023384,2.562221,0.023384,-89.999855,-90.0,2.289055,0.08927,0.248943,297.83017,300.572632,0.003455,-0.018925,-10.004444,-4.67E-4,0.050933,0.001309,0.0,1.0,1918.203857,, takeoff
10.23386,-87.992149,-86.798706,2.600542,0.002616,2.600542,0.002616,-89.999855,-90.0,2.292187,0.220487,0.38075,297.776428,303.493622,0.012224,-0.022181,-18.30508,-3.34E-4,0.051244,0.001851,0.0,1.0,2089.260498,, takeoff
10.819472,-87.992119,-86.798676,2.611093,-0.002457,2.611093,-0.002457,-89.999855,-90.0,2.293602,0.284785,0.430692,297.748474,304.217041,0.014841,-0.024432,-18.175909,-3.7E-5,0.052011,0.004538,0.0,1.0,2127.019531,, takeoff
