airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,Command_fault,Command
24.963696,-195.587967,-194.394531,3.052943,1.369381,2.696928,0.182663,-189.999863,-190.0,18.855431,1.87E-4,0.001407,297.86792,15.572486,-0.046955,-0.047912,-1665.244507,-0.0,0.0,0.0,0.0,0.0,601.908264,, takeoff
24.923403,-205.170685,-203.977249,3.012069,1.236206,2.696063,0.182853,-199.999863,-200.0,18.855436,1.81E-4,-0.003551,297.866455,14.863614,-0.04699,-0.040201,-1671.722778,-0.019563,0.053939,0.0,0.0,1.0,610.104919,, takeoff
24.95685,-213.241608,-212.048172,2.79183,0.556295,2.679645,0.182345,-209.999863,-210.0,18.855373,2.42E-4,-0.022978,297.865082,14.253551,-0.04719,-0.034634,-1671.369995,-0.01766,0.053921,7.3E-5,0.0,1.0,726.592102,, takeoff
24.971523,-218.62915,-217.435715,2.674346,0.263698,2.649309,0.180243,-209.999863,-210.0,18.855257,3.85E-4,-0.047263,297.864014,13.851204,-0.047345,-0.031431,-1671.395752,-0.007947,0.053593,1.42E-4,0.0,1.0,857.564636,, takeoff
24.994652,-226.718445,-225.524994,2.595095,0.173156,2.595095,0.173156,-219.999863,-220.0,18.855108,0.001346,0.006833,297.862122,13.261476,-0.046252,-0.027314,-1671.674683,-0.003767,0.052986,1.95E-4,0.0,1.0,1093.633789,, takeoff
25.01446,-232.115463,-230.922028,2.584375,0.16573,2.584375,0.16573,-229.999863,-230.0,18.855249,0.00363,0.079118,297.860809,12.88136,-0.043333,-0.024967,-1671.955811,-0.002474,0.051902,2.9E-4,0.0,1.0,1258.095093,, takeoff
25.051044,-240.224655,-239.031204,2.596351,0.151784,2.596351,0.151784,-239.999863,-240.0,18.855963,0.012052,0.208212,297.858673,12.336885,-0.042652,-0.021945,-1672.743042,-0.002368,0.051688,3.56E-4,0.0,1.0,1491.373413,, takeoff
25.088387,-245.627197,-244.433746,2.612342,0.141441,2.612342,0.141441,-239.999863,-240.0,18.856827,0.022605,0.307829,297.85672,11.994328,-0.048052,-0.020297,-1673.03418,-0.002168,0.051927,4.62E-4,0.0,1.0,1629.418823,, takeoff
25.165245,-253.731293,-252.537842,2.63785,0.125479,2.63785,0.125479,-249.999863,-250.0,18.858818,0.048544,0.486396,297.849854,11.51617,-0.055265,-0.018762,-1673.373657,-0.002021,0.052247,5.6E-4,0.0,1.0,1803.75708,, takeoff
25.231964,-259.135651,-257.9422,2.653257,0.115072,2.653257,0.115072,-259.999847,-260.0,18.860682,0.073996,0.623563,297.841888,11.223717,-0.06217,-0.018377,-1673.593872,-0.001793,0.052757,9.03E-4,0.0,1.0,1897.848511,, takeoff
25.358736,-267.243805,-266.050354,2.671305,0.101392,2.671305,0.101392,-259.999847,-260.0,18.864403,0.126442,0.86105,297.822449,10.828086,-0.059463,-0.019059,-1673.887939,-0.001644,0.053065,0.001302,0.0,1.0,2008.790771,, takeoff
24.801138,-272.574921,-271.38147,2.680397,0.09356,2.680397,0.09356,-269.999847,-270.0,18.867573,0.171844,1.035397,297.803772,10.594635,-0.05451,-0.020311,-1671.079102,-0.001448,0.053426,0.002274,0.0,1.0,2065.377441,, takeoff
21.728704,-279.062683,-277.869232,2.689833,0.084012,2.689833,0.084012,-279.999847,-280.0,18.873457,0.256751,1.314989,297.769867,10.291842,-0.048549,-0.022819,-1610.234497,-0.001337,0.053608,0.003207,0.0,1.0,2129.43457,, takeoff
20.012608,-282.419128,-281.225677,2.694306,0.078978,2.694306,0.078978,-279.999847,-280.0,18.878187,0.325008,1.514425,297.743622,10.122227,-0.045413,-0.024832,-1536.305176,-0.0012,0.053797,0.004903,0.0,1.0,2160.984375,, takeoff
17.912336,-286.341827,-285.148376,2.698869,0.073132,2.698869,0.073132,-279.999847,-280.0,18.886557,0.445322,1.826842,297.702148,9.916558,-0.041777,-0.027752,-1390.073608,-0.001128,0.053886,0.006215,0.0,1.0,2195.545166,, takeoff
16.812099,-288.37027,-287.176819,2.701116,0.070108,2.701116,0.070108,-289.999847,-290.0,18.893017,0.537602,2.040078,297.673706,9.811766,-0.039873,-0.029559,-1274.954468,-0.001045,0.053977,0.008289,0.0,1.0,2211.969727,, takeoff
15.5825,-290.73938,-289.545929,2.703617,0.06653,2.703617,0.06653,-289.999847,-290.0,18.904068,0.694132,2.370015,297.634247,9.702131,-0.03764,-0.031389,-1083.450684,-0.001002,0.054022,0.009711,0.0,1.0,2229.248779,, takeoff
15.023131,-291.963348,-290.769897,2.70505,0.064568,2.70505,0.064568,-289.999847,-290.0,18.912357,0.810477,2.594606,297.610809,9.659888,-0.036346,-0.031998,-946.841248,-9.5E-4,0.054072,0.011684,0.0,1.0,2237.018555,, takeoff
14.532649,-293.391083,-292.197632,2.706962,0.061978,2.706962,0.061978,-289.999847,-290.0,18.926195,1.002733,2.932313,297.583649,9.640865,-0.034565,-0.031509,-734.212219,-9.22E-4,0.054101,0.012856,0.0,1.0,2244.557373,, takeoff
14.405907,-294.12738,-292.93396,2.708247,0.060394,2.708247,0.060394,-289.999847,-290.0,18.936361,1.142537,3.158144,297.571228,9.656395,-0.033315,-0.030325,-590.946838,-8.85E-4,0.054139,0.014214,0.0,1.0,2247.503174,, takeoff
14.439864,-294.984222,-293.790771,2.710572,0.058497,2.710572,0.058497,-289.999847,-290.0,18.953018,1.36931,3.494981,297.562286,9.719379,-0.031212,-0.027222,-382.569366,-8.63E-4,0.054165,0.014835,0.0,1.0,2249.705566,, takeoff
14.599432,-295.424622,-294.231201,2.712579,0.057707,2.712579,0.057707,-289.999847,-290.0,18.965061,1.531623,3.721146,297.561737,9.78613,-0.029744,-0.024553,-257.231049,-8.36E-4,0.054211,0.015282,0.0,1.0,2250.063721,, takeoff
14.998438,-295.934814,-294.741364,2.71907,0.056415,2.71907,0.056415,-289.999847,-290.0,18.984713,1.791336,4.213639,297.567047,9.920238,-0.027932,-0.020089,-121.550117,-8.24E-4,0.054252,0.015309,0.0,1.0,2249.388428,, takeoff
15.347378,-296.195313,-295.001862,2.726668,0.049812,2.726668,0.049812,-289.999847,-290.0,18.999166,1.975029,4.446235,297.573273,10.030334,-0.027016,-0.017192,-81.27739,-8.06E-4,0.054381,0.015044,0.0,1.0,2248.715576,, takeoff
15.964096,-296.494263,-295.300812,2.734971,0.04282,2.734971,0.04282,-299.999847,-300.0,19.0226,2.265917,4.907242,297.584137,10.223164,-0.023939,-0.013064,-55.097115,-7.12E-4,0.054533,0.014732,0.0,1.0,2249.110596,, takeoff
16.423395,-296.644897,-295.451447,2.736797,0.043151,2.736797,0.043151,-299.999847,-300.0,19.039362,2.469809,5.139269,297.590881,10.368074,-0.02246,-0.010618,-43.369553,-6.12E-4,0.054699,0.014189,0.0,1.0,2249.985596,, takeoff
17.166149,-296.814636,-295.621185,2.739372,0.044462,2.739372,0.044462,-299.999847,-300.0,19.065968,2.790179,5.492887,297.597717,10.606008,-0.021296,-0.007897,-29.995855,-6.16E-4,0.054736,0.013852,0.0,1.0,2251.811035,, takeoff
17.688725,-296.897949,-295.704498,2.741656,0.045407,2.741656,0.045407,-299.999847,-300.0,19.084692,3.013218,5.73091,297.599426,10.775943,-0.02103,-0.006752,-23.168941,-6.35E-4,0.054787,0.01351,0.0,1.0,2253.227295,, takeoff
18.502693,-296.988281,-295.794861,2.745586,0.046927,2.745586,0.046927,-299.999847,-300.0,19.114265,3.361582,6.087242,297.596924,11.043632,-0.021271,-0.006027,-20.999823,-6.49E-4,0.054833,0.013425,0.0,1.0,2255.501709,, takeoff
19.060581,-297.03006,-295.836609,2.748478,0.047969,2.748478,0.047969,-299.999847,-300.0,19.134972,3.602812,6.325734,297.592041,11.228163,-0.021785,-0.0061,-17.857893,-6.7E-4,0.054912,0.01355,0.0,1.0,2257.067871,, takeoff
19.914047,-297.071198,-295.877747,2.752971,0.04953,2.752971,0.04953,-299.999847,-300.0,19.167522,3.97778,6.684711,297.581177,11.509893,-0.022928,-0.006737,-12.587029,-6.85E-4,0.05497,0.013794,0.0,1.0,2259.442627,, takeoff
20.491398,-297.087036,-295.893585,2.756163,0.050516,2.756163,0.050516,-299.999847,-300.0,19.19022,4.2363,6.924576,297.572357,11.698629,-0.023787,-0.007352,-9.920425,-7.08E-4,0.055059,0.014337,0.0,1.0,2261.027344,, takeoff
21.366486,-297.097168,-295.903717,2.761069,0.051787,2.761069,0.051787,-299.999847,-300.0,19.22576,4.636549,7.281846,297.559082,11.979201,-0.024998,-0.008153,-6.877197,-7.22E-4,0.055123,0.014778,0.0,1.0,2263.393799,, takeoff
21.954391,-297.096527,-295.903107,2.764536,0.052489,2.764536,0.052489,-299.999847,-300.0,19.250452,4.911495,7.523319,297.551056,12.162421,-0.025611,-0.008492,6.162446,-7.4E-4,0.055221,0.015442,0.0,1.0,2264.960938,, takeoff
22.841059,-297.086731,-295.893311,2.769798,0.053225,2.769798,0.053225,-299.999847,-300.0,19.288982,5.335754,7.879483,297.542114,12.428125,-0.026074,-0.008437,17.110682,-7.5E-4,0.055291,0.015843,0.0,1.0,2267.29541,, takeoff
23.434513,-297.075348,-295.881897,2.773505,0.053578,2.773505,0.053578,-299.999847,-300.0,19.315664,5.626297,8.120755,297.538635,12.597398,-0.026033,-0.008024,19.61857,-7.6E-4,0.055396,0.01629,0.0,1.0,2268.841309,, takeoff
24.327099,-297.052307,-295.858856,2.779095,0.053892,2.779095,0.053892,-299.999847,-300.0,19.357178,6.073348,8.477321,297.537415,12.836823,-0.025449,-0.006847,15.595056,-7.65E-4,0.05547,0.016464,0.0,1.0,2271.147217,, takeoff
24.923292,-297.0336,-295.840149,2.782982,0.054071,2.782982,0.054071,-299.999847,-300.0,19.385845,6.37869,8.713736,297.53894,12.98543,-0.024793,-0.005798,13.680402,-7.7E-4,0.055582,0.016525,0.0,1.0,2272.677002,, takeoff
25.821465,-297.001587,-295.808136,2.759734,0.054521,2.759734,0.054521,-299.999847,-300.0,19.427086,6.847382,7.826292,297.543823,13.18984,-0.023575,-0.004001,13.237218,-7.72E-4,0.05566,0.016449,0.0,1.0,2274.963867,, takeoff
26.422182,-296.978577,-295.785126,2.761553,0.054797,2.761553,0.054797,-299.999847,-300.0,19.453598,7.166817,8.065621,297.548096,13.312789,-0.022723,-0.002804,14.39564,-7.79E-4,0.055195,0.016205,0.0,1.0,2276.485596,, takeoff
27.322765,-296.941986,-295.748566,2.770851,0.055522,2.770851,0.055522,-299.999847,-300.0,19.494781,7.65614,8.392844,297.553192,13.475949,-0.021739,-0.001436,14.113785,-7.83E-4,0.055231,0.015991,0.0,1.0,2278.764404,, takeoff
27.922869,-296.916351,-295.7229,2.77687,0.056227,2.77687,0.056227,-299.999847,-300.0,19.523169,7.988966,8.681246,297.55484,13.570011,-0.021426,-9.1E-4,17.551706,-7.93E-4,0.055417,0.015736,0.0,1.0,2280.282227,, takeoff
28.820862,-296.875854,-295.682404,2.795137,0.052798,2.795137,0.052798,-299.999847,-300.0,19.569088,8.497821,9.483074,297.553345,13.688429,-0.021819,-9.53E-4,22.520748,-8.03E-4,0.055537,0.015654,0.0,1.0,2282.556641,, takeoff
29.418882,-296.847382,-295.653931,2.799721,0.053696,2.799721,0.053696,-299.999847,-300.0,19.601059,8.843297,9.691085,297.549622,13.752122,-0.022153,-0.001326,14.567325,-7.54E-4,0.055903,0.015729,0.0,1.0,2284.071777,, takeoff
30.315456,-296.802612,-295.609161,2.8047,0.055507,2.8047,0.055507,-299.999847,-300.0,19.650347,9.370598,10.016265,297.540649,13.824675,-0.023398,-0.002329,18.913851,-7.67E-4,0.055994,0.015915,0.0,1.0,2286.343994,, takeoff
30.912981,-296.771515,-295.578064,2.802228,0.05685,2.802228,0.05685,-299.999847,-300.0,19.683828,9.728034,10.006517,297.53299,13.857787,-0.024582,-0.003174,14.201619,-7.93E-4,0.056094,0.016364,0.0,1.0,2287.858887,, takeoff
31.812622,-296.723877,-295.530426,2.789654,0.058615,2.789654,0.058615,-299.999847,-300.0,19.730099,10.272821,9.296905,297.521423,13.884904,-0.026251,-0.004284,14.39021,-8.12E-4,0.056045,0.016747,0.0,1.0,2290.133057,, takeoff
32.410877,-296.691742,-295.498322,2.794593,0.059566,2.794593,0.059566,-299.999847,-300.0,19.761465,10.64163,9.511078,297.51416,13.888306,-0.027224,-0.004867,14.714987,-8.37E-4,0.055793,0.017325,0.0,1.0,2291.650391,, takeoff
33.30756,-296.642914,-295.449463,2.803452,0.060605,2.803452,0.060605,-299.999847,-300.0,19.809814,11.203014,9.815692,297.505463,13.872364,-0.028188,-0.005292,15.081581,-8.51E-4,0.055892,0.017688,0.0,1.0,2293.928467,, takeoff
33.904453,-296.609833,-295.416382,2.80881,0.06113,2.80881,0.06113,-299.999847,-300.0,19.842901,11.582573,10.18656,297.501556,13.848436,-0.028412,-0.005245,15.368657,-8.66E-4,0.056069,0.018123,0.0,1.0,2295.448242,, takeoff
34.796619,-296.559052,-295.365601,2.828644,0.054245,2.828644,0.054245,-299.999847,-300.0,19.896469,12.159605,11.063956,297.498962,13.79414,-0.028519,-0.004843,16.109917,-8.73E-4,0.056176,0.018318,0.0,1.0,2297.72876,, takeoff
35.390186,-296.524048,-295.330597,2.83371,0.054123,2.83371,0.054123,-299.999847,-300.0,19.93368,12.549273,11.254616,297.499359,13.746787,-0.02751,-0.004167,16.693027,-7.75E-4,0.056573,0.018448,0.0,1.0,2299.249512,, takeoff
36.279465,-296.46991,-295.276459,2.839097,0.054252,2.839097,0.054252,-299.999847,-300.0,19.990723,13.141011,11.555076,297.502441,13.660934,-0.025755,-0.002894,17.512451,-7.73E-4,0.056674,0.018428,0.0,1.0,2301.53125,, takeoff
36.872688,-296.432861,-295.23941,2.823801,0.057441,2.823801,0.057441,-299.999847,-300.0,20.027439,13.540202,10.164856,297.505524,13.594971,-0.023887,-0.001908,17.885632,-7.75E-4,0.056782,0.018274,0.0,1.0,2303.053223,, takeoff
37.764118,-296.377228,-295.183807,2.824136,0.058644,2.824136,0.058644,-299.999847,-300.0,20.079067,14.145861,10.481963,297.510223,13.484854,-0.022597,-7.09E-4,17.815908,-8.21E-4,0.056476,0.01812,0.0,1.0,2305.338867,, takeoff
38.356945,-296.340149,-295.146698,2.830269,0.059264,2.830269,0.059264,-299.999847,-300.0,20.114349,14.554087,10.677245,297.512207,13.405184,-0.02196,-1.96E-4,17.869076,-8.38E-4,0.056483,0.017885,0.0,1.0,2306.864014,, takeoff
39.243233,-296.284027,-295.090576,2.850127,0.053418,2.850127,0.053418,-299.999847,-300.0,20.170546,15.17288,11.81715,297.51181,13.278411,-0.021944,-2.23E-4,18.245996,-8.47E-4,0.056605,0.017786,0.0,1.0,2309.153076,, takeoff
39.832142,-296.245758,-295.052338,2.856754,0.053927,2.856754,0.053927,-299.999847,-300.0,20.210245,15.589574,11.994578,297.509064,13.190348,-0.021936,-5.2E-4,18.732712,-7.63E-4,0.057003,0.017805,0.0,1.0,2310.679199,, takeoff
40.714245,-296.186981,-294.993561,2.862319,0.055576,2.862319,0.055576,-299.999847,-300.0,20.270922,16.220654,12.271558,297.501526,13.054943,-0.022814,-0.001423,21.520559,-7.7E-4,0.057135,0.017943,0.0,1.0,2312.96875,, takeoff
41.301304,-296.146912,-294.953461,2.866324,0.056873,2.866324,0.056873,-289.999847,-290.0,20.312155,16.645281,12.46138,297.494629,12.963533,-0.023866,-0.002232,15.588959,-7.94E-4,0.057246,0.01832,0.0,1.0,2314.495605,, takeoff
42.180191,-296.085938,-294.892487,2.857622,0.058896,2.857622,0.058896,-289.999847,-290.0,20.371994,17.287895,11.555882,297.483398,12.826419,-0.025763,-0.003425,21.720373,-8.12E-4,0.057326,0.018665,0.0,1.0,2316.782227,, takeoff
42.7649,-296.045654,-294.852203,2.860651,0.060034,2.860651,0.060034,-289.999847,-290.0,20.410858,17.719988,11.679817,297.476166,12.735932,-0.027018,-0.004083,18.296562,-8.41E-4,0.057152,0.019226,0.0,1.0,2318.299561,, takeoff
