airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,
Command: takeoff
6.541804,-87.984444,-86.791,2.970183,1.356661,2.591034,0.09283,-89.999855,-90.0,2.286523,0.0,0.008173,297.866943,278.62439,0.01238,-0.044599,-14.219509,-0.0,0.0,0.0,0.0,0.0,600.22168,
6.639549,-87.998665,-86.805214,2.921061,1.192984,2.590921,0.092516,-89.999855,-90.0,2.286565,0.0,0.003316,297.865631,282.124207,0.012397,-0.038227,-18.580849,-0.019381,0.051821,0.0,0.0,1.0,610.115601,
6.711326,-88.006111,-86.812668,2.759947,0.684368,2.582191,0.091848,-89.999855,-90.0,2.286551,4.4E-5,-0.011858,297.864685,284.436554,0.012333,-0.034473,-17.050116,-0.017043,0.051818,6.6E-5,0.0,1.0,680.540405,
6.817194,-88.014137,-86.820694,2.576735,0.196222,2.544508,0.0888,-89.999855,-90.0,2.286425,2.34E-4,-0.041334,297.86322,287.477264,0.012209,-0.030037,-18.41156,-0.009777,0.051644,1.13E-4,0.0,1.0,852.969971,
6.926239,-88.018822,-86.825378,2.508409,0.084133,2.508409,0.084133,-89.999855,-90.0,2.286316,7.89E-4,-0.016413,297.862,289.615723,0.012355,-0.027235,-16.772591,-0.002803,0.05089,1.86E-4,0.0,1.0,1011.368164,
7.159778,-88.024025,-86.830582,2.489524,0.073669,2.489524,0.073669,-89.999855,-90.0,2.286387,0.003843,0.04331,297.860046,292.442047,0.012105,-0.023897,-16.853382,-0.001202,0.050168,2.47E-4,0.0,1.0,1245.637817,
7.405898,-88.027054,-86.833603,2.493735,0.063567,2.493735,0.063567,-89.999855,-90.0,2.286625,0.009373,0.085616,297.858124,294.397461,0.011552,-0.021846,-18.550705,-0.001052,0.04979,3.45E-4,0.0,1.0,1413.498047,
7.827984,-88.030121,-86.836678,2.51018,0.048616,2.51018,0.048616,-89.999855,-90.0,2.287162,0.023221,0.138473,297.854095,296.747498,0.010141,-0.019769,-8.54088,-9.08E-4,0.049875,4.41E-4,0.0,1.0,1610.506104,
8.1944,-88.031776,-86.838333,2.524755,0.03764,2.524755,0.03764,-89.999855,-90.0,2.287692,0.03897,0.175787,297.849579,298.25415,0.011342,-0.018751,-17.184267,-6.95E-4,0.050204,6.42E-4,0.0,1.0,1729.809814,
8.630754,-88.033119,-86.839676,2.540256,0.026392,2.540256,0.026392,-89.999855,-90.0,2.288378,0.061812,0.217557,297.842865,299.681854,0.010765,-0.018111,-11.627813,-5.38E-4,0.050495,8.68E-4,0.0,1.0,1835.667603,
8.630754,-88.033119,-86.839676,2.540256,0.026392,2.540256,0.026392,-89.999855,-90.0,2.288378,0.061812,0.217557,297.842865,299.681854,0.010765,-0.018111,-11.627813,-5.38E-4,0.050495,8.68E-4,0.0,1.0,1835.667603,
10.165652,-88.035469,-86.842026,2.580126,-0.001642,2.580126,-0.001642,-89.999855,-90.0,2.291238,0.174178,0.344742,297.8078,302.97641,0.014825,-0.018824,-10.406564,-3.77E-4,0.050805,0.001204,0.0,1.0,2048.095703,
10.735309,-88.035561,-86.84211,2.590893,-0.008666,2.590893,-0.008666,-89.999855,-90.0,2.292473,0.227919,0.391837,297.790314,303.765991,0.017331,-0.019863,-10.950554,2.3E-5,0.051603,0.002957,0.0,1.0,2092.675293,
11.578455,-88.035255,-86.841812,2.602073,-0.016887,2.602073,-0.016887,-89.999855,-90.0,2.294493,0.319412,0.462983,297.764282,304.633423,0.020114,-0.021306,-8.924829,1.24E-4,0.051818,0.003831,0.0,1.0,2140.19165,
12.221131,-88.034752,-86.841301,2.609097,-0.021807,2.609097,-0.021807,-89.999855,-90.0,2.296196,0.398456,0.515973,297.744202,305.0849,0.02209,-0.02236,-3.384935,2.41E-4,0.052041,0.005133,0.0,1.0,2165.821533,
13.167681,-88.033607,-86.840164,2.617692,-0.027506,2.617692,-0.027506,-89.999855,-90.0,2.298985,0.530028,0.595962,297.71637,305.463409,0.024153,-0.023467,11.898318,3.12E-4,0.052182,0.006137,0.0,1.0,2192.246094,
13.809533,-88.032593,-86.839149,2.622839,-0.030587,2.622839,-0.030587,-89.999855,-90.0,2.301071,0.629394,0.651298,297.699066,305.542877,0.025341,-0.023897,16.678129,3.93E-4,0.052354,0.007529,0.0,1.0,2204.72168,
14.81011,-88.030632,-86.837189,2.629767,-0.034241,2.629767,-0.034241,-89.999855,-90.0,2.304651,0.800708,0.737784,297.677429,305.406799,0.02694,-0.023643,14.073541,4.37E-4,0.052457,0.008394,0.0,1.0,2219.84082,
15.464571,-88.029114,-86.83567,2.634054,-0.03614,2.634054,-0.03614,-89.999855,-90.0,2.307213,0.923454,0.794795,297.667053,305.159454,0.02797,-0.02291,7.599126,4.89E-4,0.052595,0.009476,0.0,1.0,2227.703125,
16.396919,-88.026627,-86.833183,2.639795,-0.038549,2.639795,-0.038549,-89.999855,-90.0,2.311171,1.112752,0.878769,297.658875,304.610016,0.029347,-0.020941,7.059779,5.16E-4,0.052681,0.009995,0.0,1.0,2236.848633,
17.085943,-88.024559,-86.831116,2.644053,-0.040192,2.644053,-0.040192,-89.999855,-90.0,2.314329,1.263281,0.937488,297.657776,304.068268,0.030616,-0.018889,18.099743,5.51E-4,0.052796,0.010403,0.0,1.0,2242.403564,
18.108932,-88.021118,-86.827675,2.650239,-0.042543,2.650239,-0.042543,-89.999855,-90.0,2.319391,1.503338,1.027793,297.663574,303.074097,0.032405,-0.015063,10.091516,5.74E-4,0.052881,0.010458,0.0,1.0,2249.253174,
18.71841,-88.018852,-86.825409,2.654011,-0.043886,2.654011,-0.043886,-89.999855,-90.0,2.322621,1.655659,1.081387,297.670807,302.385742,0.033455,-0.012465,7.918481,6.08E-4,0.053005,0.010168,0.0,1.0,2252.72168,
19.772861,-88.014572,-86.821129,2.660418,-0.046101,2.660418,-0.046101,-89.999855,-90.0,2.328587,1.935196,1.174238,297.687988,301.050598,0.03562,-0.007779,17.041372,6.27E-4,0.05308,0.009807,0.0,1.0,2257.919189,
20.411638,-88.011742,-86.818298,2.664403,-0.047356,2.664403,-0.047356,-89.999855,-90.0,2.332437,2.11429,1.230679,297.700592,300.165955,0.036865,-0.004947,17.97929,6.59E-4,0.053208,0.008948,0.0,1.0,2260.684082,
21.411982,-88.006966,-86.813522,2.67055,-0.049145,2.67055,-0.049145,-89.999855,-90.0,2.338825,2.409215,1.31864,297.721039,298.689514,0.038561,-9.31E-4,16.576464,6.77E-4,0.053288,0.008318,0.0,1.0,2264.582031,
22.07893,-88.003548,-86.810097,2.674766,-0.050229,2.674766,-0.050229,-89.999855,-90.0,2.343328,2.615511,1.377559,297.734528,297.656982,0.039504,0.001402,6.568675,7.02E-4,0.053411,0.007295,0.0,1.0,2266.953613,
23.106974,-87.997894,-86.804451,2.681235,-0.051695,2.681235,-0.051695,-89.999855,-90.0,2.350656,2.948312,1.468434,297.75293,296.014862,0.040541,0.004182,10.51808,7.18E-4,0.053495,0.006621,0.0,1.0,2270.345459,
23.773182,-87.993988,-86.800545,2.685593,-0.052574,2.685593,-0.052574,-89.999855,-90.0,2.35566,3.173527,1.52732,297.763275,294.931152,0.040958,0.005523,17.010267,7.38E-4,0.053625,0.005701,0.0,1.0,2272.412598,
24.716074,-87.988121,-86.794678,2.691726,-0.053677,2.691726,-0.053677,-89.999855,-90.0,2.363084,3.504826,1.61431,297.775024,293.391357,0.0412,0.006748,19.456905,7.51E-4,0.053712,0.005183,0.0,1.0,2275.20752,
25.409475,-87.983566,-86.790123,2.696408,-0.054509,2.696408,-0.054509,-89.999855,-90.0,2.368794,3.757364,1.672157,297.781921,292.268433,0.041194,0.00728,17.174772,7.67E-4,0.053835,0.004596,0.0,1.0,2277.185059,
26.433893,-87.976448,-86.782997,2.703349,-0.055744,2.703349,-0.055744,-89.999855,-90.0,2.377637,4.144622,1.762731,297.7901,290.642487,0.040982,0.007658,14.44286,7.79E-4,0.053928,0.004251,0.0,1.0,2280.021973,
27.069939,-87.971786,-86.778343,2.707858,-0.05661,2.707858,-0.05661,-89.999855,-90.0,2.38337,4.393265,1.819507,297.7948,289.664001,0.040812,0.007813,11.754798,7.96E-4,0.054067,0.003842,0.0,1.0,2281.743896,
28.063938,-87.964134,-86.770691,2.717217,-0.056481,2.717217,-0.056481,-89.999855,-90.0,2.392937,4.794273,2.033747,297.802643,288.199097,0.041076,0.008161,11.784549,8.09E-4,0.054157,0.003607,0.0,1.0,2284.391357,
28.72529,-87.958725,-86.765282,2.725542,-0.053196,2.725542,-0.053196,-89.999855,-90.0,2.399928,5.069421,2.184011,297.80896,287.27655,0.040956,0.008605,13.177336,8.07E-4,0.054344,0.003215,0.0,1.0,2286.131104,
