airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,
Command: takeoff
6.369645,-87.982513,-86.789063,2.969545,1.354375,2.591644,0.094707,-89.999855,-90.0,2.286486,0.0,0.005962,297.86792,278.051636,0.012278,-0.050836,-13.190429,-0.0,0.0,0.0,0.0,0.0,600.13031,
6.402729,-87.992561,-86.799118,2.975372,1.372503,2.592129,0.095026,-89.999855,-90.0,2.286507,0.0,0.005828,297.867126,280.33548,0.012248,-0.045978,-9.430722,-0.0,0.0,0.0,0.0,0.0,600.139465,
6.462353,-88.004395,-86.810951,2.772529,0.721557,2.584614,0.095173,-89.999855,-90.0,2.286499,3.4E-5,-0.012293,297.865814,283.702454,0.012072,-0.039574,-17.076672,-0.019607,0.051843,4.0E-5,0.0,1.0,672.632751,
6.506673,-88.010582,-86.817139,2.636141,0.335389,2.563751,0.09409,-89.999855,-90.0,2.286426,1.4E-4,-0.033362,297.864838,285.884308,0.011909,-0.035857,-9.129906,-0.010308,0.051692,1.05E-4,0.0,1.0,784.4104,
6.606978,-88.017937,-86.824493,2.511847,0.089095,2.511847,0.089095,-89.999855,-90.0,2.286247,7.35E-4,-0.019964,297.863129,289.026276,0.011658,-0.031053,-19.322855,-0.004791,0.051275,1.54E-4,0.0,1.0,1004.480652,
6.726531,-88.02182,-86.828377,2.494776,0.083062,2.494776,0.083062,-89.999855,-90.0,2.286252,0.002324,0.021404,297.861816,291.015015,0.011938,-0.028319,-14.288124,-0.001273,0.050237,2.4E-4,0.0,1.0,1165.16687,
6.999202,-88.026413,-86.83297,2.497963,0.070811,2.497963,0.070811,-89.999855,-90.0,2.286518,0.008745,0.083037,297.859161,293.810852,0.014336,-0.024882,-11.307194,-0.001187,0.049896,3.05E-4,0.0,1.0,1401.326294,
7.252795,-88.028793,-86.83535,2.5102,0.061187,2.5102,0.061187,-89.999855,-90.0,2.286857,0.017211,0.120988,297.856171,295.535431,0.016759,-0.023093,-10.269403,-0.001012,0.049959,4.38E-4,0.0,1.0,1545.144653,
7.738853,-88.031525,-86.838081,2.534158,0.046115,2.534158,0.046115,-89.999855,-90.0,2.287599,0.0388,0.177362,297.848663,297.892242,0.022308,-0.021241,-11.362617,-8.74E-4,0.050204,5.87E-4,0.0,1.0,1730.936523,
8.128908,-88.032875,-86.839432,2.551139,0.036246,2.551139,0.036246,-89.999855,-90.0,2.288249,0.060543,0.213303,297.84021,299.299988,0.025405,-0.020703,-17.607063,-6.59E-4,0.050683,9.63E-4,0.0,1.0,1833.204224,
8.584925,-88.033936,-86.840492,2.567776,0.026745,2.567776,0.026745,-89.999855,-90.0,2.289063,0.09052,0.250249,297.827667,300.620361,0.031703,-0.020775,-10.526235,-5.18E-4,0.051023,0.001385,0.0,1.0,1922.011108,
8.584925,-88.033936,-86.840492,2.567776,0.026745,2.567776,0.026745,-89.999855,-90.0,2.289063,0.09052,0.250249,297.827667,300.620361,0.031703,-0.020775,-10.526235,-5.18E-4,0.051023,0.001385,0.0,1.0,1922.011108,
10.118064,-88.035576,-86.842133,2.606842,0.006545,2.606842,0.006545,-89.999855,-90.0,2.29226,0.225138,0.385004,297.766998,303.55365,0.030142,-0.024492,-18.203484,-3.82E-4,0.051356,0.002013,0.0,1.0,2093.368896,
10.681915,-88.035454,-86.84201,2.616861,0.001973,2.616861,0.001973,-89.999855,-90.0,2.293625,0.287427,0.431597,297.737244,304.238281,0.029458,-0.026898,-17.732718,-9.3E-5,0.052137,0.005046,0.0,1.0,2129.110352,
11.53651,-88.034851,-86.841408,2.627123,-0.002644,2.627123,-0.002644,-89.999855,-90.0,2.295903,0.394716,0.503848,297.69165,304.973755,0.028383,-0.030258,-15.309915,-2.8E-5,0.052337,0.006534,0.0,1.0,2167.692383,
12.138719,-88.03418,-86.840736,2.633072,-0.00467,2.633072,-0.00467,-89.999855,-90.0,2.297678,0.479723,0.557107,297.658661,305.300201,0.027716,-0.032547,-11.998351,3.8E-5,0.052542,0.008814,0.0,1.0,2186.853271,
13.059181,-88.032784,-86.83934,2.640643,-0.006331,2.640643,-0.006331,-89.999855,-90.0,2.300673,0.624746,0.638167,297.609558,305.525818,0.026764,-0.035445,6.575634,6.7E-5,0.052661,0.010463,0.0,1.0,2207.261475,
13.680881,-88.031609,-86.838165,2.645178,-0.00673,2.645178,-0.00673,-89.999855,-90.0,2.302898,0.733048,0.693201,297.57724,305.506256,0.026244,-0.037062,14.194398,9.0E-5,0.052813,0.012918,0.0,1.0,2216.612061,
14.620814,-88.029472,-86.836029,2.651124,-0.006328,2.651124,-0.006328,-89.999855,-90.0,2.306584,0.912713,0.777444,297.533203,305.234985,0.025587,-0.038454,12.070702,9.6E-5,0.052904,0.014534,0.0,1.0,2227.512207,
15.251052,-88.027809,-86.834366,2.654913,-0.005511,2.654913,-0.005511,-89.999855,-90.0,2.309277,1.043792,0.834454,297.506805,304.901947,0.025305,-0.038798,5.281623,9.0E-5,0.053022,0.016736,0.0,1.0,2233.554443,
16.226772,-88.024879,-86.831436,2.660493,-0.003844,2.660493,-0.003844,-89.999855,-90.0,2.313802,1.263245,0.922884,297.473297,304.168915,0.025064,-0.038106,8.826008,7.9E-5,0.053098,0.018056,0.0,1.0,2241.354736,
16.83515,-88.022827,-86.829384,2.663978,-0.002661,2.663978,-0.002661,-89.999855,-90.0,2.316845,1.410087,0.978052,297.457031,303.589996,0.025159,-0.037,18.785904,6.4E-5,0.053174,0.01924,0.0,1.0,2245.456787,
17.789366,-88.019272,-86.825829,2.669559,-5.73E-4,2.669559,-5.73E-4,-89.999855,-90.0,2.321965,1.655614,1.065543,297.437012,302.515259,0.025456,-0.034638,12.00778,3.8E-5,0.05328,0.020544,0.0,1.0,2250.98584,
18.452793,-88.016548,-86.823105,2.673469,0.001038,2.673469,0.001038,-89.999855,-90.0,2.325778,1.837149,1.126975,297.426392,301.661804,0.025739,-0.032683,12.962122,8.0E-6,0.053391,0.021545,0.0,1.0,2254.315918,
19.409281,-88.012276,-86.818832,2.679042,0.003585,2.679042,0.003585,-89.999855,-90.0,2.331637,2.114049,1.213027,297.414978,300.302826,0.026216,-0.029601,7.315506,-1.5E-5,0.053469,0.022076,0.0,1.0,2258.550781,
20.047255,-88.009193,-86.81575,2.682817,0.005466,2.682817,0.005466,-89.999855,-90.0,2.335786,2.308578,1.272549,297.408844,299.325836,0.02651,-0.027571,11.189258,-3.7E-5,0.05354,0.022462,0.0,1.0,2261.084717,
21.003609,-88.004204,-86.81076,2.688639,0.0086,2.688639,0.0086,-89.999855,-90.0,2.342374,2.614875,1.359337,297.399292,297.778107,0.026726,-0.024947,10.203274,-7.8E-5,0.053656,0.022954,0.0,1.0,2264.555664,
21.614672,-88.000801,-86.807358,2.692326,0.010801,2.692326,0.010801,-89.999855,-90.0,2.346812,2.819466,1.414941,297.392242,296.750793,0.026659,-0.023621,14.840599,-1.07E-4,0.053734,0.023267,0.0,1.0,2266.609863,
22.597723,-87.994957,-86.801506,2.698427,0.014696,2.698427,0.014696,-89.999855,-90.0,2.354327,3.162758,1.50796,297.377594,295.059601,0.026111,-0.022257,17.92001,-1.54E-4,0.053847,0.023784,0.0,1.0,2269.713135,
23.207476,-87.991096,-86.797653,2.702234,0.017293,2.702234,0.017293,-89.999855,-90.0,2.359231,3.384751,1.560716,297.36615,293.997131,0.02547,-0.021874,12.450103,-1.9E-4,0.053926,0.024234,0.0,1.0,2271.543701,
24.188463,-87.98452,-86.791077,2.708542,0.021725,2.708542,0.021725,-89.999855,-90.0,2.367496,3.755307,1.65082,297.343384,292.292816,0.02405,-0.022009,18.564392,-2.47E-4,0.054045,0.025089,0.0,1.0,2274.370361,
