airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,
Command: takeoff
6.326338,-87.959633,-86.76619,2.974432,1.37278,2.590859,0.094206,-89.999855,-90.0,2.286452,0.0,0.006364,297.868652,274.229492,0.012311,-0.054288,-20.31789,-0.0,0.0,0.0,0.0,0.0,600.112854,
6.372205,-87.981766,-86.788322,2.933202,1.234581,2.591236,0.094695,-89.999855,-90.0,2.286485,0.0,0.002077,297.867279,278.051636,0.012249,-0.045925,-13.330367,-0.019611,0.051817,0.0,0.0,1.0,608.491028,
6.408131,-87.991951,-86.798508,2.776553,0.736715,2.583943,0.094682,-89.999855,-90.0,2.286468,3.4E-5,-0.011489,297.866394,280.335541,0.012129,-0.04156,-12.046087,-0.017637,0.051825,6.9E-5,0.0,1.0,672.630005,
6.468388,-88.003677,-86.810234,2.584099,0.214911,2.547392,0.092554,-89.999855,-90.0,2.286335,2.19E-4,-0.043042,297.864929,283.610901,0.011903,-0.036011,-17.527163,-0.010525,0.051679,1.13E-4,0.0,1.0,846.82196,
6.542909,-88.010269,-86.816826,2.51124,0.088567,2.51124,0.088567,-89.999855,-90.0,2.286215,7.37E-4,-0.019461,297.863708,285.886078,0.011918,-0.032599,-12.306317,-0.00307,0.050948,1.86E-4,0.0,1.0,1004.505066,
6.735415,-88.017738,-86.824287,2.492438,0.078821,2.492438,0.078821,-89.999855,-90.0,2.286276,0.003812,0.04244,297.861633,289.031982,0.013169,-0.028414,-10.876628,-0.001265,0.050225,2.47E-4,0.0,1.0,1245.724976,
6.931075,-88.021629,-86.828186,2.497333,0.070283,2.497333,0.070283,-89.999855,-90.0,2.286485,0.008763,0.082367,297.859741,291.024719,0.014793,-0.026085,-17.169331,-0.001126,0.049849,3.51E-4,0.0,1.0,1401.535889,
7.329457,-88.026176,-86.832733,2.517082,0.055648,2.517082,0.055648,-89.999855,-90.0,2.28704,0.023133,0.138875,297.854858,293.828186,0.019187,-0.023381,-14.725946,-0.001004,0.049947,4.46E-4,0.0,1.0,1611.624268,
7.666516,-88.028496,-86.835045,2.533606,0.045499,2.533606,0.045499,-89.999855,-90.0,2.287565,0.038858,0.176323,297.849152,295.558685,0.024567,-0.022196,-13.50759,-7.95E-4,0.050342,6.9E-4,0.0,1.0,1731.286743,
8.250539,-88.031029,-86.837585,2.557815,0.031327,2.557815,0.031327,-89.999855,-90.0,2.288553,0.072859,0.227338,297.836121,297.863281,0.030239,-0.02141,-13.42172,-6.5E-4,0.050672,9.75E-4,0.0,1.0,1874.82019,
8.72635,-88.032326,-86.838882,2.573992,0.022238,2.573992,0.022238,-89.999855,-90.0,2.28943,0.10642,0.273395,297.82193,299.339539,0.034917,-0.021666,-18.821217,-4.48E-4,0.051156,0.001627,0.0,1.0,1956.174683,
9.481157,-88.033554,-86.840111,2.593776,0.011441,2.593776,0.011441,-89.999855,-90.0,2.290954,0.169963,0.33687,297.79425,301.202209,0.032511,-0.023069,-13.337787,-3.18E-4,0.05148,0.002336,0.0,1.0,2046.585083,
9.481157,-88.033554,-86.840111,2.593776,0.011441,2.593776,0.011441,-89.999855,-90.0,2.290954,0.169963,0.33687,297.79425,301.202209,0.032511,-0.023069,-13.337787,-3.18E-4,0.05148,0.002336,0.0,1.0,2046.585083,
10.85463,-88.034592,-86.841148,2.618721,-1.4E-5,2.618721,-1.4E-5,-89.999855,-90.0,2.294208,0.316432,0.450321,297.729828,303.553345,0.029595,-0.027691,-17.805859,-1.63E-4,0.051876,0.00372,0.0,1.0,2141.9646,
11.437871,-88.034294,-86.840851,2.626359,-0.00316,2.626359,-0.00316,-89.999855,-90.0,2.295798,0.391804,0.500565,297.696716,304.254791,0.028722,-0.03028,-16.62801,0.0,0.052374,0.006941,0.0,1.0,2167.12793,
12.34418,-88.033379,-86.839935,2.634817,-0.006116,2.634817,-0.006116,-89.999855,-90.0,2.298508,0.52235,0.581626,297.646942,305.030304,0.027604,-0.033638,-12.405643,4.5E-5,0.052527,0.008597,0.0,1.0,2194.391113,
12.985855,-88.032448,-86.839005,2.63996,-0.007189,2.63996,-0.007189,-89.999855,-90.0,2.300629,0.625375,0.637564,297.612122,305.375946,0.026996,-0.035709,-5.397514,8.7E-5,0.052696,0.011086,0.0,1.0,2207.617676,
13.920412,-88.030708,-86.837265,2.646381,-0.007697,2.646381,-0.007697,-89.999855,-90.0,2.304033,0.791419,0.7205,297.565247,305.603302,0.026182,-0.03776,14.308754,1.03E-4,0.052799,0.012827,0.0,1.0,2220.780273,
14.548134,-88.029289,-86.835846,2.65034,-0.007373,2.65034,-0.007373,-89.999855,-90.0,2.306536,0.913573,0.777377,297.536499,305.58374,0.025798,-0.038553,7.276392,1.1E-4,0.052928,0.01517,0.0,1.0,2227.642822,
