airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm
24.96118,-193.805786,-192.61235,3.051427,1.363597,2.697136,0.182628,-189.999863,-190.0,18.855429,3.39E-4,0.001541,297.868195,15.704968,-0.046938,-0.04954,-1665.791626,-0.0,0.0,0.0,0.0,0.0,601.95343
24.910698,-200.883423,-199.689972,3.0154,1.245853,2.696473,0.182762,-199.999863,-200.0,18.855434,3.3E-4,-0.002881,297.867126,15.18491,-0.046964,-0.043523,-1670.892578,-0.019429,0.053944,0.0,0.0,1.0,608.836304
24.939867,-208.964569,-207.771133,2.795379,0.564333,2.680769,0.182297,-209.999863,-210.0,18.855371,3.83E-4,-0.021772,297.865753,14.574422,-0.047155,-0.037489,-1671.078613,-0.017798,0.053929,6.3E-5,0.0,1.0,721.982727
24.961882,-214.354065,-213.160629,2.677729,0.268417,2.651291,0.18029,-209.999863,-210.0,18.855263,5.19E-4,-0.045421,297.864685,14.168674,-0.047306,-0.03401,-1671.229004,-0.008062,0.053615,1.31E-4,0.0,1.0,851.625061
24.963642,-222.453949,-221.260513,2.596473,0.173397,2.596473,0.173397,-219.999863,-220.0,18.85511,0.001426,0.003785,297.862823,13.569481,-0.045247,-0.029525,-1671.950317,-0.003835,0.053026,1.85E-4,0.0,1.0,1086.852783
25.005817,-228.079681,-226.88623,2.585011,0.165799,2.585011,0.165799,-219.999863,-220.0,18.855253,0.003763,0.079118,297.861481,13.164367,-0.044409,-0.026858,-1672.366821,-0.002477,0.051929,2.78E-4,0.0,1.0,1258.159424
25.033594,-235.953293,-234.759842,2.596693,0.152198,2.596693,0.152198,-229.999863,-230.0,18.85594,0.011837,0.203355,297.859375,12.618683,-0.045174,-0.023673,-1672.741333,-0.002369,0.0517,3.45E-4,0.0,1.0,1485.34436
25.069778,-241.356842,-240.163391,2.612729,0.141867,2.612729,0.141867,-239.999863,-240.0,18.856792,0.022191,0.305451,297.857513,12.262455,-0.04915,-0.021818,-1673.088623,-0.002174,0.051934,4.5E-4,0.0,1.0,1624.082031
25.158916,-249.687805,-248.49437,2.639175,0.125605,2.639175,0.125605,-249.999863,-250.0,18.858826,0.048658,0.485425,297.851135,11.747606,-0.05712,-0.019938,-1673.512207,-0.002027,0.052255,5.43E-4,0.0,1.0,1803.858765
25.210598,-254.866928,-253.673477,2.654054,0.115657,2.654054,0.115657,-249.999863,-250.0,18.860603,0.072899,0.6243,297.843475,11.451239,-0.064026,-0.01946,-1673.726196,-0.001794,0.052784,8.62E-4,0.0,1.0,1894.384521
25.347088,-263.201355,-262.007904,2.672739,0.101657,2.672739,0.101657,-259.999847,-260.0,18.86441,0.12654,0.86172,297.823486,11.016732,-0.061551,-0.020012,-1674.055054,-0.001652,0.053081,0.001245,0.0,1.0,2008.934814
25.43852,-268.38031,-267.18689,2.6815,0.094164,2.6815,0.094164,-259.999847,-260.0,18.867435,0.169867,1.026722,297.80542,10.774673,-0.056248,-0.02115,-1674.136719,-0.001452,0.053455,0.002245,0.0,1.0,2063.415039
23.284584,-276.073364,-274.879913,2.691168,0.084356,2.691168,0.084356,-269.999847,-270.0,18.873463,0.25683,1.314654,297.770264,10.432845,-0.049867,-0.023656,-1649.580688,-0.001345,0.05363,0.003148,0.0,1.0,2129.487061
21.394596,-279.97403,-278.780579,2.695552,0.079349,2.695552,0.079349,-279.999847,-280.0,18.878189,0.325078,1.514224,297.743683,10.243421,-0.046401,-0.025635,-1593.926514,-0.001205,0.053823,0.004906,0.0,1.0,2160.999512
19.054653,-284.533142,-283.339691,2.699989,0.073563,2.699989,0.073563,-279.999847,-280.0,18.886557,0.445377,1.825938,297.701782,10.007751,-0.042554,-0.028509,-1467.667603,-0.001134,0.053911,0.006235,0.0,1.0,2195.53833
17.854557,-286.801941,-285.60849,2.702085,0.070696,2.702085,0.070696,-279.999847,-280.0,18.892731,0.533608,2.033681,297.674194,9.887685,-0.040595,-0.030233,-1366.944214,-0.001051,0.054,0.00833,0.0,1.0,2211.364746
16.376101,-289.645325,-288.451874,2.704565,0.067051,2.704565,0.067051,-289.999847,-290.0,18.904062,0.694156,2.369914,297.633057,9.743875,-0.038166,-0.032104,-1181.354126,-0.00101,0.054042,0.009709,0.0,1.0,2229.248047
15.719376,-291.014923,-289.821472,2.705888,0.065208,2.705888,0.065208,-289.999847,-290.0,18.911991,0.805448,2.585194,297.610046,9.684536,-0.03689,-0.032709,-1055.175537,-9.58E-4,0.054091,0.011766,0.0,1.0,2236.751221
15.043814,-292.729553,-291.536102,2.707772,0.06261,2.707772,0.06261,-289.999847,-290.0,18.926188,1.002714,2.931208,297.581329,9.635777,-0.035007,-0.032228,-840.929504,-9.32E-4,0.054118,0.012917,0.0,1.0,2244.579102
14.834259,-293.554199,-292.360748,2.708964,0.06113,2.708964,0.06113,-289.999847,-290.0,18.935913,1.136491,3.148966,297.568848,9.633384,-0.033802,-0.031116,-703.913025,-8.94E-4,0.054155,0.014352,0.0,1.0,2247.437012
14.761705,-294.584473,-293.391022,2.710977,0.058879,2.710977,0.058879,-289.999847,-290.0,18.953011,1.369241,3.496923,297.559204,9.671992,-0.031728,-0.027889,-484.505432,-8.73E-4,0.054179,0.014976,0.0,1.0,2249.710938
14.853725,-295.078583,-293.885132,2.712673,0.057918,2.712673,0.057918,-289.999847,-290.0,18.964537,1.524594,3.710461,297.558868,9.720915,-0.030189,-0.025234,-354.616852,-8.41E-4,0.05422,0.015459,0.0,1.0,2250.057373
15.185973,-295.693512,-294.500092,2.719039,0.056247,2.719039,0.056247,-289.999847,-290.0,18.984718,1.79121,4.210256,297.565247,9.836655,-0.028054,-0.020416,-178.198273,-8.27E-4,0.054253,0.015476,0.0,1.0,2249.372803
15.497027,-295.99823,-294.804779,2.726564,0.049592,2.726564,0.049592,-289.999847,-290.0,18.999163,1.974879,4.444561,297.572449,9.934271,-0.027073,-0.017338,-107.659454,-8.04E-4,0.054381,0.015157,0.0,1.0,2248.694824
16.069979,-296.348907,-295.155457,2.73494,0.042655,2.73494,0.042655,-299.999847,-300.0,19.022591,2.265728,4.906304,297.584717,10.110718,-0.023865,-0.012968,-65.84317,-7.08E-4,0.054531,0.014796,0.0,1.0,2249.085449
16.488024,-296.519653,-295.326202,2.736724,0.042969,2.736724,0.042969,-299.999847,-300.0,19.038635,2.460942,5.129388,297.59201,10.240416,-0.02225,-0.010495,-52.173164,-6.09E-4,0.054699,0.014183,0.0,1.0,2249.915771
17.203739,-296.722626,-295.529205,2.739278,0.044308,2.739278,0.044308,-299.999847,-300.0,19.065187,2.780792,5.482269,297.599884,10.466183,-0.021031,-0.007638,-36.282764,-6.14E-4,0.054734,0.013818,0.0,1.0,2251.727539
17.734535,-296.826843,-295.633392,2.741643,0.045318,2.741643,0.045318,-299.999847,-300.0,19.084671,3.01293,5.730843,297.60202,10.636788,-0.020732,-0.006417,-27.934933,-6.33E-4,0.054786,0.013425,0.0,1.0,2253.199707
18.53425,-296.936127,-295.742706,2.745562,0.046897,2.745562,0.046897,-299.999847,-300.0,19.114239,3.361249,6.08761,297.599487,10.898057,-0.021003,-0.005748,-26.282782,-6.47E-4,0.054833,0.013318,0.0,1.0,2255.474609
19.084957,-296.987701,-295.79425,2.748445,0.047984,2.748445,0.047984,-299.999847,-300.0,19.134941,3.602449,6.325532,297.594299,11.079949,-0.021573,-0.0059,-16.759142,-6.7E-4,0.054911,0.013445,0.0,1.0,2257.04126
19.930393,-297.040314,-295.846863,2.75292,0.049611,2.75292,0.049611,-299.999847,-300.0,19.167488,3.977368,6.682098,297.582642,11.360104,-0.022829,-0.006691,-13.78169,-6.85E-4,0.054969,0.013704,0.0,1.0,2259.41626
20.503702,-297.062103,-295.868652,2.756096,0.050626,2.756096,0.050626,-299.999847,-300.0,19.190182,4.235856,6.921562,297.573181,11.549306,-0.023759,-0.007411,-12.42723,-7.09E-4,0.055058,0.014287,0.0,1.0,2261.001465
21.374163,-297.079163,-295.885712,2.760991,0.051925,2.760991,0.051925,-299.999847,-300.0,19.225718,4.636053,7.282314,297.55899,11.832716,-0.025107,-0.00834,-16.014713,-7.23E-4,0.055122,0.01476,0.0,1.0,2263.36792
21.935307,-297.082123,-295.888702,2.764313,0.052601,2.764313,0.052601,-299.999847,-300.0,19.249361,4.899382,7.511495,297.550812,12.011454,-0.025768,-0.008723,-17.387077,-7.42E-4,0.05522,0.015469,0.0,1.0,2264.870117
22.819098,-297.076843,-295.883392,2.769605,0.053321,2.769605,0.053321,-299.999847,-300.0,19.287838,5.323197,7.870305,297.541382,12.284108,-0.026302,-0.008713,7.75519,-7.51E-4,0.055286,0.015878,0.0,1.0,2267.205322
23.411129,-297.06781,-295.874359,2.77332,0.053655,2.77332,0.053655,-299.999847,-300.0,19.314484,5.61345,8.109533,297.53772,12.459188,-0.026258,-0.008295,14.936164,-7.62E-4,0.055392,0.01635,0.0,1.0,2268.751709
24.326923,-297.046875,-295.853424,2.779065,0.053921,2.779065,0.053921,-299.999847,-300.0,19.357122,6.07267,8.475445,297.536682,12.715563,-0.025632,-0.007016,14.039253,-7.67E-4,0.055466,0.016533,0.0,1.0,2271.121826
24.897398,-297.030243,-295.836792,2.782801,0.054052,2.782801,0.054052,-299.999847,-300.0,19.384577,6.365138,8.703821,297.538452,12.86524,-0.024926,-0.005944,16.038246,-7.7E-4,0.055581,0.016585,0.0,1.0,2272.587891
25.819477,-296.998993,-295.805542,2.760767,0.054449,2.760767,0.054449,-299.999847,-300.0,19.427046,6.846607,7.825186,297.544098,13.088163,-0.023578,-0.003983,12.342395,-7.72E-4,0.055656,0.016496,0.0,1.0,2274.938232
26.41971,-296.976776,-295.783325,2.762168,0.054691,2.762168,0.054691,-299.999847,-300.0,19.45355,7.166001,8.065085,297.548859,13.219852,-0.022643,-0.002709,13.652972,-7.78E-4,0.055215,0.016214,0.0,1.0,2276.459717
27.319702,-296.941132,-295.747681,2.771008,0.055401,2.771008,0.055401,-299.999847,-300.0,19.494722,7.655262,8.390366,297.554626,13.396832,-0.021546,-0.001256,18.678659,-7.81E-4,0.055243,0.015976,0.0,1.0,2278.738525
27.919485,-296.915955,-295.722504,2.776891,0.056104,2.776891,0.056104,-299.999847,-300.0,19.523102,7.988046,8.679235,297.55658,13.500456,-0.021162,-6.99E-4,18.829176,-7.91E-4,0.05542,0.015688,0.0,1.0,2280.255859
28.817076,-296.876068,-295.682617,2.7951,0.052715,2.7951,0.052715,-299.999847,-300.0,19.569012,8.496838,9.480261,297.555237,13.633533,-0.021526,-7.48E-4,22.269556,-8.01E-4,0.055538,0.01559,0.0,1.0,2282.530273
29.389984,-296.84906,-295.65564,2.799529,0.053603,2.799529,0.053603,-299.999847,-300.0,19.59963,8.82778,9.681103,297.551605,13.704267,-0.021864,-0.001135,18.421095,-7.53E-4,0.055902,0.015657,0.0,1.0,2283.982178
