airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,Command_fault,Command
14.760419,-316.001465,-314.808014,2.801361,-0.527937,2.801361,-0.527937,-309.999847,-310,17.898642,2.350393,1.113006,297.52597,88.783852,0.061775,-0.018647,-33.97802,0.007558,0.055978,0.016881,0,1,, takeoff
15.654306,-316.141571,-314.94812,2.805214,-0.525502,2.805214,-0.525502,-309.999847,-310,17.904587,2.677731,1.196881,297.524536,91.060051,0.062431,-0.01596,-24.187401,0.007542,0.056027,0.016917,0,1,, takeoff
16.231846,-316.207886,-315.014435,2.807806,-0.523628,2.807806,-0.523628,-309.999847,-310,17.908501,2.890607,1.248464,297.522278,92.480064,0.062571,-0.014708,-19.523003,0.007507,0.056104,0.016989,0,1,, takeoff
17.160204,-316.287079,-315.093628,2.812052,-0.520356,2.812052,-0.520356,-319.999847,-320,17.914957,3.237839,1.330128,297.515106,94.68187,0.062225,-0.013548,-16.586235,0.00748,0.056156,0.017102,0,1,, takeoff
17.791502,-316.32663,-315.133179,2.81511,-0.517983,2.81511,-0.517983,-319.999847,-320,17.919479,3.478603,1.327013,297.507172,96.119743,0.061622,-0.013366,-17.311163,0.007434,0.056241,0.017461,0,1,, takeoff
18.779577,-316.371735,-315.178284,2.813314,-0.520854,2.813314,-0.520854,-319.999847,-320,17.926159,3.863917,1.313045,297.490112,98.262352,0.05955,-0.014026,-18.195913,0.0074,0.056302,0.017857,0,1,, takeoff
19.427286,-316.392914,-315.199463,2.814692,-0.520305,2.814692,-0.520305,-319.999847,-320,17.930294,4.122798,1.260255,297.476227,99.589859,0.059204,-0.01477,-13.035828,0.007441,0.056266,0.01871,0,1,, takeoff
20.406199,-316.415588,-315.222137,2.820575,-0.516488,2.820575,-0.516488,-319.999847,-320,17.936779,4.523951,1.331735,297.452454,101.467743,0.057693,-0.016138,-17.848246,0.007433,0.056294,0.019405,0,1,, takeoff
21.03511,-316.425507,-315.232056,2.82455,-0.513849,2.82455,-0.513849,-319.999847,-320,17.941105,4.788111,1.373706,297.435791,102.586105,0.056448,-0.017135,-14.858344,0.007378,0.056412,0.020593,0,1,, takeoff
22.022108,-316.435486,-315.242035,2.830516,-0.509898,2.830516,-0.509898,-319.999847,-320,17.948147,5.213548,1.440497,297.40976,104.193474,0.054606,-0.01849,-12.877154,0.007341,0.056491,0.021426,0,1,, takeoff
22.984245,-316.440125,-315.246674,2.836461,-0.50622,2.836461,-0.50622,-319.999847,-320,17.955313,5.640786,1.503838,297.385376,105.573845,0.053203,-0.019476,-9.891658,0.007284,0.05661,0.022728,0,1,, takeoff
23.672342,-316.44104,-315.247589,2.840845,-0.503654,2.840845,-0.503654,-319.999847,-320,17.960625,5.953942,1.550866,297.369171,106.442436,0.052255,-0.019906,-14.866714,0.007232,0.056729,0.023947,0,1,, takeoff
24.636349,-316.439697,-315.246246,2.847013,-0.5003,2.847013,-0.5003,-319.999847,-320,17.968327,6.403223,1.614777,297.349518,107.486847,0.051586,-0.01995,-6.338945,0.007195,0.056817,0.024757,0,1,, takeoff
25.324957,-316.437195,-315.243774,2.851645,-0.497859,2.851645,-0.497859,-319.999847,-320,17.974022,6.731697,1.661269,297.337402,108.107277,0.051296,-0.019687,17.110821,0.007147,0.05694,0.02574,0,1,, takeoff
26.343739,-316.431671,-315.238251,2.858541,-0.494296,2.858541,-0.494296,-319.999847,-320,17.982744,7.229057,1.728663,297.322021,108.831123,0.05128,-0.018946,18.661352,0.007112,0.057033,0.026346,0,1,, takeoff
27.00419,-316.427124,-315.233704,2.86317,-0.49184,2.86317,-0.49184,-319.999847,-320,17.98859,7.558639,1.773213,297.312714,109.176811,0.051343,-0.018427,16.180826,0.007061,0.057171,0.027115,0,1,, takeoff
27.966928,-316.419464,-315.226013,2.87138,-0.488115,2.87138,-0.488115,-319.999847,-320,17.99703,8.048821,1.939219,297.299194,109.508888,0.050632,-0.01776,15.640151,0.007026,0.057263,0.02758,0,1,, takeoff
28.625614,-316.413513,-315.220062,2.883811,-0.485328,2.883811,-0.485328,-319.999847,-320,18.00408,8.391314,2.3263,297.288605,109.621483,0.050504,-0.017574,18.393379,0.006973,0.057428,0.028256,0,1,, takeoff
29.639093,-316.403046,-315.209595,2.891232,-0.480616,2.891232,-0.480616,-319.999847,-320,18.016182,8.929143,2.385421,297.269226,109.619041,0.049768,-0.017788,18.522287,0.006933,0.057676,0.028786,0,1,, takeoff
30.295973,-316.395508,-315.202087,2.89508,-0.477263,2.89508,-0.477263,-319.999847,-320,18.024214,9.284202,2.433689,297.254028,109.508591,0.048838,-0.018324,17.191244,0.006866,0.057825,0.029755,0,1,, takeoff
31.280233,-316.383331,-315.18988,2.9014,-0.472006,2.9014,-0.472006,-319.999847,-320,18.036575,9.825645,2.508653,297.227875,109.192757,0.046834,-0.019551,12.646663,0.006818,0.057902,0.030515,0,1,, takeoff
32.23547,-316.370605,-315.177155,2.908207,-0.46665,2.908207,-0.46665,-319.999847,-320,18.048967,10.361919,2.585024,297.198303,108.726555,0.044203,-0.021208,11.023437,0.006743,0.058028,0.031822,0,1,, takeoff
32.862293,-316.361816,-315.168396,2.912838,-0.463062,2.912838,-0.463062,-319.999847,-320,18.057314,10.71946,2.636809,297.177185,108.342682,0.042569,-0.022435,15.476357,0.006666,0.058164,0.033301,0,1,, takeoff
33.868996,-316.347107,-315.153656,2.9189,-0.45781,2.9189,-0.45781,-319.999847,-320,18.070948,11.302904,2.496259,297.142761,107.610558,0.039134,-0.024242,8.769003,0.006615,0.058257,0.034357,0,1,, takeoff
34.494179,-316.337677,-315.144257,2.921087,-0.45954,2.921087,-0.45954,-319.999847,-320,18.078899,11.670585,2.458877,297.121216,107.092415,0.037685,-0.025359,16.224815,0.00654,0.058378,0.036078,0,1,, takeoff
35.52417,-316.321777,-315.128326,2.931772,-0.454803,2.931772,-0.454803,-319.999847,-320,18.093328,12.286166,2.782449,297.088165,106.147354,0.035635,-0.026398,16.565044,0.006565,0.058422,0.037155,0,1,, takeoff
36.146507,-316.311829,-315.118408,2.936856,-0.451803,2.936856,-0.451803,-319.999847,-320,18.102291,12.663519,2.826664,297.06958,105.530487,0.034762,-0.026731,14.097809,0.006497,0.058635,0.038808,0,1,, takeoff
37.118248,-316.295898,-315.102478,2.944268,-0.447374,2.944268,-0.447374,-319.999847,-320,18.116623,13.261119,2.900925,297.043915,104.512932,0.034119,-0.026649,14.633698,0.006454,0.058737,0.039737,0,1,, takeoff
37.791428,-316.284576,-315.091125,2.949626,-0.444253,2.949626,-0.444253,-319.999847,-320,18.126799,13.680965,2.956696,297.027527,103.77877,0.034012,-0.026388,16.951059,0.006391,0.058885,0.04102,0,1,, takeoff
38.758896,-316.267853,-315.074432,2.955776,-0.440858,2.955776,-0.440858,-319.999847,-320,18.141607,14.292278,2.896034,297.005585,102.698067,0.034018,-0.02584,18.917183,0.006346,0.058993,0.04184,0,1,, takeoff
39.402306,-316.256561,-315.06311,2.959677,-0.439586,2.959677,-0.439586,-319.999847,-320,18.151186,14.704099,2.920654,296.990906,101.971146,0.034266,-0.025546,10.030316,0.006298,0.059116,0.042937,0,1,, takeoff
40.365864,-316.239441,-315.04599,2.96644,-0.431948,2.96644,-0.431948,-319.999847,-320,18.165714,15.328017,2.900623,296.967804,100.885643,0.034647,-0.025207,16.512825,0.00628,0.059194,0.043671,0,1,, takeoff
40.980026,-316.228424,-315.034973,2.970203,-0.427133,2.970203,-0.427133,-319.999847,-320,18.174896,15.730396,2.88163,296.951111,100.202721,0.03419,-0.025353,18.411968,0.006171,0.059329,0.044826,0,1,, takeoff
41.965553,-316.210602,-315.017151,2.977872,-0.421324,2.977872,-0.421324,-319.999847,-320,18.189907,16.383633,2.953948,296.920959,99.134659,0.032801,-0.0261,15.426356,0.006102,0.059404,0.04566,0,1,, takeoff
42.895042,-316.193573,-315.000122,2.985263,-0.415484,2.985263,-0.415484,-319.999847,-320,18.204447,17.008038,3.020338,296.887604,98.172607,0.030529,-0.027461,19.375042,0.006019,0.059557,0.047168,0,1,, takeoff
