airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,Command_fault,Command
24.863794,-195.34552,-194.152084,3.050473,1.293265,2.716163,0.178898,-189.999863,-190.0,18.855347,4.3E-5,-3.35E-4,297.868378,15.487777,-0.046395,-0.052401,-1665.728882,-0.0,0.0,0.0,0.0,0.0,605.626953,, takeoff
24.8792,-203.004028,-201.810577,3.029851,1.22488,2.716038,0.178838,-199.999863,-200.0,18.855345,4.1E-5,-2.01E-4,297.867218,14.919614,-0.046384,-0.045468,-1667.765991,-0.018475,0.054323,0.0,0.0,1.0,610.292175,, takeoff
24.8692,-208.8629,-207.669449,2.875861,0.714623,2.715055,0.178606,-209.999863,-210.0,18.855343,4.0E-5,-0.002077,297.866272,14.481988,-0.046469,-0.040805,-1669.137817,-0.017498,0.054321,5.8E-5,0.0,1.0,675.360107,, takeoff
24.892578,-216.981628,-215.788193,2.719423,0.245442,2.698599,0.176031,-209.999863,-210.0,18.855295,1.05E-4,-0.019964,297.864807,13.879874,-0.046671,-0.035223,-1670.950317,-0.010209,0.054301,1.05E-4,0.0,1.0,856.494934,, takeoff
24.880581,-221.933975,-220.740524,2.681374,0.172305,2.681374,0.172305,-219.999863,-220.0,18.85527,4.03E-4,0.01035,297.8638,13.518019,-0.045277,-0.032263,-1671.526245,-0.003506,0.053972,1.79E-4,0.0,1.0,997.520569,, takeoff
24.887859,-230.725494,-229.532059,2.64503,0.161219,2.64503,0.161219,-229.999863,-230.0,18.85537,0.003309,0.027902,297.861664,12.895587,-0.045162,-0.027797,-1672.763428,-0.002462,0.053627,2.29E-4,0.0,1.0,1264.983643,, takeoff
24.879581,-238.615906,-237.422455,2.600037,0.147291,2.600037,0.147291,-229.999863,-230.0,18.855759,0.011505,0.146579,297.859375,12.36511,-0.039433,-0.024516,-1673.662109,-0.002303,0.052901,3.36E-4,0.0,1.0,1493.414917,, takeoff
24.896652,-244.253006,-243.05957,2.592633,0.136038,2.592633,0.136038,-239.999863,-240.0,18.856491,0.022573,0.268973,297.857483,12.006461,-0.042172,-0.02251,-1674.196777,-0.002171,0.052197,4.12E-4,0.0,1.0,1638.426392,, takeoff
24.900209,-252.1409,-250.947449,2.602425,0.119696,2.602425,0.119696,-249.999863,-250.0,18.858278,0.048004,0.464356,297.851898,11.537542,-0.051165,-0.020572,-1674.644531,-0.001943,0.051853,5.45E-4,0.0,1.0,1809.563965,, takeoff
24.934816,-257.778259,-256.584808,2.615003,0.108513,2.615003,0.108513,-249.999863,-250.0,18.860153,0.074786,0.61338,297.844574,11.229033,-0.056329,-0.019848,-1674.99939,-0.001783,0.051956,6.99E-4,0.0,1.0,1908.625977,, takeoff
24.9841,-265.215973,-264.022522,2.632141,0.095354,2.632141,0.095354,-259.999847,-260.0,18.863483,0.12292,0.836397,297.829407,10.85873,-0.053663,-0.019864,-1675.244019,-0.00155,0.0523,0.00119,0.0,1.0,2012.322632,, takeoff
25.038296,-271.080597,-269.887177,2.644108,0.086439,2.644108,0.086439,-269.999847,-270.0,18.86685,0.1721,1.026722,297.812561,10.598424,-0.049531,-0.020601,-1675.534668,-0.001362,0.052643,0.001949,0.0,1.0,2075.242676,, takeoff
25.144825,-279.193939,-278.000519,2.657428,0.07635,2.657428,0.07635,-279.999847,-280.0,18.872694,0.257793,1.309362,297.783936,10.285984,-0.044464,-0.022256,-1675.610596,-0.001235,0.052882,0.002791,0.0,1.0,2140.244873,, takeoff
23.316568,-284.181305,-282.987854,2.66463,0.071004,2.66463,0.071004,-279.999847,-280.0,18.877401,0.326756,1.508094,297.761719,10.109489,-0.041774,-0.02368,-1659.261719,-0.001091,0.053149,0.004222,0.0,1.0,2172.216064,, takeoff
20.343649,-290.017181,-288.82373,2.672961,0.064799,2.672961,0.064799,-289.999847,-290.0,18.885748,0.448425,1.823593,297.726593,9.893091,-0.038582,-0.025782,-1575.195557,-0.001014,0.053293,0.005333,0.0,1.0,2207.334717,, takeoff
18.676083,-293.035828,-291.842377,2.677502,0.061637,2.677502,0.061637,-289.999847,-290.0,18.8922,0.541813,2.039375,297.702484,9.781026,-0.036935,-0.0271,-1490.189941,-9.26E-4,0.053459,0.007089,0.0,1.0,2224.07959,, takeoff
16.618753,-296.562927,-295.369476,2.682908,0.057989,2.682908,0.057989,-289.999847,-290.0,18.90325,0.700326,2.371455,297.668793,9.660545,-0.034931,-0.02839,-1331.709717,-8.81E-4,0.05355,0.008295,0.0,1.0,2241.765625,, takeoff
15.530212,-298.38623,-297.19278,2.686012,0.056117,2.686012,0.056117,-299.999847,-300.0,18.911549,0.818209,2.597319,297.64859,9.61124,-0.033816,-0.028775,-1210.598511,-8.28E-4,0.053658,0.009979,0.0,1.0,2249.762695,, takeoff
14.269217,-300.565216,-299.371765,2.690065,0.053802,2.690065,0.053802,-299.999847,-300.0,18.925823,1.018824,2.947721,297.624115,9.581999,-0.032238,-0.028215,-1006.93158,-8.02E-4,0.05372,0.010989,0.0,1.0,2257.746582,, takeoff
