airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm
0.411301,-26.745264,-25.551819,3.069689,1.356467,2.716404,0.178852,-29.999857,-30.0,18.855347,4.1E-5,-2.34E-4,297.865784,14.686767,-0.046379,-0.037014,-14.374746,-0.0,0.0,0.0,0.0,0.0,607.022888
0.372027,-26.746572,-25.553127,3.067683,1.349895,2.716361,0.178821,-29.999857,-30.0,18.855347,4.0E-5,-2.34E-4,297.864929,14.281536,-0.04637,-0.033486,-6.358459,-0.0,0.0,0.0,0.0,0.0,607.01886
0.320043,-26.748102,-25.554659,2.884763,0.743385,2.715321,0.178579,-29.999857,-30.0,18.855345,3.9E-5,-0.001976,297.863678,13.681493,-0.046462,-0.028827,-15.679541,-0.019284,0.054327,4.3E-5,0.0,1.0,680.473145
0.2901,-26.748898,-25.555452,2.767849,0.378704,2.707418,0.17727,-29.999857,-30.0,18.855322,6.0E-5,-0.01236,297.862732,13.290977,-0.046606,-0.026138,-18.77187,-0.01062,0.054306,1.05E-4,0.0,1.0,794.078369
0.256866,-26.749844,-25.556398,2.661855,0.171772,2.661855,0.171772,-29.999857,-30.0,18.855173,4.76E-4,-0.054733,297.860992,12.726253,-0.045301,-0.022708,-11.762871,-0.00541,0.054148,1.53E-4,0.0,1.0,1018.846252
0.258544,-26.750362,-25.556917,2.609339,0.165398,2.609339,0.165398,-29.999857,-30.0,18.855053,0.001864,-0.008575,297.859589,12.367242,-0.044537,-0.020786,-14.422344,-0.002454,0.053237,2.4E-4,0.0,1.0,1183.805298
0.365912,-26.750959,-25.557514,2.576376,0.152264,2.576376,0.152264,-29.999857,-30.0,18.855345,0.007977,0.127386,297.857452,11.860085,-0.044717,-0.018327,-16.974298,-0.002363,0.052187,3.1E-4,0.0,1.0,1426.099243
0.541062,-26.751186,-25.557743,2.577139,0.141872,2.577139,0.141872,-29.999857,-30.0,18.855938,0.016319,0.229381,297.855865,11.545608,-0.046976,-0.016947,-17.85195,-0.002175,0.051528,4.17E-4,0.0,1.0,1573.436401
0.943607,-26.751184,-25.557739,2.592992,0.125301,2.592992,0.125301,-29.999857,-30.0,18.857523,0.037998,0.406475,297.852417,11.113482,-0.051302,-0.015353,-17.840912,-0.002027,0.051543,4.96E-4,0.0,1.0,1763.435425
1.28963,-26.7509,-25.557457,2.606753,0.114376,2.606753,0.114376,-29.999857,-30.0,18.8591,0.060068,0.540761,297.846375,10.853848,-0.057083,-0.015007,-16.742897,-0.00179,0.05186,6.68E-4,0.0,1.0,1867.800781
