airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm
4.070072,-97.066612,-95.873169,2.976496,1.389955,2.594427,0.116392,-99.999855,-100.0,2.286575,0.0,0.008475,297.868866,278.32132,0.008896,-0.050548,-11.091168,-0.0,0.0,0.0,0.0,0.0,599.200195
4.049402,-97.086319,-95.892876,2.926846,1.226486,2.594144,0.117481,-99.999855,-100.0,2.286618,0.0,0.004589,297.867645,281.732391,0.008689,-0.043463,-16.668608,-0.019856,0.051889,0.0,0.0,1.0,609.119446
4.045518,-97.096519,-95.903076,2.771862,0.735441,2.586601,0.117906,-99.999855,-100.0,2.286612,3.2E-5,-0.008508,297.866791,283.961212,0.008476,-0.039321,-15.110033,-0.017521,0.051883,6.1E-5,0.0,1.0,675.943115
4.090425,-97.108459,-95.915016,2.580855,0.217363,2.550509,0.11621,-99.999855,-100.0,2.286498,2.28E-4,-0.033061,297.865295,287.197113,0.008994,-0.033929,-8.493952,-0.010506,0.051732,1.04E-4,0.0,1.0,859.732849
4.160327,-97.114662,-95.921211,2.525051,0.112695,2.525051,0.112695,-99.999855,-100.0,2.286438,8.22E-4,-7.37E-4,297.864105,289.262207,0.008659,-0.030845,-14.646493,-0.005208,0.051352,1.5E-4,0.0,1.0,1014.025391
4.354373,-97.121902,-95.928459,2.52388,0.103471,2.52388,0.103471,-99.999855,-100.0,2.286598,0.004243,0.062236,297.861847,292.190521,0.010734,-0.02692,-12.108865,-0.00161,0.050501,2.38E-4,0.0,1.0,1259.006714
4.534658,-97.125328,-95.931885,2.53949,0.096021,2.53949,0.096021,-99.999855,-100.0,2.286851,0.009038,0.09821,297.859619,293.866028,0.012858,-0.024981,-16.183388,-0.001478,0.050478,3.51E-4,0.0,1.0,1403.831421
4.938799,-97.129623,-95.93618,2.577307,0.082183,2.577307,0.082183,-99.999855,-100.0,2.287496,0.023821,0.151536,297.853027,296.398438,0.019095,-0.022699,-12.145878,-0.001372,0.05079,4.62E-4,0.0,1.0,1617.335083
5.313774,-97.131897,-95.938454,2.607516,0.071978,2.607516,0.071978,-99.999855,-100.0,2.288129,0.041594,0.185836,297.843445,298.05249,0.02547,-0.022035,-10.351404,-0.001174,0.051546,7.92E-4,0.0,1.0,1748.197998
5.918702,-97.134056,-95.940605,2.64485,0.059461,2.64485,0.059461,-99.999855,-100.0,2.289192,0.07735,0.250216,297.821747,300.030914,0.03746,-0.022624,-7.353166,-0.001028,0.05215,0.001271,0.0,1.0,1891.719238
6.169667,-97.134628,-95.941185,2.65718,0.055411,2.65718,0.055411,-99.999855,-100.0,2.289649,0.094557,0.25514,297.810211,300.690308,0.045271,-0.023385,-11.475009,-0.001028,0.05215,0.001271,0.0,1.0,1935.962524
6.169667,-97.134628,-95.941185,2.65718,0.055411,2.65718,0.055411,-99.999855,-100.0,2.289649,0.094557,0.25514,297.810211,300.690308,0.045271,-0.023385,-11.475009,-0.001028,0.05215,0.001271,0.0,1.0,1935.962524
7.707426,-97.136337,-95.942894,2.703601,0.042369,2.703601,0.042369,-99.999855,-100.0,2.292761,0.229019,0.377568,297.711121,303.509644,0.034939,-0.032219,-4.475133,-7.92E-4,0.053144,0.002933,0.0,1.0,2104.251221
8.640358,-97.136055,-95.942612,2.71682,0.040788,2.71682,0.040788,-99.999855,-100.0,2.294948,0.334047,0.449048,297.627533,304.51416,0.029625,-0.040361,4.142527,-6.05E-4,0.054072,0.007887,0.0,1.0,2158.002441
9.252452,-97.13559,-95.942146,2.721006,0.041905,2.721006,0.041905,-99.999855,-100.0,2.296534,0.412578,0.498622,297.567719,304.958099,0.026851,-0.045921,8.940151,-5.83E-4,0.054336,0.012067,0.0,1.0,2182.431641
10.194027,-97.134499,-95.941048,2.724273,0.046223,2.724273,0.046223,-99.999855,-100.0,2.299235,0.548309,0.578645,297.472015,305.352509,0.022802,-0.054119,15.065067,-5.99E-4,0.05442,0.015057,0.0,1.0,2208.749023
10.806381,-97.133553,-95.940109,2.725392,0.050397,2.725392,0.050397,-99.999855,-100.0,2.301174,0.646301,0.631602,297.405762,305.438293,0.020654,-0.059537,18.785563,-6.6E-4,0.054485,0.019843,0.0,1.0,2220.547852
11.775729,-97.131721,-95.938278,2.726032,0.058797,2.726032,0.058797,-99.999855,-100.0,2.304556,0.817194,0.717285,297.299225,305.323029,0.016714,-0.067377,16.068886,-7.2E-4,0.054508,0.023155,0.0,1.0,2233.218262
12.426716,-97.130257,-95.936813,2.72608,0.065506,2.72608,0.065506,-99.999855,-100.0,2.30705,0.942852,0.776573,297.225311,305.084778,0.014048,-0.072427,10.623977,-8.4E-4,0.054521,0.028482,0.0,1.0,2238.662109
13.407728,-97.127693,-95.93425,2.72586,0.07691,2.72586,0.07691,-99.999855,-100.0,2.311154,1.148598,0.862993,297.115692,304.501221,0.010183,-0.078833,10.62049,-9.36E-4,0.054522,0.032178,0.0,1.0,2243.543945
14.090041,-97.125656,-95.932213,2.725722,0.085739,2.725722,0.085739,-99.999855,-100.0,2.314265,1.303416,0.924893,297.03891,303.94754,0.007261,-0.082857,6.556307,-0.001099,0.054517,0.037659,0.0,1.0,2245.307617
15.071628,-97.12236,-95.928917,2.72564,0.099674,2.72564,0.099674,-99.999855,-100.0,2.31912,1.543097,1.013591,296.932068,302.95694,0.003594,-0.087285,11.830059,-0.001225,0.054514,0.041498,0.0,1.0,2248.120361
15.726108,-97.119919,-95.926476,2.725878,0.109754,2.725878,0.109754,-99.999855,-100.0,2.322605,1.713602,1.073315,296.861755,302.182343,0.00124,-0.089757,11.034795,-0.001424,0.054513,0.04684,0.0,1.0,2250.246094
16.680731,-97.116013,-95.922569,2.726712,0.12508,2.726712,0.12508,-99.999855,-100.0,2.328047,1.977222,1.163586,296.763092,300.910431,-0.001929,-0.092293,17.323631,-0.001568,0.054518,0.050356,0.0,1.0,2253.45459
17.333857,-97.113091,-95.919647,2.727861,0.134641,2.727861,0.134641,-99.999855,-100.0,2.332027,2.168014,1.221937,296.696625,299.953949,-0.004709,-0.093679,18.670996,-0.001787,0.054534,0.055289,0.0,1.0,2255.648193
18.312277,-97.108353,-95.914902,2.730475,0.145854,2.730475,0.145854,-99.999855,-100.0,2.338373,2.469061,1.312108,296.606812,298.414307,-0.008085,-0.093929,17.186234,-0.001923,0.054557,0.058612,0.0,1.0,2258.857178
18.989988,-97.104797,-95.911354,2.73288,0.152547,2.73288,0.152547,-99.999855,-100.0,2.343046,2.688349,1.374813,296.55246,297.286255,-0.009776,-0.092855,9.00869,-0.002084,0.054609,0.063103,0.0,1.0,2261.009766
19.935764,-97.099464,-95.906021,2.73667,0.160837,2.73667,0.160837,-99.999855,-100.0,2.349952,3.009025,1.461467,296.491577,295.649536,-0.010429,-0.089128,10.426408,-0.002179,0.054658,0.06582,0.0,1.0,2263.912354
20.556042,-97.095741,-95.90229,2.739477,0.166124,2.739477,0.166124,-99.999855,-100.0,2.354722,3.228223,1.522028,296.459839,294.550415,-0.01009,-0.085693,16.255678,-0.002298,0.054733,0.068864,0.0,1.0,2265.753174
21.54945,-97.089355,-95.895912,2.744192,0.174423,2.744192,0.174423,-99.999855,-100.0,2.362774,3.594527,1.609922,296.420502,292.766937,-0.00901,-0.079011,8.69878,-0.002373,0.05479,0.070451,0.0,1.0,2268.615723
22.192795,-97.084976,-95.891533,2.747461,0.180091,2.747461,0.180091,-99.999855,-100.0,2.368248,3.840915,1.670516,296.398773,291.613495,-0.008169,-0.074645,17.873405,-0.002492,0.054884,0.072418,0.0,1.0,2270.41626
23.182121,-97.077835,-95.884392,2.752468,0.189235,2.752468,0.189235,-99.999855,-100.0,2.377073,4.233892,1.761491,296.366516,289.863586,-0.007154,-0.06855,15.334357,-0.002573,0.054949,0.073505,0.0,1.0,2273.121094
23.822468,-97.072952,-95.879509,2.755848,0.195712,2.755848,0.195712,-99.999855,-100.0,2.383046,4.497082,1.819004,296.342834,288.759003,-0.007199,-0.065538,13.941541,-0.002703,0.055049,0.075117,0.0,1.0,2274.837646
24.755131,-97.06546,-95.872017,2.765357,0.210089,2.765357,0.210089,-99.999855,-100.0,2.392566,4.892221,2.036327,296.301453,287.208862,-0.007772,-0.062613,13.080207,-0.002796,0.055117,0.076302,0.0,1.0,2277.299316
25.393816,-97.059975,-95.866531,2.770783,0.219581,2.770783,0.219581,-99.999855,-100.0,2.399722,5.170722,2.189638,296.265778,286.19696,-0.010087,-0.062042,14.499053,-0.003001,0.055307,0.078371,0.0,1.0,2278.963867
26.376919,-97.050941,-95.857491,2.775638,0.23155,2.775638,0.23155,-99.999855,-100.0,2.411211,5.611722,2.284532,296.199921,284.733582,-0.0152,-0.062991,19.66712,-0.003137,0.055416,0.080154,0.0,1.0,2281.502441
27.013201,-97.044724,-95.85128,2.778964,0.239369,2.778964,0.239369,-99.999855,-100.0,2.418933,5.905114,2.347203,296.149994,283.854736,-0.018748,-0.06466,12.983139,-0.003308,0.055513,0.083447,0.0,1.0,2283.134766
27.940355,-97.035187,-95.841743,2.78419,0.250531,2.78419,0.250531,-99.999855,-100.0,2.430583,6.34299,2.44595,296.072388,282.682404,-0.024011,-0.067518,19.864771,-0.00342,0.055579,0.085944,0.0,1.0,2285.500488
28.574202,-97.028343,-95.8349,2.788163,0.258196,2.788163,0.258196,-99.999855,-100.0,2.438841,6.649918,2.508889,296.016144,281.958344,-0.02821,-0.069725,16.075472,-0.003579,0.055684,0.089824,0.0,1.0,2287.114258
29.522589,-97.017609,-95.824165,2.794212,0.268678,2.794212,0.268678,-99.999855,-100.0,2.451636,7.120147,2.60519,295.933014,281.000458,-0.033799,-0.072401,16.846378,-0.003689,0.055763,0.092636,0.0,1.0,2289.524902
