airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm
6.463859,-87.924377,-86.730927,2.969801,1.356859,2.590667,0.093077,-89.999855,-90.0,2.286485,0.0,0.007771,297.868134,275.46991,0.012344,-0.051457,-20.46022,-0.0,0.0,0.0,0.0,0.0,600.175903
6.544784,-87.942505,-86.749062,2.927534,1.215715,2.590656,0.092789,-89.999855,-90.0,2.286525,0.0,0.004589,297.866852,278.91037,0.012344,-0.044286,-19.41025,-0.019384,0.051813,0.0,0.0,1.0,608.586121
6.58002,-87.951591,-86.758141,2.777983,0.740215,2.583615,0.092321,-89.999855,-90.0,2.286513,3.4E-5,-0.011791,297.865997,281.0914,0.012314,-0.040256,-13.566561,-0.017367,0.051813,6.4E-5,0.0,1.0,668.998718
6.647157,-87.963081,-86.769638,2.576715,0.197124,2.544483,0.089687,-89.999855,-90.0,2.286374,2.32E-4,-0.043411,297.864441,284.528442,0.012153,-0.034609,-18.066711,-0.010575,0.051672,1.07E-4,0.0,1.0,852.912598
6.724695,-87.969154,-86.775711,2.50872,0.085529,2.50872,0.085529,-89.999855,-90.0,2.286258,7.84E-4,-0.018322,297.863251,286.776184,0.012252,-0.031337,-10.568984,-0.002816,0.05089,1.85E-4,0.0,1.0,1011.287537
6.921817,-87.976036,-86.782593,2.490609,0.075566,2.490609,0.075566,-89.999855,-90.0,2.286325,0.003981,0.042507,297.861206,289.871552,0.011987,-0.027324,-18.649584,-0.001222,0.050174,2.44E-4,0.0,1.0,1252.376465
7.119546,-87.97963,-86.786186,2.495394,0.066887,2.495394,0.066887,-89.999855,-90.0,2.286539,0.00907,0.081831,297.859314,291.824036,0.011393,-0.025102,-11.696174,-0.00108,0.049812,3.46E-4,0.0,1.0,1407.627441
7.510965,-87.983719,-86.790276,2.513842,0.052485,2.513842,0.052485,-89.999855,-90.0,2.287079,0.023182,0.138707,297.854767,294.486084,0.010565,-0.022571,-18.557066,-9.56E-4,0.049908,4.41E-4,0.0,1.0,1611.230469
7.848012,-87.98587,-86.792427,2.529744,0.042237,2.529744,0.042237,-89.999855,-90.0,2.287602,0.038919,0.176189,297.849609,296.170807,0.00899,-0.021374,-16.919878,-7.5E-4,0.050277,6.68E-4,0.0,1.0,1730.772461
8.450976,-87.988274,-86.79483,2.553896,0.027446,2.553896,0.027446,-89.999855,-90.0,2.288623,0.074122,0.234606,297.837219,298.463257,0.007762,-0.020527,-16.373344,-6.03E-4,0.050595,9.26E-4,0.0,1.0,1877.745117
