airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm
6.538819,-87.941147,-86.747704,2.970196,1.356676,2.591043,0.09283,-89.999855,-90.0,2.286523,0.0,0.008274,297.866974,278.624359,0.012376,-0.044841,-14.169591,-0.0,0.0,0.0,0.0,0.0,600.221863
6.591568,-87.954666,-86.761223,2.927737,1.21495,2.591053,0.092671,-89.999855,-90.0,2.286558,0.0,0.00278,297.865753,281.937012,0.012415,-0.038748,-15.958338,-0.019381,0.051821,0.0,0.0,1.0,608.62439
6.632864,-87.961952,-86.768509,2.772158,0.721177,2.583532,0.092423,-89.999855,-90.0,2.286541,3.5E-5,-0.012461,297.864868,284.162048,0.012362,-0.035072,-13.410337,-0.017356,0.051821,6.1E-5,0.0,1.0,672.773743
6.700488,-87.97036,-86.776917,2.581643,0.206713,2.546678,0.090161,-89.999855,-90.0,2.286409,2.2E-4,-0.042507,297.863403,287.302338,0.012069,-0.030409,-16.795971,-0.010303,0.051671,1.05E-4,0.0,1.0,846.979065
6.774923,-87.974937,-86.781494,2.511547,0.086358,2.511547,0.086358,-89.999855,-90.0,2.286292,7.03E-4,-0.021103,297.862244,289.364075,0.012084,-0.027657,-14.534077,-0.002953,0.050934,1.79E-4,0.0,1.0,998.091309
6.97598,-87.980522,-86.787079,2.491118,0.076334,2.491118,0.076334,-89.999855,-90.0,2.286348,0.003819,0.040999,297.860168,292.36438,0.01326,-0.024059,-16.302839,-0.001234,0.050231,2.36E-4,0.0,1.0,1245.639526
7.172807,-87.983353,-86.789909,2.495497,0.067712,2.495497,0.067712,-89.999855,-90.0,2.286556,0.008773,0.080357,297.858368,294.178711,0.014729,-0.022135,-17.342928,-0.00109,0.049822,3.4E-4,0.0,1.0,1401.200195
7.574659,-87.986656,-86.793213,2.5144,0.052962,2.5144,0.052962,-89.999855,-90.0,2.287108,0.023143,0.135726,297.853729,296.682068,0.018506,-0.01994,-7.315583,-9.67E-4,0.04991,4.3E-4,0.0,1.0,1610.973267
7.912797,-87.988327,-86.794884,2.530364,0.042745,2.530364,0.042745,-89.999855,-90.0,2.287632,0.038863,0.173342,297.84848,298.194092,0.021565,-0.019011,-16.665651,-7.57E-4,0.050288,6.62E-4,0.0,1.0,1730.470947
8.515686,-87.990173,-86.79673,2.554596,0.028016,2.554596,0.028016,-89.999855,-90.0,2.288654,0.074028,0.229113,297.835907,300.210999,0.027999,-0.018521,-13.489787,-6.11E-4,0.050607,9.25E-4,0.0,1.0,1877.399414
8.739495,-87.990631,-86.797188,2.562372,0.023475,2.562372,0.023475,-89.999855,-90.0,2.289061,0.089253,0.24968,297.830017,300.813843,0.030887,-0.018641,-15.605904,-6.11E-4,0.050607,9.25E-4,0.0,1.0,1918.147827
8.739495,-87.990631,-86.797188,2.562372,0.023475,2.562372,0.023475,-89.999855,-90.0,2.289061,0.089253,0.24968,297.830017,300.813843,0.030887,-0.018641,-15.605904,-6.11E-4,0.050607,9.25E-4,0.0,1.0,1918.147827
10.267027,-87.992332,-86.798889,2.601283,0.002539,2.601283,0.002539,-89.999855,-90.0,2.292249,0.222836,0.382525,297.77475,303.673309,0.030001,-0.022116,-11.434159,-3.35E-4,0.051247,0.001848,0.0,1.0,2090.888916
11.141907,-87.992157,-86.798714,2.61552,-0.004459,2.61552,-0.004459,-89.999855,-90.0,2.294413,0.32208,0.457623,297.732635,304.629669,0.029195,-0.025473,-10.330888,-3.6E-5,0.052026,0.004611,0.0,1.0,2143.11377
11.731117,-87.991798,-86.798355,2.62242,-0.007607,2.62242,-0.007607,-89.999855,-90.0,2.296025,0.398139,0.507532,297.703217,305.064514,0.02861,-0.027672,-7.638404,6.4E-5,0.05231,0.006717,0.0,1.0,2167.710938
12.61109,-87.990936,-86.797493,2.630749,-0.010633,2.630749,-0.010633,-89.999855,-90.0,2.298686,0.525755,0.584908,297.660126,305.4422,0.027956,-0.030483,7.570488,1.09E-4,0.052448,0.008188,0.0,1.0,2193.718018
13.250931,-87.990082,-86.796638,2.636088,-0.011896,2.636088,-0.011896,-89.999855,-90.0,2.300821,0.629052,0.641919,297.62915,305.530914,0.027628,-0.032262,13.108384,1.52E-4,0.052615,0.010342,0.0,1.0,2206.757813
