airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle
91.086823,1337.254883,1338.448364,6.812835,4.09155,6.812835,4.09155,1340.000122,1340,1454.388916,79.219322,1005.276062,330.171509,331.919312,0.147622,0.328582,1002.029419,-0.019487,0.136274,0.1,0,1
91.084709,1340.524536,1341.718018,6.812215,4.091078,6.812215,4.091078,1340.000122,1340,1457.739746,79.272865,1005.172424,330.367859,332.119049,0.147612,0.328577,1001.891418,-0.019484,0.136257,0.1,0,1
91.081551,1345.427734,1346.621216,6.811364,4.090401,6.811364,4.090401,1350.000122,1350,1462.765137,79.353668,1005.017517,330.662384,332.419434,0.147596,0.328573,1001.687622,-0.019481,0.136244,0.1,0,1
91.079453,1348.695679,1349.88916,6.810753,4.089958,6.810753,4.089958,1350.000122,1350,1466.11499,79.407867,1004.915039,330.858765,332.620239,0.147586,0.32857,1001.553711,-0.019478,0.136227,0.1,0,1
91.076317,1353.596436,1354.789917,6.809913,4.089322,6.809913,4.089322,1350.000122,1350,1471.13916,79.489655,1004.761963,331.15332,332.922363,0.147571,0.328568,1001.355469,-0.019476,0.136215,0.1,0,1
91.074234,1356.862793,1358.056152,6.809309,4.088904,6.809309,4.088904,1360.000122,1360,1474.488281,79.544495,1004.660645,331.34967,333.12439,0.14756,0.328567,1001.224854,-0.019473,0.136198,0.1,0,1
91.071129,1361.760986,1362.954468,6.808478,4.088304,6.808478,4.088304,1360.000122,1360,1479.511108,79.627228,1004.508789,331.644226,333.428436,0.147545,0.328568,1001.031128,-0.019471,0.136186,0.1,0,1
91.069061,1365.025635,1366.219116,6.807881,4.087909,6.807881,4.087909,1360.000122,1360,1482.859375,79.682701,1004.408264,331.840607,333.631775,0.147535,0.328569,1000.903259,-0.019468,0.13617,0.1,0,1
91.065971,1369.921387,1371.114868,6.80706,4.087339,6.80706,4.087339,1370.000122,1370,1487.880981,79.766365,1004.257629,332.135193,333.937805,0.14752,0.328573,1000.713135,-0.019466,0.136158,0.1,0,1
91.062904,1374.815796,1376.009155,6.806189,4.086782,6.806189,4.086782,1370.000122,1370,1492.901855,79.850586,1004.107361,332.429779,334.245056,0.147505,0.328577,1000.524841,-0.019464,0.136141,0.1,0,1
