airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm
6.529435,-87.982193,-86.78875,2.969018,1.35301,2.590976,0.092868,-89.999855,-90.0,2.286517,0.0,0.007771,297.867157,278.147186,0.012365,-0.045786,-15.499331,-0.0,0.0,0.0,0.0,0.0,600.214539
6.590174,-87.992294,-86.798851,2.974634,1.370638,2.591248,0.092685,-89.999855,-90.0,2.286545,0.0,0.008073,297.866302,280.430237,0.012394,-0.041426,-14.008402,-0.0,0.0,0.0,0.0,0.0,600.248901
6.69136,-88.004189,-86.810745,2.771299,0.718586,2.583316,0.091973,-89.999855,-90.0,2.286548,3.7E-5,-0.010585,297.86496,283.794708,0.012309,-0.035681,-19.553192,-0.019581,0.051825,4.3E-5,0.0,1.0,672.788452
6.763435,-88.010406,-86.816963,2.634459,0.331664,2.562046,0.090288,-89.999855,-90.0,2.286481,1.45E-4,-0.031084,297.863983,285.974121,0.012227,-0.032353,-13.435772,-0.010266,0.051666,1.1E-4,0.0,1.0,784.607788
6.905815,-88.017799,-86.824356,2.509555,0.084423,2.509555,0.084423,-89.999855,-90.0,2.286313,7.5E-4,-0.017719,297.862274,289.111359,0.012107,-0.028057,-11.893961,-0.004738,0.051241,1.59E-4,0.0,1.0,1004.76123
7.052381,-88.021698,-86.828247,2.49179,0.077773,2.49179,0.077773,-89.999855,-90.0,2.286324,0.002354,0.022978,297.860962,291.096313,0.011932,-0.025616,-17.824892,-0.001206,0.050191,2.44E-4,0.0,1.0,1165.381104
7.368907,-88.026306,-86.832863,2.493106,0.064444,2.493106,0.064444,-89.999855,-90.0,2.286596,0.008816,0.083204,297.858521,293.885712,0.011605,-0.022548,-15.560846,-0.001111,0.049836,3.1E-4,0.0,1.0,1401.045898
7.650354,-88.028694,-86.835243,2.50363,0.054054,2.50363,0.054054,-89.999855,-90.0,2.286938,0.017319,0.121859,297.855957,295.605591,0.010566,-0.02093,-14.71138,-9.21E-4,0.049862,4.32E-4,0.0,1.0,1544.538818
8.178421,-88.031433,-86.83799,2.524703,0.037693,2.524703,0.037693,-89.999855,-90.0,2.287685,0.038975,0.176759,297.849792,297.954895,0.011382,-0.019185,-15.526243,-7.72E-4,0.050073,5.6E-4,0.0,1.0,1729.871094
8.596271,-88.032784,-86.83934,2.539735,0.026897,2.539735,0.026897,-89.999855,-90.0,2.288342,0.060768,0.216619,297.843384,299.357483,0.010296,-0.018525,-9.010486,-5.38E-4,0.050494,8.68E-4,0.0,1.0,1831.858154
