airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm
6.540532,-87.942635,-86.749191,2.970729,1.358366,2.591064,0.092816,-89.999855,-90.0,2.286525,0.0,0.008374,297.867401,278.815063,0.012379,-0.048189,-16.898806,-0.0,0.0,0.0,0.0,0.0,600.224304
6.597061,-87.956421,-86.762978,2.928697,1.217965,2.591111,0.092678,-89.999855,-90.0,2.286562,0.0,0.002579,297.866119,282.311096,0.012419,-0.041293,-19.344465,-0.019405,0.051821,0.0,0.0,1.0,608.628479
6.638947,-87.963394,-86.769951,2.772907,0.72346,2.583606,0.092456,-89.999855,-90.0,2.286545,3.5E-5,-0.012327,297.865234,284.527802,0.012363,-0.037374,-16.631521,-0.017399,0.051822,6.4E-5,0.0,1.0,672.776367
6.7099,-87.971649,-86.778206,2.5776,0.198239,2.545154,0.090085,-89.999855,-90.0,2.286407,2.29E-4,-0.043143,297.863739,287.738464,0.011968,-0.032269,-18.378805,-0.010335,0.051672,1.08E-4,0.0,1.0,852.915771
6.786138,-87.976006,-86.782555,2.510458,0.086198,2.510458,0.086198,-89.999855,-90.0,2.286293,7.4E-4,-0.019897,297.862579,289.78241,0.011979,-0.029343,-15.22288,-0.002832,0.050903,1.83E-4,0.0,1.0,1004.676147
6.983493,-87.981194,-86.78775,2.491193,0.076388,2.491193,0.076388,-89.999855,-90.0,2.286351,0.003818,0.041401,297.860535,292.673401,0.01323,-0.025606,-15.409124,-0.001231,0.050209,2.41E-4,0.0,1.0,1245.628784
7.180522,-87.98391,-86.790466,2.495587,0.067768,2.495587,0.067768,-89.999855,-90.0,2.28656,0.008771,0.080357,297.858704,294.468658,0.014699,-0.023534,-16.046494,-0.001091,0.049824,3.43E-4,0.0,1.0,1401.179688
7.582593,-87.987076,-86.793633,2.514478,0.053048,2.514478,0.053048,-89.999855,-90.0,2.287112,0.023139,0.136262,297.854065,296.940582,0.018117,-0.021143,-18.427778,-9.68E-4,0.049912,4.35E-4,0.0,1.0,1610.941528
7.920744,-87.988678,-86.795235,2.530442,0.042804,2.530442,0.042804,-89.999855,-90.0,2.287637,0.038856,0.172605,297.848816,298.430145,0.021289,-0.020102,-14.610259,-7.58E-4,0.05029,6.67E-4,0.0,1.0,1730.433716
7.920744,-87.988678,-86.795235,2.530442,0.042804,2.530442,0.042804,-89.999855,-90.0,2.287637,0.038856,0.172605,297.848816,298.430145,0.021289,-0.020102,-14.610259,-7.58E-4,0.05029,6.67E-4,0.0,1.0,1730.433716
8.946309,-87.991486,-86.798042,2.569131,0.020239,2.569131,0.020239,-89.999855,-90.0,2.289445,0.103367,0.266629,297.824219,301.467194,0.031208,-0.019777,-15.742757,-6.11E-4,0.050609,9.29E-4,0.0,1.0,1949.031494
9.713687,-87.992172,-86.798729,2.589873,0.008582,2.589873,0.008582,-89.999855,-90.0,2.290998,0.167804,0.334257,297.797363,302.968994,0.02993,-0.021243,-18.4471,-2.89E-4,0.051383,0.002159,0.0,1.0,2043.165649
10.274999,-87.992332,-86.798889,2.601099,0.00237,2.601099,0.00237,-89.999855,-90.0,2.292246,0.222796,0.38286,297.774719,303.786713,0.029264,-0.022781,-4.684585,-1.23E-4,0.051797,0.003502,0.0,1.0,2090.882813
11.126178,-87.99218,-86.798737,2.614172,-0.004299,2.614172,-0.004299,-89.999855,-90.0,2.294345,0.31906,0.455245,297.737061,304.684265,0.028589,-0.025451,-1.045058,-3.4E-5,0.052022,0.004634,0.0,1.0,2141.925049
11.714416,-87.991829,-86.798386,2.621584,-0.00745,2.621584,-0.00745,-89.999855,-90.0,2.295953,0.394724,0.506494,297.708649,305.100586,0.02827,-0.027507,6.750999,6.1E-5,0.052283,0.006517,0.0,1.0,2166.780029
12.593674,-87.99099,-86.797546,2.630445,-0.010479,2.630445,-0.010479,-89.999855,-90.0,2.298607,0.52176,0.582999,297.665527,305.452209,0.02768,-0.030359,12.598088,1.06E-4,0.052432,0.007938,0.0,1.0,2193.075684
13.232942,-87.990143,-86.7967,2.635946,-0.01173,2.635946,-0.01173,-89.999855,-90.0,2.300735,0.624643,0.639373,297.63382,305.523132,0.027365,-0.032268,16.492229,1.5E-4,0.052609,0.010094,0.0,1.0,2206.271973
14.164,-87.988586,-86.795135,2.642678,-0.01246,2.642678,-0.01246,-89.999855,-90.0,2.304148,0.790447,0.722912,297.590576,305.373352,0.026847,-0.034253,11.874709,1.68E-4,0.052719,0.011679,0.0,1.0,2219.805176
14.789489,-87.987312,-86.793869,2.646806,-0.012251,2.646806,-0.012251,-89.999855,-90.0,2.306655,0.912417,0.778047,297.563721,305.11676,0.026647,-0.035087,17.641829,1.78E-4,0.052854,0.013841,0.0,1.0,2227.069092
15.706385,-87.985146,-86.791702,2.652379,-0.011367,2.652379,-0.011367,-89.999855,-90.0,2.310649,1.106407,0.861318,297.530396,304.533661,0.026341,-0.035211,16.087336,1.75E-4,0.052936,0.015184,0.0,1.0,2235.852539
16.363903,-87.983353,-86.789909,2.656386,-0.010449,2.656386,-0.010449,-89.999855,-90.0,2.31375,1.256478,0.920773,297.510498,303.976776,0.026355,-0.034676,12.536099,1.62E-4,0.053048,0.01685,0.0,1.0,2241.072266
17.260506,-87.980598,-86.787155,2.661687,-0.009043,2.661687,-0.009043,-89.999855,-90.0,2.318302,1.475645,1.002939,297.489746,303.050354,0.02651,-0.033025,13.466168,1.49E-4,0.053128,0.017845,0.0,1.0,2247.079102
17.920982,-87.97834,-86.784897,2.66569,-0.00782,2.66569,-0.00782,-89.999855,-90.0,2.321896,1.647657,1.063266,297.478394,302.257935,0.026779,-0.03135,11.961888,1.29E-4,0.053234,0.018883,0.0,1.0,2250.859863
18.846376,-87.974846,-86.781403,2.671224,-0.005944,2.671224,-0.005944,-89.999855,-90.0,2.32728,1.903576,1.149384,297.467224,301.012177,0.02731,-0.028541,16.396065,1.12E-4,0.053314,0.01945,0.0,1.0,2255.45752
19.534695,-87.971992,-86.778549,2.675443,-0.004335,2.675443,-0.004335,-89.999855,-90.0,2.331546,2.104838,1.210682,297.461182,299.99939,0.027686,-0.026364,17.491146,8.5E-5,0.053424,0.020009,0.0,1.0,2258.461914
20.460743,-87.967812,-86.774368,2.681032,-0.001912,2.681032,-0.001912,-89.999855,-90.0,2.337647,2.390392,1.295226,297.454498,298.542236,0.028141,-0.023568,13.232759,6.2E-5,0.053509,0.020311,0.0,1.0,2262.087158
21.095638,-87.964714,-86.771263,2.684983,-2.6E-5,2.684983,-2.6E-5,-89.999855,-90.0,2.342069,2.595674,1.353375,297.449615,297.494965,0.028295,-0.021928,15.761289,2.7E-5,0.053621,0.020645,0.0,1.0,2264.355713
22.074085,-87.959579,-86.766129,2.691031,0.003215,2.691031,0.003215,-89.999855,-90.0,2.349265,2.926842,1.443781,297.439972,295.828796,0.028181,-0.020036,15.752976,0.0,0.0537,0.020889,0.0,1.0,2267.592041
22.68148,-87.956154,-86.762711,2.694904,0.005438,2.694904,0.005438,-89.999855,-90.0,2.353971,3.14147,1.498547,297.431824,294.774628,0.027827,-0.019339,19.05088,-4.6E-5,0.053821,0.021371,0.0,1.0,2269.479004
23.65613,-87.954147,-86.760704,2.701091,0.009286,2.701091,0.009286,-89.999855,-90.0,2.361914,3.500447,1.588015,297.414978,293.072571,0.026856,-0.018932,17.014,-7.8E-5,0.053898,0.021779,0.0,1.0,2272.364258
24.286871,-87.954147,-86.760704,2.705266,0.011946,2.705266,0.011946,-89.999855,-90.0,2.367313,3.74211,1.646064,297.401245,291.977203,0.025959,-0.019144,17.014,-1.33E-4,0.054022,0.022621,0.0,1.0,2274.158447
25.205515,-87.954147,-86.760704,2.711308,0.015906,2.711308,0.015906,-89.999855,-90.0,2.375534,4.10661,1.731077,297.378296,290.411377,0.024278,-0.019847,17.014,-1.71E-4,0.054105,0.023308,0.0,1.0,2276.693848
25.834549,-87.954147,-86.760704,2.715639,0.018711,2.715639,0.018711,-89.999855,-90.0,2.381409,4.364625,1.789528,297.360809,289.369995,0.023047,-0.020551,17.014,-2.27E-4,0.054226,0.024455,0.0,1.0,2278.388916
26.776281,-87.954147,-86.760704,2.724373,0.02404,2.724373,0.02404,-89.999855,-90.0,2.390791,4.763598,2.002864,297.333832,287.874207,0.021496,-0.021534,17.014,-2.67E-4,0.054313,0.02533,0.0,1.0,2280.880859
27.428804,-87.954147,-86.760704,2.73267,0.031544,2.73267,0.031544,-89.999855,-90.0,2.397963,5.048876,2.154635,297.31485,286.891968,0.02029,-0.022099,17.014,-3.43E-4,0.054487,0.026678,0.0,1.0,2282.584473
28.341112,-87.954147,-86.760704,2.739475,0.035955,2.739475,0.035955,-89.999855,-90.0,2.408662,5.459228,2.242897,297.289764,285.607758,0.018202,-0.022676,17.014,-4.51E-4,0.054653,0.027628,0.0,1.0,2284.942139
28.966494,-87.954147,-86.760704,2.743754,0.038556,2.743754,0.038556,-89.999855,-90.0,2.416251,5.747808,2.305635,297.273743,284.795288,0.01726,-0.02285,17.014,-5.14E-4,0.054789,0.028882,0.0,1.0,2286.551514
29.902925,-87.954147,-86.760704,2.750407,0.042157,2.750407,0.042157,-89.999855,-90.0,2.428033,6.191328,2.401668,297.252411,283.690338,0.016342,-0.022656,17.014,-5.51E-4,0.054875,0.029683,0.0,1.0,2288.957764
30.526077,-87.954147,-86.760704,2.755146,0.044618,2.755146,0.044618,-89.999855,-90.0,2.436156,6.493917,2.466282,297.239502,283.03421,0.015969,-0.022345,17.014,-6.02E-4,0.055008,0.030749,0.0,1.0,2290.557373
31.459099,-87.954147,-86.760704,2.762233,0.048303,2.762233,0.048303,-89.999855,-90.0,2.448742,6.957844,2.562583,297.221924,282.17688,0.015661,-0.021654,17.014,-6.37E-4,0.055103,0.031395,0.0,1.0,2292.951172
32.105541,-87.954147,-86.760704,2.767338,0.051048,2.767338,0.051048,-89.999855,-90.0,2.457766,7.286912,2.628973,297.2099,281.673645,0.015496,-0.021217,17.014,-6.9E-4,0.055245,0.032274,0.0,1.0,2294.610107
33.035233,-87.954147,-86.760704,2.774507,0.055138,2.774507,0.055138,-89.999855,-90.0,2.471167,7.770384,2.729628,297.191956,281.083984,0.015108,-0.020753,17.014,-7.29E-4,0.055347,0.032875,0.0,1.0,2296.994873
33.627048,-87.954147,-86.760704,2.779206,0.057969,2.779206,0.057969,-89.999855,-90.0,2.47998,8.085044,2.786371,297.179291,280.790833,0.014649,-0.020692,17.014,-7.88E-4,0.05549,0.033772,0.0,1.0,2298.516602
34.552261,-87.954147,-86.760704,2.789786,0.062544,2.789786,0.062544,-89.999855,-90.0,2.494288,8.586306,2.948324,297.157135,280.461487,0.013593,-0.020967,17.014,-8.28E-4,0.055584,0.034405,0.0,1.0,2300.895752
35.16695,-87.954147,-86.760704,2.798316,0.065831,2.798316,0.065831,-89.999855,-90.0,2.505139,8.926241,3.286299,297.140015,280.32785,0.012508,-0.021501,17.014,-8.93E-4,0.055796,0.035513,0.0,1.0,2302.480225
36.11256,-87.954147,-86.760704,2.80539,0.070951,2.80539,0.070951,-89.999855,-90.0,2.522292,9.459027,3.384711,297.110809,280.251617,0.01053,-0.022649,17.014,-9.4E-4,0.055966,0.036369,0.0,1.0,2304.920898
36.69928,-87.954147,-86.760704,2.80974,0.074253,2.80974,0.074253,-89.999855,-90.0,2.53322,9.795396,3.450832,297.090851,280.280151,0.008997,-0.02356,17.014,-0.001014,0.056108,0.03783,0.0,1.0,2306.437256
37.615112,-87.954147,-86.760704,2.816744,0.079245,2.816744,0.079245,-89.999855,-90.0,2.550752,10.329585,3.557684,297.058716,280.434479,0.006596,-0.024945,17.014,-0.001061,0.056195,0.038828,0.0,1.0,2308.808838
38.198544,-87.954147,-86.760704,2.821508,0.082484,2.821508,0.082484,-89.999855,-90.0,2.562229,10.675649,3.623136,297.037567,280.598633,0.005022,-0.025827,17.014,-0.001132,0.056335,0.040434,0.0,1.0,2310.323242
39.160912,-87.954147,-86.760704,2.829223,0.087388,2.829223,0.087388,-89.999855,-90.0,2.581664,11.255278,3.740272,297.003845,280.971558,0.002926,-0.026902,17.014,-0.001178,0.05643,0.041492,0.0,1.0,2312.823975
39.74099,-87.954147,-86.760704,2.834019,0.090365,2.834019,0.090365,-89.999855,-90.0,2.593707,11.610724,3.783683,296.98407,281.253113,0.001802,-0.027385,17.014,-0.001248,0.056584,0.043178,0.0,1.0,2314.33667
