airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,Command_fault,Command
5.338164,-96.922462,-95.729012,2.97548,1.383867,2.592325,0.106685,-99.999855,-100.0,2.286269,0.0,0.006029,297.87149,268.437775,0.010378,-0.071747,-23.448149,-0.0,0.0,0.0,0.0,0.0,599.35907,, takeoff
5.303975,-96.975883,-95.78244,2.934184,1.246598,2.59241,0.10735,-99.999855,-100.0,2.2863,0.0,0.001407,297.870087,272.22998,0.010228,-0.060441,-21.954008,-0.01977,0.051847,0.0,0.0,1.0,607.805237,, takeoff
5.303231,-96.999626,-95.806183,2.777771,0.749234,2.585232,0.10744,-99.999855,-100.0,2.286282,3.1E-5,-0.012159,297.869232,274.505829,0.010068,-0.054689,-17.354311,-0.017809,0.051848,7.0E-5,0.0,1.0,672.056702,, takeoff
5.32467,-97.027412,-95.833969,2.582183,0.218047,2.548354,0.105286,-99.999855,-100.0,2.28615,2.21E-4,-0.038755,297.867706,277.946838,0.008926,-0.047164,-20.269905,-0.010703,0.051705,1.13E-4,0.0,1.0,852.412292,, takeoff
5.372924,-97.041275,-95.847832,2.518054,0.101814,2.518031,0.101737,-99.999855,-100.0,2.286056,7.08E-4,-0.015341,297.866577,280.137848,0.008776,-0.042988,-10.753658,-0.003115,0.050967,1.89E-4,0.0,1.0,998.163452,, takeoff
5.544472,-97.05867,-95.865227,2.505143,0.092297,2.505143,0.092297,-99.999855,-100.0,2.286151,0.003893,0.050144,297.86438,283.607391,0.007693,-0.037207,-17.562716,-0.001454,0.050361,2.46E-4,0.0,1.0,1248.007813,, takeoff
5.718975,-97.067032,-95.873589,2.514652,0.084575,2.514652,0.084575,-99.999855,-100.0,2.286376,0.008666,0.086252,297.862213,285.70816,0.006602,-0.034208,-19.750061,-0.001319,0.050103,3.56E-4,0.0,1.0,1398.685059,, takeoff
6.116969,-97.077423,-95.88398,2.543,0.070654,2.543,0.070654,-99.999855,-100.0,2.286983,0.02356,0.147517,297.855896,288.959778,0.003567,-0.030462,-19.653751,-0.001208,0.050293,4.64E-4,0.0,1.0,1616.545654,, takeoff
6.466489,-97.082718,-95.889275,2.56523,0.061118,2.56523,0.061118,-99.999855,-100.0,2.287555,0.040336,0.17773,297.847809,291.046387,-0.003898,-0.028865,-7.171359,-0.001009,0.05086,7.8E-4,0.0,1.0,1741.54126,, takeoff
7.072784,-97.088425,-95.894981,2.595653,0.048789,2.595653,0.048789,-99.999855,-100.0,2.288606,0.076509,0.230185,297.827881,293.86377,-0.01013,-0.028131,-11.476629,-8.73E-4,0.051305,0.001184,0.0,1.0,1888.290649,, takeoff
