airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,Command_fault,Command
5.328827,-96.932182,-95.738739,2.976914,1.388507,2.592402,0.106801,-99.999855,-100.0,2.286275,0.0,0.00613,297.871429,268.982239,0.010353,-0.07149,-17.366421,-0.0,0.0,0.0,0.0,0.0,599.371338,, takeoff
5.307765,-96.962685,-95.769241,2.974972,1.381516,2.592668,0.107167,-99.999855,-100.0,2.286292,0.0,0.00546,297.870636,271.104584,0.010289,-0.064933,-16.398262,-0.0,0.0,0.0,0.0,0.0,599.412476,, takeoff
5.303274,-97.001831,-95.80838,2.765536,0.712153,2.584112,0.107408,-99.999855,-100.0,2.286278,3.8E-5,-0.012996,297.869293,274.696533,0.010065,-0.055417,-17.043259,-0.019736,0.051853,4.0E-5,0.0,1.0,679.811768,, takeoff
5.313252,-97.019417,-95.825974,2.640335,0.357442,2.565034,0.106441,-99.999855,-100.0,2.286211,1.34E-4,-0.031486,297.868408,276.799286,0.009872,-0.050605,-10.945932,-0.010174,0.051682,1.07E-4,0.0,1.0,783.995483,, takeoff
5.381875,-97.043152,-95.849709,2.515249,0.101141,2.515249,0.101141,-99.999855,-100.0,2.286052,8.29E-4,-0.009714,297.866577,280.422241,0.010008,-0.0434,-20.191923,-0.005106,0.051301,1.51E-4,0.0,1.0,1018.098755,, takeoff
5.474355,-97.053825,-95.860382,2.504501,0.095808,2.504501,0.095808,-99.999855,-100.0,2.286083,0.00238,0.028338,297.865265,282.492371,0.010647,-0.039811,-20.233114,-0.001445,0.050305,2.43E-4,0.0,1.0,1166.87146,, takeoff
5.736459,-97.067841,-95.874397,2.515944,0.083849,2.515944,0.083849,-99.999855,-100.0,2.286402,0.009221,0.09265,297.862061,285.888275,0.014678,-0.034701,-12.956127,-0.001369,0.05009,3.08E-4,0.0,1.0,1411.33374,, takeoff
5.994936,-97.075066,-95.881622,2.53459,0.07447,2.53459,0.07447,-99.999855,-100.0,2.28679,0.018482,0.127587,297.858154,288.098755,0.019492,-0.031988,-9.502269,-0.001198,0.050319,4.68E-4,0.0,1.0,1561.306396,, takeoff
6.451182,-97.082626,-95.889175,2.564233,0.061483,2.564233,0.061483,-99.999855,-100.0,2.287529,0.039543,0.176457,297.848267,290.964874,0.026481,-0.029483,-8.347946,-0.001064,0.050692,6.64E-4,0.0,1.0,1736.908691,, takeoff
6.875508,-97.086967,-95.893524,2.586856,0.052275,2.586856,0.052275,-99.999855,-100.0,2.288257,0.063808,0.219667,297.835144,293.028168,0.030619,-0.028673,-17.393034,-8.78E-4,0.051285,0.001158,0.0,1.0,1847.51123,, takeoff
7.556272,-97.091377,-95.897934,2.614045,0.041861,2.614045,0.041861,-99.999855,-100.0,2.2895,0.111262,0.276008,297.805298,295.673553,0.032703,-0.02948,-14.437505,-7.47E-4,0.051737,0.001814,0.0,1.0,1968.608887,, takeoff
8.06043,-97.09346,-95.900017,2.629078,0.036935,2.629078,0.036935,-99.999855,-100.0,2.290493,0.15285,0.318213,297.777069,297.286804,0.030748,-0.031221,-12.137494,-5.98E-4,0.052281,0.003307,0.0,1.0,2031.110474,, takeoff
8.850963,-97.095512,-95.902061,2.645767,0.032184,2.645767,0.032184,-99.999855,-100.0,2.292193,0.228959,0.380314,297.724579,299.405426,0.027983,-0.035182,-9.036413,-5.28E-4,0.052582,0.004718,0.0,1.0,2100.730957,, takeoff
9.42383,-97.096329,-95.902885,2.654655,0.029886,2.654655,0.029886,-99.999855,-100.0,2.293545,0.29224,0.427577,297.680634,300.688843,0.026456,-0.038806,-13.85256,-4.6E-4,0.052915,0.007343,0.0,1.0,2136.428223,, takeoff
