airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle
6.364352,-87.980568,-86.787125,2.975902,1.375768,2.591568,0.094657,-89.999855,-90,2.286483,0,0.006565,297.868011,277.669403,0.012283,-0.051149,-17.033869,0,0,0,0,0
6.415898,-87.995445,-86.802002,2.933704,1.234527,2.591882,0.09512,-89.999855,-90,2.286513,0,0.002378,297.86676,281.091248,0.012207,-0.043998,-13.367904,-0.019654,0.051831,0,0,1
6.455891,-88.003197,-86.809753,2.777071,0.736785,2.58457,0.095115,-89.999855,-90,2.286495,3.40E-05,-0.012628,297.865875,283.333282,0.012081,-0.039817,-13.449861,-0.017636,0.051838,6.30E-05,0,1
6.524651,-88.012375,-86.818924,2.580184,0.205523,2.546391,0.092879,-89.999855,-90,2.286357,2.28E-04,-0.042975,297.86438,286.597412,0.011866,-0.034367,-19.063007,-0.010526,0.051691,1.07E-04,0,1
6.59964,-88.017204,-86.823753,2.511773,0.089024,2.511773,0.089024,-89.999855,-90,2.286243,7.35E-04,-0.019729,297.86322,288.686401,0.011868,-0.031245,-18.096109,-0.002936,0.050928,1.82E-04,0,1
6.79543,-88.022949,-86.829498,2.492922,0.079292,2.492922,0.079292,-89.999855,-90,2.286304,0.003803,0.042339,297.861145,291.657562,0.012731,-0.027242,-7.6976,-0.001272,0.050235,2.40E-04,0,1
6.991654,-88.025948,-86.832504,2.497823,0.070754,2.497823,0.070754,-89.999855,-90,2.286514,0.008747,0.082266,297.859222,293.513611,0.0145,-0.025031,-10.812355,-0.001133,0.049858,3.43E-04,0,1
7.392907,-88.029457,-86.836014,2.517626,0.056123,2.517626,0.056123,-89.999855,-90,2.28707,0.023099,0.139478,297.854218,296.086029,0.019293,-0.022491,-15.51969,-0.001011,0.049956,4.39E-04,0,1
7.746038,-88.031296,-86.837852,2.534889,0.045612,2.534889,0.045612,-89.999855,-90,2.287619,0.039586,0.173778,297.848328,297.70993,0.024244,-0.021341,-11.972046,-8.02E-04,0.050353,6.90E-04,0,1
8.120758,-88.032623,-86.83918,2.550977,0.03617,2.550977,0.03617,-89.999855,-90,2.288245,0.060553,0.215882,297.840271,299.078522,0.028257,-0.020804,-17.935972,-6.52E-04,0.050698,9.84E-04,0,1
8.120758,-88.032623,-86.83918,2.550977,0.03617,2.550977,0.03617,-89.999855,-90,2.288245,0.060553,0.215882,297.840271,299.078522,0.028257,-0.020804,-17.935972,-6.52E-04,0.050698,9.84E-04,0,1
9.567829,-88.035248,-86.841805,2.595905,0.012064,2.595905,0.012064,-89.999855,-90,2.291049,0.171807,0.338176,297.790863,302.574799,0.027855,-0.022886,-18.223452,-5.17E-04,0.05102,0.001387,0,1
10.086232,-88.035408,-86.841965,2.607151,0.006518,2.607151,0.006518,-89.999855,-90,2.292203,0.22276,0.381219,297.766541,303.399017,0.027405,-0.024708,-18.799124,-1.72E-04,0.051918,0.003857,0,1
10.938666,-88.035194,-86.841743,2.619734,1.48E-04,2.619734,1.48E-04,-89.999855,-90,2.294294,0.319056,0.453202,297.724609,304.417542,0.026887,-0.027761,-18.006092,-9.30E-05,0.052143,0.005073,0,1
11.52824,-88.034752,-86.841309,2.626767,-0.002772,2.626767,-0.002772,-89.999855,-90,2.295896,0.394752,0.504451,297.69339,304.913086,0.026579,-0.030034,-16.300423,-2.00E-06,0.052395,0.00717,0,1
12.43532,-88.033691,-86.840248,2.635501,-0.005497,2.635501,-0.005497,-89.999855,-90,2.298624,0.525777,0.584104,297.644836,305.38562,0.026039,-0.033251,-11.105015,4.00E-05,0.052535,0.008731,0,1
13.050975,-88.03273,-86.839287,2.640594,-0.00644,2.640594,-0.00644,-89.999855,-90,2.300667,0.624801,0.638569,297.611511,305.524475,0.025699,-0.035266,2.532208,7.90E-05,0.05271,0.011159,0,1
13.985186,-88.030907,-86.837456,2.6471,-0.00683,2.6471,-0.00683,-89.999855,-90,2.304074,0.790723,0.72107,297.564117,305.479095,0.025166,-0.037464,15.846052,9.20E-05,0.052812,0.012825,0,1
14.612663,-88.029442,-86.835999,2.651082,-0.006411,2.651082,-0.006411,-89.999855,-90,2.306578,0.912791,0.777008,297.534515,305.287445,0.024927,-0.038429,10.240682,9.80E-05,0.052942,0.015195,0,1
15.55915,-88.026886,-86.833443,2.656595,-0.005109,2.656595,-0.005109,-89.999855,-90,2.310688,1.112768,0.863663,297.496155,304.773682,0.024687,-0.038713,10.152941,9.20E-05,0.053022,0.016675,0,1
16.192266,-88.024948,-86.831505,2.660285,-0.003969,2.660285,-0.003969,-89.999855,-90,2.313667,1.257144,0.920405,297.474426,304.290802,0.024657,-0.038273,19.069607,7.30E-05,0.053132,0.018593,0,1
17.171452,-88.021584,-86.82814,2.66587,-0.002015,2.66587,-0.002015,-89.999855,-90,2.318637,1.496681,1.009572,297.448517,303.347351,0.02482,-0.036469,11.242791,5.70E-05,0.053206,0.019679,0,1
17.807863,-88.019157,-86.825714,2.669618,-5.92E-04,2.669618,-5.92E-04,-89.999855,-90,2.322107,1.662836,1.067553,297.435699,302.619232,0.025133,-0.034828,10.326423,2.90E-05,0.053317,0.020975,0,1
18.737167,-88.015289,-86.821846,2.675008,0.001637,2.675008,0.001637,-89.999855,-90,2.327515,1.919985,1.152499,297.42218,301.415253,0.025688,-0.031898,16.769133,8.00E-06,0.053392,0.021616,0,1
19.37479,-88.012398,-86.818954,2.678821,0.003355,2.678821,0.003355,-89.999855,-90,2.331462,2.106276,1.21162,297.415192,300.505615,0.026075,-0.029775,18.088957,-2.30E-05,0.0535,0.022292,0,1
20.331347,-88.007713,-86.81427,2.684502,0.006186,2.684502,0.006186,-89.999855,-90,2.337746,2.400519,1.298308,297.406464,299.036835,0.026553,-0.026704,16.481293,-4.80E-05,0.053576,0.022641,0,1
20.969105,-88.004349,-86.810905,2.688403,0.008302,2.688403,0.008302,-89.999855,-90,2.342178,2.606326,1.356859,297.400391,298.002289,0.026709,-0.024948,6.187927,-8.80E-05,0.05369,0.023077,0,1
21.92569,-87.998955,-86.805511,2.694204,0.011803,2.694204,0.011803,-89.999855,-90,2.349192,2.929118,1.445556,297.389313,296.391663,0.026581,-0.022938,8.201818,-1.19E-04,0.053768,0.023381,0,1
22.881165,-87.993134,-86.79969,2.700174,0.015708,2.700174,0.015708,-89.999855,-90,2.356643,3.268345,1.531407,297.373993,294.738922,0.02589,-0.021873,12.602818,-1.69E-04,0.053884,0.023935,0,1
