airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,
Command: takeoff
3.179871,-25.030842,-23.837399,2.963915,1.357166,2.586544,0.099263,-19.999857,-20.0,2.285873,0.0,3.3E-5,297.867676,276.360535,0.011383,-0.046637,-15.325416,-0.0,0.0,0.0,0.0,0.0,602.008545,
3.178901,-25.031088,-23.837643,2.92131,1.216544,2.586122,0.09925,-19.999857,-20.0,2.285871,0.0,-0.004421,297.866425,279.796234,0.011374,-0.04013,-16.363701,-0.019388,0.051731,0.0,0.0,1.0,610.50592,
3.180246,-25.031158,-23.837715,2.766207,0.723676,2.5788,0.098987,-19.999857,-20.0,2.285832,3.1E-5,-0.017418,297.86554,282.060089,0.011281,-0.036324,-16.654476,-0.017379,0.051722,6.3E-5,0.0,1.0,675.470703,
3.188129,-25.031179,-23.837734,2.573662,0.201289,2.542168,0.09631,-19.999857,-20.0,2.285675,2.27E-4,-0.041535,297.864014,285.37439,0.011262,-0.031374,-16.735834,-0.010338,0.051576,1.07E-4,0.0,1.0,858.396606,
3.224113,-25.031157,-23.837713,2.514041,0.092165,2.514041,0.092165,-19.999857,-20.0,2.28558,8.09E-4,-0.011958,297.862854,287.507568,0.011378,-0.028541,-16.646637,-0.002876,0.050843,1.83E-4,0.0,1.0,1013.089355,
3.362248,-25.03105,-23.837605,2.507778,0.082055,2.507778,0.082055,-19.999857,-20.0,2.285682,0.004197,0.049909,297.860779,290.559265,0.011526,-0.024933,-16.205055,-0.001317,0.050281,2.41E-4,0.0,1.0,1259.60022,
3.52191,-25.030903,-23.837458,2.521219,0.073227,2.521219,0.073227,-19.999857,-20.0,2.285918,0.009551,0.087994,297.858734,292.477386,0.00998,-0.022963,-15.587179,-0.001172,0.050156,3.45E-4,0.0,1.0,1418.486694,
3.872211,-25.030542,-23.837097,2.552979,0.058243,2.552979,0.058243,-19.999857,-20.0,2.286498,0.024925,0.138406,297.85321,295.153442,0.007298,-0.020804,-13.950452,-0.001046,0.050424,4.47E-4,0.0,1.0,1632.164795,
4.178867,-25.030197,-23.836754,2.57622,0.048065,2.57622,0.048065,-19.999857,-20.0,2.287027,0.041651,0.171969,297.846741,296.790039,0.007893,-0.019994,-12.181753,-8.32E-4,0.05106,7.23E-4,0.0,1.0,1753.525024,
4.738961,-25.029514,-23.836069,2.607824,0.03382,2.607824,0.03382,-19.999857,-20.0,2.288025,0.078935,0.219768,297.830688,299.004547,0.002619,-0.019915,-7.520035,-6.87E-4,0.051524,0.001047,0.0,1.0,1902.286255,
5.17063,-25.02894,-23.835495,2.625481,0.025725,2.625481,0.025725,-19.999857,-20.0,2.288836,0.11315,0.259092,297.814117,300.311737,5.0E-4,-0.020771,4.518131,-4.83E-4,0.052156,0.001849,0.0,1.0,1980.695801,
5.889335,-25.027893,-23.834448,2.645064,0.016484,2.645064,0.016484,-19.999857,-20.0,2.290282,0.180176,0.318615,297.78006,302.007141,0.006621,-0.02328,12.683713,-3.68E-4,0.05251,0.002678,0.0,1.0,2071.583252,
6.406807,-25.027063,-23.833618,2.654459,0.012305,2.654459,0.012305,-19.999857,-20.0,2.291419,0.236047,0.361959,297.750397,302.955902,0.009856,-0.025813,16.498449,-2.35E-4,0.052901,0.004381,0.0,1.0,2117.299072,
7.226508,-25.025606,-23.832161,2.663603,0.008782,2.663603,0.008782,-19.999857,-20.0,2.293406,0.33747,0.432133,297.696747,304.102631,0.013329,-0.030511,11.268622,-1.76E-4,0.053089,0.005864,0.0,1.0,2168.363281,
7.794998,-25.024481,-23.831036,2.667669,0.007283,2.667669,0.007283,-19.999857,-20.0,2.294934,0.417123,0.482946,297.655182,304.682434,0.014791,-0.034154,16.672327,-1.25E-4,0.053272,0.008546,0.0,1.0,2193.174561,
8.671139,-25.022543,-23.8291,2.671517,0.006061,2.671517,0.006061,-19.999857,-20.0,2.297552,0.554891,0.563069,297.5896,305.277832,0.016216,-0.039413,14.037747,-1.04E-4,0.053353,0.010625,0.0,1.0,2219.989014,
9.266529,-25.021074,-23.827631,2.673262,0.005913,2.673262,0.005913,-19.999857,-20.0,2.299525,0.658943,0.618404,297.544403,305.495422,0.016744,-0.042707,7.304449,-8.7E-5,0.05343,0.013904,0.0,1.0,2232.52417,
9.566682,-25.020285,-23.826839,2.67393,0.006034,2.67393,0.006034,-19.999857,-20.0,2.300581,0.714615,0.646809,297.522369,305.551697,0.016918,-0.044129,12.624061,-8.7E-5,0.05343,0.013904,0.0,1.0,2237.523193,
10.78206,-25.017368,-23.823923,2.676051,0.00738,2.676051,0.00738,-19.999857,-20.0,2.305283,0.961348,0.761734,297.443756,305.439941,0.017493,-0.047616,14.396685,-8.6E-5,0.053479,0.017265,0.0,1.0,2251.061523,
11.667656,-25.014202,-23.820759,2.677378,0.008849,2.677378,0.008849,-19.999857,-20.0,2.309201,1.165089,0.847216,297.392242,305.037628,0.018049,-0.048839,17.064016,-1.05E-4,0.053521,0.021196,0.0,1.0,2256.116699,
12.304575,-25.011744,-23.8183,2.678316,0.010182,2.678316,0.010182,-19.999857,-20.0,2.312253,1.322626,0.908748,297.361603,304.597504,0.018297,-0.048617,16.624479,-1.26E-4,0.053548,0.023772,0.0,1.0,2258.006836,
13.22147,-25.007893,-23.814447,2.679816,0.012109,2.679816,0.012109,-19.999857,-20.0,2.317024,1.566619,0.997279,297.329254,303.759613,0.019091,-0.046477,10.511745,-1.45E-4,0.053566,0.025304,0.0,1.0,2258.901123,
13.831793,-25.005116,-23.81167,2.68099,0.013436,2.68099,0.013436,-19.999857,-20.0,2.320451,1.740248,1.056366,297.314545,303.079529,0.019965,-0.044152,11.691409,-1.73E-4,0.053596,0.026921,0.0,1.0,2258.597168,
14.71949,-25.000751,-23.807308,2.682854,0.015554,2.682854,0.015554,-19.999857,-20.0,2.3258,2.008733,1.142216,297.302155,301.934662,0.02146,-0.039743,6.117689,-1.92E-4,0.05362,0.027657,0.0,1.0,2258.28125,
15.326732,-24.99754,-23.804096,2.684318,0.017326,2.684318,0.017326,-19.999857,-20.0,2.32971,2.203039,1.201069,297.297943,301.057922,0.022562,-0.036413,11.334371,-2.22E-4,0.053657,0.028276,0.0,1.0,2258.879395,
16.261501,-24.992229,-23.798784,2.686894,0.020337,2.686894,0.020337,-19.999857,-20.0,2.336123,2.518384,1.292278,297.295074,299.58551,0.024022,-0.031352,12.117381,-2.48E-4,0.053686,0.028487,0.0,1.0,2260.556641,
16.867279,-24.988546,-23.795103,2.688833,0.022492,2.688833,0.022492,-19.999857,-20.0,2.340534,2.732917,1.351198,297.293396,298.566833,0.02475,-0.028452,17.182373,-2.91E-4,0.053738,0.02863,0.0,1.0,2261.93042,
17.75025,-24.982843,-23.7894,2.691886,0.025931,2.691886,0.025931,-19.999857,-20.0,2.347319,3.059473,1.437383,297.288391,297.015015,0.025272,-0.025135,19.431383,-3.21E-4,0.053777,0.028714,0.0,1.0,2264.140869,
18.380751,-24.978523,-23.78508,2.694285,0.028626,2.694285,0.028626,-19.999857,-20.0,2.352423,3.302435,1.499251,297.281433,295.873199,0.025158,-0.023582,16.160065,-3.7E-4,0.053838,0.028964,0.0,1.0,2265.796387,
19.263123,-24.972126,-23.778681,2.697816,0.032686,2.697816,0.032686,-19.999857,-20.0,2.359928,3.655801,1.585503,297.265961,294.250702,0.024195,-0.022564,8.763618,-4.09E-4,0.053886,0.029312,0.0,1.0,2268.154541,
19.868088,-24.967503,-23.774059,2.700434,0.035629,2.700434,0.035629,-19.999857,-20.0,2.365317,3.906807,1.644825,297.251129,293.134979,0.023112,-0.022605,18.897064,-4.67E-4,0.053956,0.030086,0.0,1.0,2269.776855,
20.800165,-24.960003,-23.766558,2.704638,0.040218,2.704638,0.040218,-19.999857,-20.0,2.374012,4.307255,1.736838,297.223206,291.432404,0.020917,-0.023432,17.609652,-5.09E-4,0.054009,0.030827,0.0,1.0,2272.265869,
21.404493,-24.954891,-23.761448,2.707596,0.043179,2.707596,0.043179,-19.999857,-20.0,2.379904,4.575532,1.795758,297.202362,290.351563,0.019289,-0.024326,17.598539,-5.75E-4,0.054093,0.032224,0.0,1.0,2273.867188,
22.284477,-24.947029,-23.753584,2.717102,0.052493,2.717102,0.052493,-19.999857,-20.0,2.389397,4.978455,2.151285,297.171295,288.826416,0.01728,-0.025428,18.147758,-6.17E-4,0.054152,0.033266,0.0,1.0,2276.181885,
22.862318,-24.941561,-23.748117,2.721679,0.056298,2.721679,0.056298,-19.999857,-20.0,2.396205,5.250594,2.16187,297.150879,287.866119,0.015129,-0.026132,19.430006,-7.5E-4,0.054342,0.034819,0.0,1.0,2277.689697,
23.788836,-24.932192,-23.738747,2.726363,0.059986,2.726363,0.059986,-19.999857,-20.0,2.40757,5.700284,2.259511,297.121674,286.406799,0.013063,-0.026569,15.491255,-8.04E-4,0.054434,0.03584,0.0,1.0,2280.091553,
24.388708,-24.925802,-23.732357,2.729635,0.062064,2.729635,0.062064,-19.999857,-20.0,2.415215,5.999626,2.324594,297.10553,285.524658,0.012308,-0.026384,19.849243,-8.57E-4,0.054527,0.0373,0.0,1.0,2281.630371,
25.311918,-24.915493,-23.72205,2.735027,0.064799,2.735027,0.064799,-19.999857,-20.0,2.427429,6.472554,2.426053,297.086609,284.276733,0.011971,-0.025206,19.262964,-8.87E-4,0.054593,0.038107,0.0,1.0,2283.97998,
25.909712,-24.908518,-23.715073,2.738785,0.066495,2.738785,0.066495,-19.999857,-20.0,2.43563,6.786546,2.491806,297.077606,283.545868,0.012258,-0.024029,16.289318,-9.26E-4,0.054701,0.039053,0.0,1.0,2285.493164,
26.804922,-24.897644,-23.704199,2.744434,0.068928,2.744434,0.068928,-19.999857,-20.0,2.448342,7.26788,2.590486,297.068298,282.573456,0.013183,-0.021823,17.951111,-9.5E-4,0.054776,0.039503,0.0,1.0,2287.750488,
27.350973,-24.890745,-23.697302,2.748047,0.070535,2.748047,0.070535,-19.999857,-20.0,2.456353,7.567984,2.650377,297.063873,282.05545,0.013903,-0.020449,14.086135,-9.85E-4,0.054889,0.039969,0.0,1.0,2289.124512,
28.243471,-24.879097,-23.685654,2.753859,0.073366,2.753859,0.073366,-19.999857,-20.0,2.469858,8.068521,2.748721,297.05658,281.336365,0.014858,-0.018474,19.448338,-0.001008,0.054961,0.04019,0.0,1.0,2291.366699,
28.886492,-24.870378,-23.676933,2.758279,0.075736,2.758279,0.075736,-19.999857,-20.0,2.47993,8.437125,2.835141,297.049622,280.917694,0.015137,-0.017498,11.498784,-0.001048,0.055077,0.040555,0.0,1.0,2292.982178,
29.725481,-24.858465,-23.665022,2.77076,0.079158,2.77076,0.079158,-19.999857,-20.0,2.494577,8.927859,3.257593,297.036865,280.497803,0.014779,-0.016948,18.224619,-0.001082,0.055166,0.040903,0.0,1.0,2295.091309,
30.365852,-24.848825,-23.65538,2.775313,0.082103,2.775313,0.082103,-19.999857,-20.0,2.506472,9.309597,3.327935,297.023468,280.273193,0.013994,-0.017147,15.239347,-0.001131,0.055415,0.041541,0.0,1.0,2296.702148,
31.226637,-24.835155,-23.641712,2.780355,0.086279,2.780355,0.086279,-19.999857,-20.0,2.522902,9.832056,3.430098,297.001007,280.099548,0.012013,-0.018062,17.027754,-0.001173,0.055506,0.04221,0.0,1.0,2298.868896,
31.791265,-24.825777,-23.632334,2.784027,0.089157,2.784027,0.089157,-19.999857,-20.0,2.533974,10.180601,3.499133,296.983612,280.063263,0.010198,-0.019006,11.749722,-0.001233,0.055607,0.043333,0.0,1.0,2300.291748,
32.722572,-24.809742,-23.616299,2.790352,0.093642,2.790352,0.093642,-19.999857,-20.0,2.552752,10.765229,3.614159,296.952728,280.131683,0.007279,-0.020687,14.088193,-0.001274,0.055681,0.044203,0.0,1.0,2302.64209,
33.285034,-24.799606,-23.606161,2.794425,0.096269,2.794425,0.096269,-19.999857,-20.0,2.564414,11.124243,3.684099,296.93335,280.24649,0.005272,-0.021684,12.430897,-0.001338,0.055807,0.045747,0.0,1.0,2304.064453,
34.163635,-24.783228,-23.589785,2.800656,0.099763,2.800656,0.099763,-19.999857,-20.0,2.583108,11.693734,3.773667,296.905365,280.528564,0.002877,-0.022682,14.300179,-0.001375,0.055889,0.046716,0.0,1.0,2306.289795,
34.77206,-24.771482,-23.578037,2.814419,0.103824,2.814419,0.103824,-19.999857,-20.0,2.596553,12.094482,4.03899,296.887909,280.792023,0.001971,-0.02294,18.962013,-0.001425,0.056013,0.048116,0.0,1.0,2307.834717,
35.596916,-24.754871,-23.561426,2.822888,0.108954,2.822888,0.108954,-19.999857,-20.0,2.616921,12.646194,4.396828,296.868561,281.229523,0.00107,-0.022554,10.946064,-0.001483,0.056288,0.048988,0.0,1.0,2309.934814,
