airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,
Command: takeoff
0.402402,-26.745571,-25.552126,3.070751,1.360034,2.716394,0.178845,-29.999857,-30.0,18.855347,4.1E-5,-2.68E-4,297.865601,14.602195,-0.046373,-0.036249,-13.682645,-0.0,0.0,0.0,0.0,0.0,607.021973,
0.363976,-26.746824,-25.553379,3.068744,1.353452,2.716353,0.178815,-29.999857,-30.0,18.855347,4.0E-5,-1.0E-4,297.864777,14.197472,-0.046365,-0.032794,-18.850281,-0.0,0.0,0.0,0.0,0.0,607.018066,
0.313118,-26.748289,-25.554846,2.885508,0.745882,2.715316,0.178576,-29.999857,-30.0,18.855345,3.9E-5,-0.002077,297.863495,13.599376,-0.046452,-0.028232,-14.504546,-0.019335,0.054327,4.1E-5,0.0,1.0,680.472656,
0.283851,-26.74905,-25.555605,2.768287,0.380196,2.707408,0.177268,-29.999857,-30.0,18.855322,6.0E-5,-0.012662,297.862549,13.2109,-0.046598,-0.0256,-17.673859,-0.010655,0.054306,1.05E-4,0.0,1.0,794.078003,
0.252996,-26.749958,-25.556515,2.654853,0.171738,2.654853,0.171738,-29.999857,-30.0,18.855137,4.77E-4,-0.060058,297.860779,12.650245,-0.050004,-0.022252,-9.673758,-0.005431,0.054148,1.53E-4,0.0,1.0,1018.844971,
0.255534,-26.750463,-25.557018,2.603147,0.165394,2.603147,0.165394,-29.999857,-30.0,18.855019,0.001865,-0.004187,297.859406,12.294542,-0.049186,-0.02037,-12.699465,-0.002453,0.053097,2.41E-4,0.0,1.0,1183.804199,
0.363902,-26.751041,-25.557596,2.574068,0.152289,2.574068,0.152289,-29.999857,-30.0,18.855328,0.007979,0.128223,297.857269,11.793131,-0.04512,-0.017972,-15.450818,-0.002363,0.052063,3.1E-4,0.0,1.0,1426.098511,
0.539809,-26.751255,-25.557812,2.576174,0.141857,2.576174,0.141857,-29.999857,-30.0,18.85593,0.016322,0.229381,297.855652,11.482948,-0.044116,-0.016625,-16.358101,-0.002176,0.051481,4.17E-4,0.0,1.0,1573.435791,
0.943033,-26.751236,-25.557793,2.592782,0.125316,2.592782,0.125316,-29.999857,-30.0,18.857521,0.038002,0.407513,297.852051,11.057848,-0.037119,-0.015095,-16.278173,-0.002027,0.051523,4.97E-4,0.0,1.0,1763.434937,
1.289384,-26.750944,-25.557499,2.606701,0.114377,2.606701,0.114377,-29.999857,-30.0,18.8591,0.060073,0.540995,297.846008,10.803216,-0.028308,-0.014774,-15.023746,-0.00179,0.051856,6.77E-4,0.0,1.0,1867.800293,
1.903705,-26.74999,-25.556545,2.626581,0.099466,2.626581,0.099466,-29.999857,-30.0,18.862362,0.106831,0.766256,297.832336,10.467097,-0.022141,-0.015059,-9.888685,-0.001634,0.052134,9.8E-4,0.0,1.0,1992.595825,
2.365228,-26.748955,-25.55551,2.638377,0.090769,2.638377,0.090769,-29.999857,-30.0,18.865204,0.148149,0.934775,297.818359,10.274681,-0.023726,-0.015961,6.415437,-0.001421,0.052532,0.001663,0.0,1.0,2057.046143,
3.118239,-26.746702,-25.553257,2.652699,0.079901,2.652699,0.079901,-29.999857,-30.0,18.870564,0.226692,1.208672,297.792053,10.034678,-0.025549,-0.017929,18.531702,-0.001297,0.052768,0.002362,0.0,1.0,2130.593262,
3.651981,-26.744675,-25.551231,2.66053,0.074079,2.66053,0.074079,-29.999857,-30.0,18.874924,0.290645,1.403452,297.771088,9.907303,-0.026377,-0.019585,16.512735,-0.001141,0.053054,0.003677,0.0,1.0,2167.074707,
4.48782,-26.740749,-25.547306,2.669628,0.067241,2.669628,0.067241,-29.999857,-30.0,18.882719,0.404552,1.709372,297.737061,9.764832,-0.027266,-0.02211,10.802731,-0.001058,0.053211,0.004726,0.0,1.0,2207.321777,
