airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,
Command: takeoff
0.399526,-26.745668,-25.552225,3.071178,1.361469,2.716391,0.178843,-29.999857,-30.0,18.855347,4.0E-5,-2.34E-4,297.86554,14.568379,-0.046372,-0.035948,-16.18132,-0.0,0.0,0.0,0.0,0.0,607.021606,
0.361375,-26.746904,-25.553459,3.069171,1.354884,2.71635,0.178814,-29.999857,-30.0,18.855347,4.0E-5,-1.34E-4,297.864685,14.163896,-0.046363,-0.032521,-9.250053,-0.0,0.0,0.0,0.0,0.0,607.017822,
0.310881,-26.748348,-25.554905,2.885805,0.746877,2.715315,0.178575,-29.999857,-30.0,18.855345,3.8E-5,-0.002077,297.863434,13.566634,-0.046463,-0.027998,-16.714857,-0.019355,0.054327,4.3E-5,0.0,1.0,680.472473,
0.281831,-26.749098,-25.555655,2.768461,0.380792,2.707403,0.177267,-29.999857,-30.0,18.855322,6.0E-5,-0.012662,297.862488,13.179008,-0.046608,-0.025387,-6.233281,-0.01067,0.054306,1.05E-4,0.0,1.0,794.07782,
0.251899,-26.749996,-25.556553,2.651846,0.171776,2.651846,0.171776,-29.999857,-30.0,18.855124,4.77E-4,-0.06036,297.860687,12.620024,-0.047564,-0.022075,-12.625382,-0.00544,0.054148,1.53E-4,0.0,1.0,1018.844543,
0.254642,-26.750498,-25.557053,2.600781,0.165386,2.600781,0.165386,-29.999857,-30.0,18.855005,0.001866,-0.002881,297.859314,12.26567,-0.047545,-0.02021,-15.051664,-0.002454,0.053037,2.43E-4,0.0,1.0,1183.803833,
0.363251,-26.751068,-25.557623,2.573225,0.152237,2.573225,0.152237,-29.999857,-30.0,18.855322,0.007981,0.131573,297.857147,11.766589,-0.048294,-0.017831,-17.411688,-0.002363,0.052016,3.11E-4,0.0,1.0,1426.098145,
0.530508,-26.751274,-25.557829,2.575524,0.14234,2.575524,0.14234,-29.999857,-30.0,18.855894,0.01589,0.226199,297.855743,11.470581,-0.043955,-0.01654,-18.187166,-0.002175,0.051465,4.2E-4,0.0,1.0,1567.602661,
0.942849,-26.751253,-25.55781,2.592719,0.125334,2.592719,0.125334,-29.999857,-30.0,18.857519,0.038005,0.404063,297.851959,11.035878,-0.050996,-0.015,-18.114447,-0.002033,0.05151,4.9E-4,0.0,1.0,1763.434814,
1.289283,-26.750957,-25.557514,2.606697,0.114396,2.606697,0.114396,-29.999857,-30.0,18.859098,0.060076,0.535267,297.845886,10.783262,-0.056939,-0.014688,-16.982027,-0.00179,0.051854,6.79E-4,0.0,1.0,1867.800171,
1.903663,-26.75,-25.556557,2.626587,0.099465,2.626587,0.099465,-29.999857,-30.0,18.862364,0.106835,0.764179,297.832245,10.450304,-0.057657,-0.014979,-12.647906,-0.001634,0.052134,9.83E-4,0.0,1.0,1992.595703,
2.365207,-26.748962,-25.555519,2.63838,0.090766,2.63838,0.090766,-29.999857,-30.0,18.865204,0.148153,0.934339,297.818268,10.26006,-0.053006,-0.015887,-4.556315,-0.001421,0.052532,0.001665,0.0,1.0,2057.046143,
3.118233,-26.746708,-25.553263,2.652707,0.079898,2.652707,0.079898,-29.999857,-30.0,18.870564,0.226697,1.207366,297.791962,10.023363,-0.047113,-0.017864,16.792234,-0.001297,0.052768,0.002364,0.0,1.0,2130.593018,
3.651994,-26.744678,-25.551233,2.660535,0.074072,2.660535,0.074072,-29.999857,-30.0,18.874924,0.29065,1.402347,297.770996,9.898199,-0.043945,-0.019526,14.51,-0.001141,0.053054,0.003679,0.0,1.0,2167.074707,
4.487837,-26.740751,-25.547308,2.669629,0.067232,2.669629,0.067232,-29.999857,-30.0,18.882719,0.404558,1.709305,297.736969,9.759011,-0.040199,-0.022058,7.195533,-0.001058,0.053211,0.004727,0.0,1.0,2207.321777,
5.062703,-26.737494,-25.54405,2.674558,0.06373,2.674558,0.06373,-29.999857,-30.0,18.888784,0.492662,1.921,297.713043,9.697978,-0.038217,-0.023715,11.919654,-9.6E-4,0.053393,0.006429,0.0,1.0,2226.614258,
5.943611,-26.731565,-25.538122,2.680356,0.059731,2.680356,0.059731,-29.999857,-30.0,18.899235,0.643153,2.249663,297.678741,9.652427,-0.035894,-0.025592,15.619389,-9.1E-4,0.053491,0.007625,0.0,1.0,2247.138916,
6.539761,-26.726879,-25.533434,2.683628,0.057688,2.683628,0.057688,-29.999857,-30.0,18.90712,0.755657,2.471876,297.657501,9.651471,-0.034595,-0.026417,13.629481,-8.53E-4,0.053607,0.00934,0.0,1.0,2256.525635,
