airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,
Command: takeoff
4.092687,-97.011917,-95.818474,2.987228,1.423072,2.594991,0.115616,-99.999855,-100.0,2.286546,0.0,0.007972,297.86908,275.929993,0.009053,-0.050979,-13.360954,-0.0,0.0,0.0,0.0,0.0,598.290222,
4.070936,-97.02906,-95.835617,2.985378,1.417149,2.595132,0.116331,-99.999855,-100.0,2.286574,0.0,0.007905,297.868286,278.224457,0.00893,-0.046095,-17.570955,-0.0,0.0,0.0,0.0,0.0,598.310181,
4.090685,-97.049103,-95.855659,2.78632,0.778596,2.587842,0.117003,-99.999855,-100.0,2.286577,2.9E-5,-0.009312,297.867004,281.637177,0.008626,-0.039662,-12.283112,-0.020245,0.051903,4.0E-5,0.0,1.0,670.929016,
4.131647,-97.063942,-95.870499,2.589282,0.236579,2.552846,0.115128,-99.999855,-100.0,2.286459,2.13E-4,-0.0343,297.865509,284.964325,0.008129,-0.034226,-19.295254,-0.011123,0.051757,1.04E-4,0.0,1.0,851.967224,
4.194705,-97.071648,-95.878197,2.5259,0.11166,2.525885,0.111611,-99.999855,-100.0,2.286387,7.56E-4,-0.004589,297.864349,287.109161,0.008152,-0.031109,-18.741835,-0.005233,0.051347,1.53E-4,0.0,1.0,1005.200806,
4.377707,-97.08065,-95.887207,2.522235,0.102497,2.522235,0.102497,-99.999855,-100.0,2.286529,0.003987,0.060762,297.861908,290.182373,0.008969,-0.027162,-12.997708,-0.001595,0.050518,2.37E-4,0.0,1.0,1249.649414,
4.569405,-97.085266,-95.891823,2.538609,0.094422,2.538609,0.094422,-99.999855,-100.0,2.286798,0.009134,0.101091,297.859497,292.117188,0.010808,-0.025038,-9.867279,-0.001514,0.050375,3.11E-4,0.0,1.0,1407.411377,
4.969884,-97.090561,-95.897118,2.57588,0.080622,2.57588,0.080622,-99.999855,-100.0,2.287441,0.023983,0.157499,297.852814,294.821167,0.020173,-0.02276,-11.070126,-0.001349,0.050772,4.79E-4,0.0,1.0,1619.89502,
5.326553,-97.093285,-95.899841,2.604121,0.070913,2.604121,0.070913,-99.999855,-100.0,2.288042,0.040982,0.186506,297.844025,296.54422,0.027377,-0.022037,-11.982171,-0.001219,0.051253,6.65E-4,0.0,1.0,1745.425659,
