airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,
Command: takeoff
5.310309,-97.023193,-95.82975,2.975762,1.382684,2.593424,0.108225,-99.999855,-100.0,2.286345,0.0,0.005661,297.868225,277.372742,0.010123,-0.047953,-15.230446,-0.0,0.0,0.0,0.0,0.0,599.526001,
5.328347,-97.038887,-95.845444,2.974303,1.377242,2.593722,0.108641,-99.999855,-100.0,2.286366,0.0,0.005694,297.867371,279.756409,0.010055,-0.043186,-13.331061,-0.0,0.0,0.0,0.0,0.0,599.568787,
5.354432,-97.051155,-95.857712,2.853374,0.982782,2.591227,0.10896,-99.999855,-100.0,2.286371,2.0E-6,-0.004957,297.866547,282.020233,0.009933,-0.039066,-20.076637,-0.019675,0.051874,4.3E-5,0.0,1.0,632.988464,
5.405005,-97.065514,-95.87207,2.640492,0.356277,2.566002,0.107977,-99.999855,-100.0,2.286288,1.34E-4,-0.031352,297.865143,285.334167,0.009641,-0.033676,-14.550932,-0.01404,0.051825,8.4E-5,0.0,1.0,784.170837,
5.495959,-97.076172,-95.882721,2.517906,0.103066,2.517906,0.103066,-99.999855,-100.0,2.286131,7.45E-4,-0.012996,297.863434,288.504761,0.009902,-0.029176,-15.28233,-0.00509,0.05132,1.54E-4,0.0,1.0,1004.812439,
5.610194,-97.081696,-95.888252,2.505218,0.097327,2.505218,0.097327,-99.999855,-100.0,2.28616,0.002376,0.02951,297.861969,290.516632,0.01083,-0.02663,-16.864065,-0.001472,0.050358,2.4E-4,0.0,1.0,1166.729858,
5.881465,-97.08812,-95.894676,2.515959,0.085775,2.515959,0.085775,-99.999855,-100.0,2.286466,0.008925,0.092114,297.858887,293.352386,0.014655,-0.023489,-10.280217,-0.00139,0.050104,3.13E-4,0.0,1.0,1404.656372,
6.123544,-97.091263,-95.89782,2.532754,0.077221,2.532754,0.077221,-99.999855,-100.0,2.286816,0.017097,0.124069,297.855408,295.035736,0.019379,-0.02199,-13.412822,-0.001225,0.050319,4.67E-4,0.0,1.0,1543.690186,
6.624825,-97.095062,-95.901611,2.564913,0.063161,2.564913,0.063161,-99.999855,-100.0,2.287613,0.039486,0.184429,297.844574,297.511078,0.027572,-0.020724,-18.570606,-0.001103,0.050655,6.41E-4,0.0,1.0,1736.260986,
7.019371,-97.096832,-95.903389,2.585986,0.054682,2.585986,0.054682,-99.999855,-100.0,2.288283,0.061573,0.222045,297.832245,298.952393,0.03286,-0.020835,-15.425697,-9.02E-4,0.051298,0.001183,0.0,1.0,1838.993408,
7.679995,-97.098625,-95.905182,2.612825,0.044469,2.612825,0.044469,-99.999855,-100.0,2.289478,0.106496,0.270916,297.803741,300.808594,0.04177,-0.022617,-11.664162,-7.81E-4,0.05172,0.001799,0.0,1.0,1959.017578,
7.925844,-97.099052,-95.905609,2.620883,0.041763,2.620883,0.041763,-99.999855,-100.0,2.289952,0.12571,0.292957,297.790588,301.375732,0.040216,-0.023698,-13.902152,-7.81E-4,0.05172,0.001799,0.0,1.0,1992.779907,
7.925844,-97.099052,-95.905609,2.620883,0.041763,2.620883,0.041763,-99.999855,-100.0,2.289952,0.12571,0.292957,297.790588,301.375732,0.040216,-0.023698,-13.902152,-7.81E-4,0.05172,0.001799,0.0,1.0,1992.779907,
9.564365,-97.100258,-95.906815,2.655713,0.033041,2.655713,0.033041,-99.999855,-100.0,2.293548,0.286227,0.42463,297.674164,304.011688,0.03043,-0.034659,-3.81625,-5.97E-4,0.052418,0.003882,0.0,1.0,2132.781738,
10.456814,-97.099731,-95.906288,2.666189,0.031106,2.666189,0.031106,-99.999855,-100.0,2.295864,0.397271,0.498555,297.590942,304.83139,0.027087,-0.042636,7.527181,-4.72E-4,0.053114,0.009703,0.0,1.0,2173.000977,
11.094207,-97.099068,-95.905624,2.67093,0.031056,2.67093,0.031056,-99.999855,-100.0,2.297695,0.486838,0.553288,297.530609,305.206879,0.024812,-0.047856,12.07121,-4.44E-4,0.053324,0.013864,0.0,1.0,2192.97876,
12.029338,-97.09771,-95.904266,2.676167,0.032379,2.676167,0.032379,-99.999855,-100.0,2.300675,0.633808,0.635454,297.445404,305.475189,0.021827,-0.054133,18.10495,-4.44E-4,0.053419,0.016881,0.0,1.0,2213.237061,
12.634148,-97.096603,-95.90316,2.679095,0.0339,2.679095,0.0339,-99.999855,-100.0,2.302796,0.738764,0.688746,297.391876,305.48349,0.020056,-0.057518,11.647283,-4.63E-4,0.053523,0.021141,0.0,1.0,2222.148926,
