airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,
Command: takeoff
5.378778,-96.882034,-95.688591,2.977206,1.390135,2.592057,0.106306,-99.999855,-100.0,2.28625,0.0,0.005125,297.872406,266.307251,0.010438,-0.080614,-16.998363,-0.0,0.0,0.0,0.0,0.0,599.314148,
5.315079,-96.952446,-95.759003,2.936733,1.25553,2.592184,0.107032,-99.999855,-100.0,2.286285,0.0,0.001474,297.87088,270.360657,0.010272,-0.066786,-14.602188,-0.019859,0.051841,0.0,0.0,1.0,607.769897,
5.304371,-96.981506,-95.788063,2.773489,0.737136,2.584481,0.107106,-99.999855,-100.0,2.286264,3.4E-5,-0.012662,297.869965,272.701813,0.010116,-0.060178,-21.288,-0.017936,0.051844,7.6E-5,0.0,1.0,675.857483,
5.314073,-97.013237,-95.819794,2.582895,0.220684,2.548184,0.104979,-99.999855,-100.0,2.286134,2.21E-4,-0.039726,297.8685,276.034454,0.009847,-0.0521,-16.81139,-0.010531,0.05169,1.22E-4,0.0,1.0,852.377686,
5.362422,-97.030861,-95.837418,2.515939,0.101006,2.515939,0.101006,-99.999855,-100.0,2.286036,7.87E-4,-0.010518,297.867249,278.42572,0.009984,-0.047104,-11.075025,-0.003153,0.050964,1.95E-4,0.0,1.0,1011.440674,
5.532721,-97.051033,-95.85759,2.505409,0.091336,2.505409,0.091336,-99.999855,-100.0,2.28615,0.004205,0.051986,297.864868,281.934662,0.010877,-0.040755,-18.438505,-0.001443,0.050319,2.58E-4,0.0,1.0,1261.47168,
5.708169,-97.06073,-95.867287,2.515739,0.08352,2.515739,0.08352,-99.999855,-100.0,2.286384,0.009224,0.092583,297.862671,284.074524,0.013305,-0.03745,-15.034272,-0.001305,0.050108,3.77E-4,0.0,1.0,1411.420288,
6.109988,-97.072792,-95.879349,2.544601,0.069552,2.544601,0.069552,-99.999855,-100.0,2.287006,0.024689,0.14611,297.855927,287.410431,0.019415,-0.033301,-10.103331,-0.001193,0.050315,4.87E-4,0.0,1.0,1627.367676,
6.431664,-97.078514,-95.885071,2.565125,0.060766,2.565125,0.060766,-99.999855,-100.0,2.287537,0.040349,0.186607,297.848297,289.398346,0.024469,-0.031597,-13.157578,-9.94E-4,0.050892,8.24E-4,0.0,1.0,1741.688477,
7.036121,-97.085327,-95.891884,2.595488,0.048351,2.595488,0.048351,-99.999855,-100.0,2.288588,0.076533,0.24288,297.828094,292.3461,0.035129,-0.030522,-6.755414,-8.68E-4,0.051303,0.001205,0.0,1.0,1888.459229,
7.517175,-97.088806,-95.895363,2.614079,0.041443,2.614079,0.041443,-99.999855,-100.0,2.289481,0.111297,0.274366,297.806091,294.257813,0.041577,-0.031103,-13.107886,-6.91E-4,0.05191,0.002216,0.0,1.0,1968.790283,
8.261835,-97.0923,-95.898857,2.634614,0.03477,2.634614,0.03477,-99.999855,-100.0,2.290972,0.174801,0.335798,297.763519,296.723236,0.036398,-0.033587,-17.19305,-5.92E-4,0.052282,0.003316,0.0,1.0,2055.717529,
8.810875,-97.093941,-95.900497,2.645678,0.031645,2.645678,0.031645,-99.999855,-100.0,2.292171,0.229028,0.381453,297.725861,298.259186,0.033329,-0.036391,-13.04748,-4.97E-4,0.052692,0.005444,0.0,1.0,2100.932861,
9.70092,-97.095459,-95.902016,2.658226,0.028444,2.658226,0.028444,-99.999855,-100.0,2.294318,0.33048,0.45357,297.657623,300.362152,0.029474,-0.041725,-5.758837,-4.52E-4,0.052914,0.007327,0.0,1.0,2152.607666,
10.300783,-97.095894,-95.902443,2.664394,0.027495,2.664394,0.027495,-99.999855,-100.0,2.295921,0.408149,0.504451,297.606842,301.546051,0.027288,-0.045753,-9.549451,-4.06E-4,0.053165,0.010739,0.0,1.0,2176.887695,
11.223375,-97.09584,-95.902397,2.671146,0.027738,2.671146,0.027738,-99.999855,-100.0,2.298649,0.542363,0.583903,297.526978,303.046082,0.024252,-0.051581,-9.205691,-3.93E-4,0.053288,0.013278,0.0,1.0,2203.083496,
11.823135,-97.095421,-95.901978,2.67459,0.028699,2.67459,0.028699,-99.999855,-100.0,2.300604,0.639242,0.636392,297.473816,303.827881,0.022465,-0.055176,-5.332813,-3.96E-4,0.053423,0.017271,0.0,1.0,2214.85083,
12.772396,-97.094223,-95.90078,2.67889,0.031209,2.67889,0.031209,-99.999855,-100.0,2.304004,0.808161,0.721103,297.393555,304.773132,0.020033,-0.059624,11.510857,-4.1E-4,0.053492,0.01993,0.0,1.0,2227.520752,
13.409295,-97.093086,-95.899643,2.681446,0.033383,2.681446,0.033383,-99.999855,-100.0,2.306507,0.932343,0.777042,297.34198,305.215393,0.018763,-0.061917,16.888945,-4.46E-4,0.053578,0.023943,0.0,1.0,2232.988525,
13.409295,-97.093086,-95.899643,2.681446,0.033383,2.681446,0.033383,-99.999855,-100.0,2.306507,0.932343,0.777042,297.34198,305.215393,0.018763,-0.061917,16.888945,-4.46E-4,0.053578,0.023943,0.0,1.0,2232.988525,
15.014496,-97.090088,-95.896645,2.687496,0.040964,2.687496,0.040964,-99.999855,-100.0,2.313629,1.282261,0.917625,297.231628,305.680267,0.015746,-0.063861,18.619228,-4.77E-4,0.053629,0.026521,0.0,1.0,2242.078613,
