airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,
Command: takeoff
14.011301,-54.607258,-53.413815,3.072681,1.355898,2.720353,0.181473,-49.999859,-50.0,18.855408,6.9E-5,-0.001072,297.888489,15.754532,-0.046653,-0.573721,-978.0177,-0.0,0.0,0.0,0.0,0.0,605.93457,
12.049588,-56.778355,-55.584908,3.031284,1.218807,2.72001,0.181227,-49.999859,-50.0,18.855402,6.7E-5,-0.001072,297.887238,16.546583,-0.046691,-0.493659,-815.613586,-0.01937,0.054407,0.0,0.0,1.0,614.471985,
11.458544,-57.368187,-56.174744,2.956039,0.968761,2.719742,0.181102,-59.999859,-60.0,18.8554,6.6E-5,-0.00134,297.88681,16.785542,-0.046732,-0.46954,-757.752014,-0.01937,0.054407,0.0,0.0,1.0,639.77417,
9.369521,-59.21431,-58.020866,2.725217,0.257113,2.701472,0.177963,-59.999859,-60.0,18.855343,1.34E-4,-0.0205,297.884888,17.610346,-0.047004,-0.384399,-518.525208,-0.013839,0.054395,8.4E-5,0.0,1.0,862.711914,
8.471778,-59.893326,-58.699883,2.684247,0.173673,2.684247,0.173673,-59.999859,-60.0,18.855324,4.95E-4,0.018791,297.883759,17.942114,-0.045521,-0.347896,-400.979065,-0.003673,0.054029,1.8E-4,0.0,1.0,1017.852295,
7.282325,-60.686642,-59.493198,2.711595,0.163183,2.711595,0.163183,-59.999859,-60.0,18.855713,0.003234,0.138674,297.88208,18.337248,-0.044563,-0.299654,-243.19899,-0.002481,0.053685,2.36E-4,0.0,1.0,1265.488647,
6.582273,-61.096664,-59.903221,2.760808,0.153934,2.760808,0.153934,-59.999859,-60.0,18.856333,0.007962,0.22995,297.88092,18.532431,-0.044984,-0.271352,-163.411224,-0.002331,0.054232,3.2E-4,0.0,1.0,1425.436035,
5.653688,-61.575169,-60.381725,2.854209,0.137995,2.854209,0.137995,-59.999859,-60.0,18.857849,0.02215,0.233367,297.878815,18.724545,-0.043888,-0.233996,-96.589096,-0.002199,0.055216,3.78E-4,0.0,1.0,1641.14624,
5.106805,-61.822109,-60.628666,2.849593,0.126879,2.849593,0.126879,-59.999859,-60.0,18.859022,0.037956,0.364002,297.876923,18.787254,-0.045141,-0.212126,-74.948624,-0.001971,0.057084,4.84E-4,0.0,1.0,1763.884766,
