airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,Command_fault,Command
0.367423,-26.746717,-25.553272,3.06832,1.352032,2.716356,0.178818,-29.999857,-30.0,18.855347,4.0E-5,-1.0E-4,297.864838,14.231076,-0.046364,-0.033069,-7.751664,-0.0,0.0,0.0,0.0,0.0,607.018372,, takeoff
0.332332,-26.747761,-25.554317,3.073443,1.369196,2.716322,0.178794,-29.999857,-30.0,18.855345,3.9E-5,-6.7E-5,297.864014,13.830176,-0.046356,-0.029916,-14.150848,-0.0,0.0,0.0,0.0,0.0,607.015259,, takeoff
0.2859,-26.748983,-25.555538,2.883813,0.740303,2.71529,0.178561,-29.999857,-30.0,18.855343,3.8E-5,-0.00201,297.862732,13.242888,-0.046458,-0.025756,-4.821543,-0.01956,0.054326,4.1E-5,0.0,1.0,680.470764,, takeoff
0.259389,-26.749617,-25.556173,2.766822,0.376862,2.70694,0.177255,-29.999857,-30.0,18.855318,6.7E-5,-0.020198,297.861786,12.864761,-0.046603,-0.023361,-10.407265,-0.010576,0.054306,1.05E-4,0.0,1.0,794.076111,, takeoff
0.237986,-26.750395,-25.556952,2.63185,0.171743,2.63185,0.171743,-29.999857,-30.0,18.85503,6.4E-4,-0.05768,297.859894,12.323833,-0.04807,-0.02034,-14.586335,-0.005384,0.054139,1.53E-4,0.0,1.0,1018.837036,, takeoff
0.244151,-26.750837,-25.557394,2.587346,0.165321,2.587346,0.165321,-29.999857,-30.0,18.854944,0.002137,0.008709,297.858551,11.98378,-0.049677,-0.018637,-16.495691,-0.002453,0.052637,2.47E-4,0.0,1.0,1183.793457,, takeoff
0.360069,-26.751329,-25.557884,2.568678,0.152218,2.568678,0.152218,-29.999857,-30.0,18.855312,0.00841,0.140617,297.856445,11.509126,-0.048265,-0.016473,-18.384275,-0.002362,0.051747,3.14E-4,0.0,1.0,1426.083496,, takeoff
0.539981,-26.751492,-25.558046,2.574005,0.141901,2.574005,0.141901,-29.999857,-30.0,18.855942,0.016857,0.238559,297.85495,11.218693,-0.043095,-0.015255,-4.457236,-0.002175,0.051374,4.2E-4,0.0,1.0,1573.418213,, takeoff
0.946216,-26.751404,-25.557961,2.592329,0.12531,2.592329,0.12531,-29.999857,-30.0,18.857557,0.038688,0.410896,297.851105,10.825571,-0.033834,-0.013955,-2.850355,-0.002027,0.05148,4.94E-4,0.0,1.0,1763.414185,, takeoff
1.293508,-26.751074,-25.557629,2.606589,0.11438,2.606589,0.11438,-29.999857,-30.0,18.859148,0.060856,0.544311,297.845032,10.593518,-0.025188,-0.013749,6.026316,-0.00179,0.051847,6.87E-4,0.0,1.0,1867.777832,, takeoff
1.908535,-26.750072,-25.556627,2.626586,0.09947,2.626586,0.09947,-29.999857,-30.0,18.862423,0.107757,0.768936,297.831329,10.29262,-0.020517,-0.014185,13.061931,-0.001634,0.052132,9.9E-4,0.0,1.0,1992.571289,, takeoff
2.370298,-26.74901,-25.555567,2.638386,0.090773,2.638386,0.090773,-29.999857,-30.0,18.865271,0.149168,0.934875,297.817322,10.124277,-0.022486,-0.015173,17.694389,-0.001421,0.052532,0.001675,0.0,1.0,2057.020752,, takeoff
3.123501,-26.746723,-25.553278,2.652707,0.079905,2.652707,0.079905,-29.999857,-30.0,18.870642,0.227846,1.210749,297.790985,9.920756,-0.024618,-0.017253,16.656343,-0.001297,0.052768,0.002376,0.0,1.0,2130.566895,, takeoff
3.657326,-26.744677,-25.551233,2.660538,0.074072,2.660538,0.074072,-29.999857,-30.0,18.87501,0.291886,1.405361,297.77002,9.817665,-0.025591,-0.018973,14.49472,-0.001141,0.053054,0.003693,0.0,1.0,2167.048096,, takeoff
4.493218,-26.740728,-25.547283,2.669634,0.067242,2.669634,0.067242,-29.999857,-30.0,18.882814,0.405921,1.71185,297.736023,9.711091,-0.026671,-0.021581,7.284287,-0.001058,0.053211,0.004741,0.0,1.0,2207.294678,, takeoff
5.068096,-26.737457,-25.544012,2.674554,0.063739,2.674554,0.063739,-29.999857,-30.0,18.888887,0.494107,1.925086,297.712097,9.671237,-0.027179,-0.02328,11.996798,-9.61E-4,0.053393,0.006441,0.0,1.0,2226.586914,, takeoff
5.949009,-26.73151,-25.538067,2.680348,0.059736,2.680348,0.059736,-29.999857,-30.0,18.899347,0.644717,2.251807,297.677826,9.656244,-0.027759,-0.025211,15.679742,-9.11E-4,0.053491,0.007637,0.0,1.0,2247.111572,, takeoff
6.545155,-26.726812,-25.533369,2.683627,0.057687,2.683627,0.057687,-29.999857,-30.0,18.90724,0.757298,2.474087,297.656616,9.674658,-0.027957,-0.026068,13.680243,-8.53E-4,0.053607,0.009351,0.0,1.0,2256.498291,, takeoff
7.44807,-26.718603,-25.52516,2.687723,0.055268,2.687723,0.055268,-29.999857,-30.0,18.920477,0.944223,2.811929,297.630493,9.742017,-0.028018,-0.026269,15.843093,-8.24E-4,0.053673,0.010411,0.0,1.0,2265.857178,, takeoff
8.053777,-26.712326,-25.518881,2.690189,0.053968,2.690189,0.053968,-29.999857,-30.0,18.930246,1.080701,3.039501,297.617126,9.811552,-0.02782,-0.025744,19.776834,-7.9E-4,0.053754,0.011717,0.0,1.0,2269.707031,, takeoff
8.965363,-26.701656,-25.508213,2.6935,0.052307,2.6935,0.052307,-29.999857,-30.0,18.94632,1.302846,3.38163,297.604767,9.949367,-0.027203,-0.023824,8.226633,-7.71E-4,0.053804,0.012386,0.0,1.0,2272.874268,, takeoff
9.573955,-26.693689,-25.500246,2.695625,0.051368,2.695625,0.051368,-29.999857,-30.0,18.957987,1.462322,3.609135,297.601349,10.061476,-0.02656,-0.02194,9.172884,-7.47E-4,0.05387,0.013004,0.0,1.0,2273.671387,, takeoff
10.486588,-26.680429,-25.486986,2.69945,0.050117,2.69945,0.050117,-29.999857,-30.0,18.976955,1.718162,3.993637,297.602966,10.256251,-0.025327,-0.018392,11.733805,-7.34E-4,0.053913,0.013174,0.0,1.0,2273.437012,, takeoff
11.093475,-26.670664,-25.477221,2.707033,0.045276,2.707033,0.045276,-29.999857,-30.0,18.990976,1.899531,4.33677,297.607574,10.401611,-0.025068,-0.015869,19.551361,-7.16E-4,0.053989,0.013094,0.0,1.0,2272.562256,, takeoff
12.001492,-26.65451,-25.461067,2.71697,0.03465,2.71697,0.03465,-29.999857,-30.0,19.013725,2.187316,4.80749,297.618134,10.639198,-0.02273,-0.012027,9.137507,-6.47E-4,0.054141,0.012863,0.0,1.0,2270.47168,, takeoff
12.604754,-26.642693,-25.449247,2.719064,0.033698,2.719064,0.033698,-29.999857,-30.0,19.030149,2.389375,5.039149,297.626434,10.808496,-0.020953,-0.009446,15.472546,-4.95E-4,0.054339,0.012335,0.0,1.0,2268.688477,, takeoff
13.506894,-26.623383,-25.429939,2.720692,0.033773,2.720692,0.033773,-29.999857,-30.0,19.05625,2.707285,5.391595,297.638092,11.074883,-0.019379,-0.006146,18.671535,-4.81E-4,0.054381,0.01192,0.0,1.0,2265.59375,, takeoff
14.106188,-26.609474,-25.416031,2.722208,0.033982,2.722208,0.033982,-29.999857,-30.0,19.074636,2.928827,5.630255,297.644501,11.258462,-0.018743,-0.004425,20.586624,-4.82E-4,0.054414,0.011337,0.0,1.0,2263.401855,, takeoff
15.001694,-26.587082,-25.393639,2.725006,0.034758,2.725006,0.034758,-29.999857,-30.0,19.103695,3.275068,5.983839,297.650391,11.5389,-0.018305,-0.00273,14.179509,-4.85E-4,0.054444,0.011017,0.0,1.0,2261.812256,, takeoff
15.597075,-26.571146,-25.377701,2.727174,0.03547,2.727174,0.03547,-29.999857,-30.0,19.124056,3.514921,6.221192,297.651581,11.726999,-0.018392,-0.002156,14.924969,-4.97E-4,0.0545,0.010722,0.0,1.0,2261.740234,, takeoff
16.488623,-26.545742,-25.352299,2.730707,0.03668,2.730707,0.03668,-29.999857,-30.0,19.156073,3.887828,6.576552,297.649261,12.007121,-0.019012,-0.00204,17.700331,-5.07E-4,0.054543,0.010663,0.0,1.0,2262.531006,, takeoff
17.082285,-26.527815,-25.334372,2.733318,0.037467,2.733318,0.037467,-29.999857,-30.0,19.178406,4.144962,6.812566,297.645355,12.190431,-0.019659,-0.002335,12.736066,-5.24E-4,0.054614,0.010779,0.0,1.0,2263.443115,, takeoff
17.972036,-26.499443,-25.306,2.737436,0.038537,2.737436,0.038537,-29.999857,-30.0,19.213387,4.543096,7.168428,297.637421,12.456861,-0.020799,-0.003041,18.653332,-5.35E-4,0.054666,0.010974,0.0,1.0,2265.154541,, takeoff
18.564804,-26.479546,-25.286102,2.740403,0.03914,2.740403,0.03914,-29.999857,-30.0,19.237696,4.816605,7.406719,297.6315,12.626975,-0.021541,-0.003547,11.566408,-5.51E-4,0.054749,0.011371,0.0,1.0,2266.439209,, takeoff
19.453432,-26.448231,-25.254786,2.745,0.039767,2.745,0.039767,-29.999857,-30.0,19.27564,5.238661,7.760036,297.623596,12.868072,-0.022428,-0.004049,12.537241,-5.59E-4,0.054808,0.011667,0.0,1.0,2268.490234,, takeoff
20.045515,-26.426376,-25.232931,2.748262,0.040038,2.748262,0.040038,-29.999857,-30.0,19.301926,5.527705,7.999131,297.61969,13.017979,-0.022769,-0.004133,13.333261,-5.68E-4,0.0549,0.012062,0.0,1.0,2269.907227,, takeoff
20.93313,-26.392132,-25.198687,2.75323,0.040163,2.75323,0.040163,-29.999857,-30.0,19.342833,5.972462,8.354222,297.616943,13.224504,-0.022805,-0.003745,14.510612,-5.72E-4,0.054965,0.012257,0.0,1.0,2272.072998,, takeoff
21.524511,-26.368328,-25.174885,2.756719,0.040131,2.756719,0.040131,-29.999857,-30.0,19.37109,6.276247,8.591006,297.617371,13.348968,-0.022514,-0.003166,18.507847,-5.74E-4,0.055065,0.012395,0.0,1.0,2273.531982,, takeoff
