airspeed_indicator_indicated_speed_kt,altimeter_indicated_altitude_ft,altimeter_pressure_alt_ft,attitude_indicator_indicated_pitch_deg,attitude_indicator_indicated_roll_deg,attitude_indicator_internal_pitch_deg,attitude_indicator_internal_roll_deg,encoder_indicated_altitude_ft,encoder_pressure_alt_ft,gps_indicated_altitude_ft,gps_indicated_ground_speed_kt,gps_indicated_vertical_speed,indicated_heading_deg,magnetic_compass_indicated_heading_deg,slip_skid_ball_indicated_slip_skid,turn_indicator_indicated_turn_rate,vertical_speed_indicator_indicated_speed_fpm,flight_aileron,flight_elevator,flight_rudder,flight_flaps,engine_throttle,engine_rpm,Command_fault,Command
0.413119,-26.745199,-25.551756,3.069476,1.355754,2.716406,0.178853,-29.999857,-30.0,18.855347,4.1E-5,-2.01E-4,297.865814,14.703684,-0.046374,-0.037169,-14.098918,-0.0,0.0,0.0,0.0,0.0,607.023071,, takeoff
0.355378,-26.747087,-25.553642,3.028313,1.21872,2.716339,0.178808,-29.999857,-30.0,18.855347,4.0E-5,1.0E-4,297.864563,14.096843,-0.046369,-0.031983,-10.4925,-0.019368,0.054328,0.0,0.0,1.0,615.476563,, takeoff
0.32146,-26.748064,-25.554621,2.884616,0.742891,2.715322,0.17858,-29.999857,-30.0,18.855345,3.9E-5,-0.00201,297.863708,13.697959,-0.046466,-0.028948,-15.531014,-0.01741,0.054327,6.3E-5,0.0,1.0,680.473267,, takeoff
0.278067,-26.749212,-25.555767,2.722022,0.255742,2.69808,0.175936,-29.999857,-30.0,18.855293,1.09E-4,-0.020768,297.862213,13.115448,-0.046668,-0.025023,-7.350674,-0.010613,0.054306,1.05E-4,0.0,1.0,863.710571,, takeoff
0.258355,-26.749796,-25.556351,2.66482,0.171988,2.66482,0.171988,-29.999857,-30.0,18.855185,4.46E-4,-0.051785,297.861084,12.75684,-0.047885,-0.022888,-11.505875,-0.003653,0.053962,1.8E-4,0.0,1.0,1012.098755,, takeoff
0.27622,-26.75057,-25.557127,2.592739,0.161442,2.592739,0.161442,-29.999857,-30.0,18.85508,0.003232,0.032391,297.858948,12.208032,-0.046625,-0.019999,-15.373681,-0.002457,0.053296,2.36E-4,0.0,1.0,1266.36731,, takeoff
0.366395,-26.750944,-25.557499,2.576298,0.152268,2.576298,0.152268,-29.999857,-30.0,18.855345,0.007976,0.126682,297.857483,11.873571,-0.044878,-0.0184,-16.923317,-0.002306,0.051855,3.43E-4,0.0,1.0,1426.099487,, takeoff
0.658253,-26.751225,-25.557781,2.581303,0.136463,2.581303,0.136463,-29.999857,-30.0,18.856371,0.022188,0.282908,297.855042,11.408278,-0.044624,-0.016389,-18.003195,-0.002175,0.051526,4.17E-4,0.0,1.0,1641.159912,, takeoff
0.94372,-26.751175,-25.55773,2.593055,0.125331,2.593055,0.125331,-29.999857,-30.0,18.857523,0.037997,0.403025,297.852509,11.124713,-0.051045,-0.015401,-17.81498,-0.001949,0.051626,5.39E-4,0.0,1.0,1763.435547,, takeoff
1.482844,-26.750652,-25.557209,2.613517,0.10915,2.613517,0.10915,-29.999857,-30.0,18.860062,0.073734,0.608892,297.842804,10.742723,-0.05844,-0.014982,-15.727933,-0.00179,0.051861,6.65E-4,0.0,1.0,1913.456665,, takeoff
1.903894,-26.749952,-25.556507,2.626712,0.099472,2.626712,0.099472,-29.999857,-30.0,18.862364,0.106824,0.764816,297.832703,10.518523,-0.057457,-0.01531,-12.38457,-0.001559,0.05227,0.001151,0.0,1.0,1992.596191,, takeoff
2.609019,-26.748274,-25.554829,2.643465,0.086859,2.643465,0.086859,-29.999857,-30.0,18.866837,0.172059,1.021161,297.810791,10.22981,-0.050724,-0.016739,8.475466,-0.001421,0.052534,0.001656,0.0,1.0,2084.392334,, takeoff
3.118278,-26.746677,-25.553234,2.652817,0.079897,2.652817,0.079897,-29.999857,-30.0,18.870564,0.226684,1.208505,297.792236,10.069707,-0.046982,-0.018158,16.910454,-0.001241,0.052869,0.002751,0.0,1.0,2130.593506,, takeoff
3.926463,-26.743471,-25.550026,2.66379,0.071565,2.66379,0.071565,-29.999857,-30.0,18.87735,0.326187,1.501026,297.760529,9.878466,-0.042489,-0.020574,5.841328,-0.001141,0.053056,0.003679,0.0,1.0,2182.224609,, takeoff
4.487819,-26.740734,-25.547291,2.66971,0.067233,2.66971,0.067233,-29.999857,-30.0,18.882717,0.404542,1.709774,297.737122,9.783372,-0.04011,-0.022317,7.525269,-0.001022,0.053276,0.005264,0.0,1.0,2207.322021,, takeoff
5.354158,-26.735647,-25.542204,2.6766,0.062253,2.6766,0.062253,-29.999857,-30.0,18.892084,0.540365,2.030532,297.701874,9.68832,-0.037331,-0.024581,7.056123,-9.6E-4,0.053394,0.006435,0.0,1.0,2234.453613,, takeoff
5.943568,-26.731556,-25.538113,2.680405,0.059725,2.680405,0.059725,-29.999857,-30.0,18.899233,0.643135,2.250266,297.678833,9.655746,-0.035831,-0.025814,16.054634,-8.89E-4,0.053532,0.008197,0.0,1.0,2247.13916,, takeoff
6.839721,-26.724298,-25.530855,2.68503,0.056806,2.68503,0.056806,-29.999857,-30.0,18.911339,0.815515,2.585127,297.648438,9.650974,-0.033997,-0.026737,13.933957,-8.53E-4,0.053608,0.009349,0.0,1.0,2260.202393,, takeoff
7.442635,-26.718679,-25.525234,2.68775,0.055275,2.68775,0.055275,-29.999857,-30.0,18.920345,0.94245,2.809986,297.631409,9.675706,-0.032875,-0.026759,15.941096,-8.12E-4,0.053701,0.010869,0.0,1.0,2265.884521,, takeoff
8.351926,-26.709028,-25.515585,2.691286,0.053372,2.691286,0.053372,-29.999857,-30.0,18.935272,1.150564,3.151378,297.613098,9.751792,-0.031265,-0.025627,11.924576,-7.9E-4,0.053755,0.01172,0.0,1.0,2271.097168,, takeoff
8.959963,-26.701759,-25.508316,2.69351,0.052317,2.69351,0.052317,-29.999857,-30.0,18.946173,1.300894,3.379888,297.605652,9.826658,-0.030135,-0.024213,8.179101,-7.62E-4,0.053826,0.012636,0.0,1.0,2272.901367,, takeoff
9.87289,-26.689562,-25.496117,2.696596,0.050924,2.696596,0.050924,-29.999857,-30.0,18.963945,1.543353,3.721012,297.60199,9.971784,-0.028345,-0.021158,17.587137,-7.47E-4,0.05387,0.013008,0.0,1.0,2273.78833,, takeoff
10.481218,-26.680553,-25.48711,2.699462,0.05014,2.699462,0.05014,-29.999857,-30.0,18.976789,1.716041,3.99367,297.603851,10.088335,-0.027096,-0.018689,11.714676,-7.27E-4,0.053932,0.013191,0.0,1.0,2273.463867,, takeoff
11.391169,-26.665619,-25.472174,2.710709,0.041544,2.710709,0.041544,-29.999857,-30.0,18.998125,1.99117,4.452533,297.611511,10.289184,-0.025946,-0.014866,19.438375,-7.16E-4,0.053989,0.013098,0.0,1.0,2271.983398,, takeoff
11.996181,-26.654657,-25.461212,2.717117,0.034792,2.717117,0.034792,-29.999857,-30.0,19.013535,2.185039,4.803973,297.61908,10.438332,-0.023856,-0.012251,9.11795,-5.93E-4,0.054214,0.012715,0.0,1.0,2270.498047,, takeoff
12.900584,-26.636623,-25.443178,2.719512,0.033705,2.719512,0.033705,-29.999857,-30.0,19.038448,2.491026,5.15183,297.631317,10.681264,-0.021147,-0.008473,19.441372,-4.97E-4,0.054342,0.012337,0.0,1.0,2267.732178,, takeoff
13.501633,-26.623549,-25.430105,2.720668,0.033785,2.720668,0.033785,-29.999857,-30.0,19.056038,2.70486,5.390858,297.639038,10.853711,-0.020052,-0.006312,18.659163,-4.81E-4,0.05439,0.011725,0.0,1.0,2265.619873,, takeoff
